Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1h47b32,,,Collection,,,,,The Nahda Women's Association Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5zm2vt4,ark:/21198/z1h47b32,,Work,41.0,0041.01.0001|~|25219|~|53568_ca_object_representations_media_15100_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3505,4729,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/76666_ca_object_representations_media_15100_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/53568_ca_object_representations_media_15100_original.jpg,https://palarchive.org/index.php/Detail/objects/25219/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:12,15 March 2022 at 14:40:51,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5k436sz,ark:/21198/z1h47b32,,Work,41.0,0041.01.0002|~|25220|~|22506_ca_object_representations_media_15101_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3526,4806,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/99067_ca_object_representations_media_15101_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/22506_ca_object_representations_media_15101_original.jpg,https://palarchive.org/index.php/Detail/objects/25220/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:13,15 March 2022 at 14:40:51,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5tn4q85,ark:/21198/z1h47b32,,Work,41.0,0041.01.0003|~|25221|~|47907_ca_object_representations_media_15102_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3509,4752,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/49519_ca_object_representations_media_15102_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/47907_ca_object_representations_media_15102_original.jpg,https://palarchive.org/index.php/Detail/objects/25221/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:13,15 March 2022 at 14:40:51,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5tv2436,ark:/21198/z1h47b32,,Work,41.0,0041.01.0004|~|25222|~|10677_ca_object_representations_media_15103_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3469,4705,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/69613_ca_object_representations_media_15103_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/10677_ca_object_representations_media_15103_original.jpg,https://palarchive.org/index.php/Detail/objects/25222/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:13,15 March 2022 at 14:40:52,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5q602s3,ark:/21198/z1h47b32,,Work,41.0,0041.01.0005|~|25223|~|15149_ca_object_representations_media_15104_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3464,4712,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/46901_ca_object_representations_media_15104_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/15149_ca_object_representations_media_15104_original.jpg,https://palarchive.org/index.php/Detail/objects/25223/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:13,15 March 2022 at 14:40:52,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5zd5g1b,ark:/21198/z1h47b32,,Work,41.0,0041.01.0006|~|25224|~|77465_ca_object_representations_media_15105_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3450,4743,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/5882_ca_object_representations_media_15105_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/77465_ca_object_representations_media_15105_original.jpg,https://palarchive.org/index.php/Detail/objects/25224/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:13,15 March 2022 at 14:40:52,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5pw3zf3,ark:/21198/z1h47b32,,Work,41.0,0041.01.0007|~|25225|~|27215_ca_object_representations_media_15106_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3448,4745,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/54117_ca_object_representations_media_15106_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/27215_ca_object_representations_media_15106_original.jpg,https://palarchive.org/index.php/Detail/objects/25225/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:14,15 March 2022 at 14:40:53,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5258x9z,ark:/21198/z1h47b32,,Work,41.0,0041.01.0008|~|25226|~|79852_ca_object_representations_media_15107_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3451,4669,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/94321_ca_object_representations_media_15107_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/79852_ca_object_representations_media_15107_original.jpg,https://palarchive.org/index.php/Detail/objects/25226/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:14,15 March 2022 at 14:40:53,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
ark:/13030/m5kd9b3p,ark:/21198/z1h47b32,,Work,41.0,0041.01.0009|~|25227|~|78211_ca_object_representations_media_15108_original.jpg,The Nahda Women's Association Collection,Nahda Women's Association Sub-collection 1: Photographs,صورة من حفل وضع حجر أساس لمركز ذوي الإعاقة، 1970-79,"A Photograph of a Cornerstone Laying Ceremony for a Centre for Persons with Disabilities, 1970-79","A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.  |~|صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.","Badi'a Khalaf (Chairwoman of the Nahda Women's Association), interview with PMDA researcher Lama Ghosheh, August – September 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1970s; Date created,1970/1979,جمعية النهضة النسائية,"[31.9037641,35.2034184]",Social History|~|Women,,image/jpeg,3407,4711,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/87896_ca_object_representations_media_15108_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/5/1/78211_ca_object_representations_media_15108_original.jpg,https://palarchive.org/index.php/Detail/objects/25227/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,No,Nahda Women's Association Sub-collection 1: Photographs | The Nahda Women's Association Collection,28 August 2018 at 14:25:14,15 March 2022 at 14:40:53,"A monochrome, taken in the 1970s, shows a moment during a cornerstone ceremony for a centre for people with disabilities, affiliated with al-Nahda Women's Association, in the Israeli-occupied city of Ramallah. The event featured an audience from Ramallah, members of the Association, and a Swedish delegation.",صورة أحاديّة التدرج اللوني من احتفال وضع جحر أساس لمركز لذوي الإعاقة تابع لجمعية النهضة النسائية في رام الله في سبعينيات القرن العشرين. حضر الاحتفال أهالٍ من مدينة رام الله المحتلة إلى جانب عضوات الجمعية ووفدٍ سويدي.,color photographs,,,
