Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/13030/m58t2628,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0071|~|86248,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,مجموعة أمثال شعبية وحِكَم من أرشيف ليلى ترزي,A collection of proverbs taken from the archive of Laila Terzi,A collection of proverbs taken from the archive of Laila Terzi|~|مجموعة أمثال شعبية وحِكَم من أرشيف ليلى ترزي.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,,,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/1/87943_ca_object_representations_media_87103_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86248/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:35,21 November 2020 at 10:55:02,A collection of proverbs taken from the archive of Laila Terzi,مجموعة أمثال شعبية وحِكَم من أرشيف ليلى ترزي.,,,,
ark:/13030/m516205r,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0102|~|86279,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,نشرة صادرة عن الاتحاد العام للمرأة الفلسطينية بمناسبة يوم المرأة العالمي,A newsletter issued by the General Union of Palestinian Women on the International Women's Day,"A newsletter issued by the General Union of Palestinian Women on the International Women's Day. The title of the newsletter is ""Our struggle continues"" and it includes the following topics: Overview of the Union, from concessions to dialogues, what is the aim of the Intifada, from the Intifada statistics, the peace process, a distinctive experience of a working family, a look on the collaborative work of women, Palestinian women at work, women in the Gaza Strip, female prisoners of freedom, a unique imprisonment experience, towards women's development at home economics, health status in the West Bank, for our children; leaders of the future, Palestinian folklore, Mandela; the symbol, telegrams, women of the Intifada , Women's Championships, alive photos, artist Mohsina Tawfiq, wilting of the flower of pain, four pins are enough, the immortal symbol of history, lamenting the mother of shaheeds, lamenting the daughters of Nablus.|~|نشرة صادرة عن الاتحاد العام للمرأة الفلسطينية بمناسبة يوم المرأة العالمي، عنوان النشرة ""نضالنا مستمر""، وتتضمن المواضيع التالية: نبذة عن الاتحاد، من التنازلات إلى الحوارات، الانتفاضة إلى أين، من احصائيات الانتفاضة، مسيرة السلام، تجربة مميزة لأسرة عُمّاليّة، نظرة على العمل الوحدوي النسوي، وضع المرأة الفلسطينية في العمل، المرأة في قطاع غزة، سجينات الحرية، تجربة إعتقالية مميزة، نحو تطوير در المرأة في الاقتصاد المنزلي، الوضع الصحي في الضفة الغربية، من أجل أطفالنا بناة الغد، جانب من الفلكلور الفلسطيني، مانديلا الرمز، برقيات، نساء الانتفاضة، بطولات نسائية، بطولات أطفالنا، صور حيّة، الفنانة محسنة توفيق، ذبول زهرة الآلام، أربعة دبابيس تكفي، الرمز الخالد للتاريخ، رثاء أم الشهيد، رثاء بنات نابلس.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,March 1990; Date created,1990-03,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/1/64745_ca_object_representations_media_87142_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86279/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:39,21 November 2020 at 10:55:01,"A newsletter issued by the General Union of Palestinian Women on the International Women's Day. The title of the newsletter is ""Our struggle continues"" and it includes the following topics: Overview of the Union, from concessions to dialogues, what is the aim of the Intifada, from the Intifada statistics, the peace process, a distinctive experience of a working family, a look on the collaborative work of women, Palestinian women at work, women in the Gaza Strip, female prisoners of freedom, a unique imprisonment experience, towards women's development at home economics, health status in the West Bank, for our children; leaders of the future, Palestinian folklore, Mandela; the symbol, telegrams, women of the Intifada , Women's Championships, alive photos, artist Mohsina Tawfiq, wilting of the flower of pain, four pins are enough, the immortal symbol of history, lamenting the mother of shaheeds, lamenting the daughters of Nablus.","نشرة صادرة عن الاتحاد العام للمرأة الفلسطينية بمناسبة يوم المرأة العالمي، عنوان النشرة ""نضالنا مستمر""، وتتضمن المواضيع التالية: نبذة عن الاتحاد، من التنازلات إلى الحوارات، الانتفاضة إلى أين، من احصائيات الانتفاضة، مسيرة السلام، تجربة مميزة لأسرة عُمّاليّة، نظرة على العمل الوحدوي النسوي، وضع المرأة الفلسطينية في العمل، المرأة في قطاع غزة، سجينات الحرية، تجربة إعتقالية مميزة، نحو تطوير در المرأة في الاقتصاد المنزلي، الوضع الصحي في الضفة الغربية، من أجل أطفالنا بناة الغد، جانب من الفلكلور الفلسطيني، مانديلا الرمز، برقيات، نساء الانتفاضة، بطولات نسائية، بطولات أطفالنا، صور حيّة، الفنانة محسنة توفيق، ذبول زهرة الآلام، أربعة دبابيس تكفي، الرمز الخالد للتاريخ، رثاء أم الشهيد، رثاء بنات نابلس.",,,,
ark:/13030/m5mx0099,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0103|~|86280,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,نشرة تضامن حول المرأة العربية,A newsletter of solidarity on Arab Women,The first issue of the solidarity newsletter on Arab Women dealing with issues related to Arab women|~|العدد الأول من نشرة تضامن الصادرة عن جمعية تضامن المراة، تتناول النشرة قضايا تخص المرأة العربية.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,May 1990; Date created,1990-05,,"[31.768319,35.21371]",,"ما العلاقة بين نقاب المرأة ومجلة ""بوردا"" الألمانية؟  حملة عام ""1990"" من أجل النساء  أدخل المطبخ.. أم أدخل التاريخ؟  ندوة العدد.. المرأة والمستقبل من يطبخ للمرأة الفنانة؟  المسيح برىء...!  عن المرأ وقوامة الرجل  إمرأة كالصخرة..! النساء الخضر يزرعن عالما جديدا|~|What is the relationship between the women's Niqab  and the German magazine ""Borda""? A campaign in 1990 for women Do I make eggs, Or make a name for myself? A symposium (Women and the Future) Who cooks for a woman who is an artist? Christ is innocent ...! About women and men's supremacy A woman like a rock ..! Women are creating a new world",application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/1/56683_ca_object_representations_media_87143_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86280/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:40,21 November 2020 at 10:55:01,The first issue of the solidarity newsletter on Arab Women dealing with issues related to Arab women,العدد الأول من نشرة تضامن الصادرة عن جمعية تضامن المراة، تتناول النشرة قضايا تخص المرأة العربية.,,"ما العلاقة بين نقاب المرأة ومجلة ""بوردا"" الألمانية؟  حملة عام ""1990"" من أجل النساء  أدخل المطبخ.. أم أدخل التاريخ؟  ندوة العدد.. المرأة والمستقبل من يطبخ للمرأة الفنانة؟  المسيح برىء...!  عن المرأ وقوامة الرجل  إمرأة كالصخرة..! النساء الخضر يزرعن عالما جديدا","What is the relationship between the women's Niqab  and the German magazine ""Borda""? A campaign in 1990 for women Do I make eggs, Or make a name for myself? A symposium (Women and the Future) Who cooks for a woman who is an artist? Christ is innocent ...! About women and men's supremacy A woman like a rock ..! Women are creating a new world",
ark:/13030/m57f0bbn,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0181|~|86358,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,تقرير صادر عن الاتحاد العام للمرأة الفلسطينية حول أوضاع المرأة الفلسطينية داخل وخارج فلسطين,A report issued by the General Union of Palestinian Women on the situation of Palestinian women both locally and internationally,"A report issued by the General Union of Palestinian Women on the situation of Palestinian women both locally and internationally. The report includes a local review and evaluation through the study of discrimination in participation in power and in decision-making positions, reviewing mechanisms that promote women's progress in the work framework, and measuring the international and local recognized awareness of women's rights|~|تقرير صادر عن الاتحاد العام للمرأة الفلسطينية حول أوضاع المرأة الفلسطينية داخل وخارج فلسطين، ويتضمن التقرير مراجعة وتقييم على الصعيد الوطني من خلال دراسة التمييز في المشاركة في السلطة وفي مواقع اتخاذ القرار، مراجعة الآليات التي تعزز تقدم المرأة في إطار العمل، وقياس الوعي بحقوق المرأة المعترف بها دولياً ووطنياً.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,13 September 1994; Date created,1994-09-13,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/2/25807_ca_object_representations_media_87257_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86358/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:53,21 November 2020 at 10:54:59,"A report issued by the General Union of Palestinian Women on the situation of Palestinian women both locally and internationally. The report includes a local review and evaluation through the study of discrimination in participation in power and in decision-making positions, reviewing mechanisms that promote women's progress in the work framework, and measuring the international and local recognized awareness of women's rights",تقرير صادر عن الاتحاد العام للمرأة الفلسطينية حول أوضاع المرأة الفلسطينية داخل وخارج فلسطين، ويتضمن التقرير مراجعة وتقييم على الصعيد الوطني من خلال دراسة التمييز في المشاركة في السلطة وفي مواقع اتخاذ القرار، مراجعة الآليات التي تعزز تقدم المرأة في إطار العمل، وقياس الوعي بحقوق المرأة المعترف بها دولياً ووطنياً.,,,,
ark:/13030/m5s5484v,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0189|~|86366,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,التقرير الوطني حول وضع المرأة الفلسطينية في الأراضي المحتلة وخارجها,National Report on the Status of Palestinian Women both locally and internationally,National Report on the Status of Palestinian Women both locally and internationally issued by the Preparatory Committee for Palestinian Women for the Fourth World Conference on Women in Beijing in 1995.|~|التقرير الوطني حول وضع المرأة الفلسطينية في الأراضي المحتلة وخارجها، الصادر عن اللجنة التحضيرية للمرأة الفلسطينية لمؤتمر المرأة العالمي الرابع في بكين عام 1995، اللجنة تابعة للاتحاد العام للمرأة الفلسطينية.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,September 1995; Date issued,1995-09,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/2/72633_ca_object_representations_media_87290_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86366/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:54,21 November 2020 at 10:54:58,National Report on the Status of Palestinian Women both locally and internationally issued by the Preparatory Committee for Palestinian Women for the Fourth World Conference on Women in Beijing in 1995.,التقرير الوطني حول وضع المرأة الفلسطينية في الأراضي المحتلة وخارجها، الصادر عن اللجنة التحضيرية للمرأة الفلسطينية لمؤتمر المرأة العالمي الرابع في بكين عام 1995، اللجنة تابعة للاتحاد العام للمرأة الفلسطينية.,,,,
ark:/13030/m5jq8h4m,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0190|~|86367,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,"نشرة باللغة الانجليزية بعنوان ""شأنٌ مشترك"" صادرة عن جمعية الشابات المسيحية العالمية","An English-language publication entitled ""A Common Thing"" published by the (The Young Women's Christian Association)YWCA","An English-language publication entitled ""A Common Thing"" published by the (The Young Women's Christian Association)YWCA|~|نشرة باللغة الانجليزية بعنوان ""شأنٌ مشترك"" صادرة عن جمعية الشابات المسيحية العالمية.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,eng,text,September 1996; Date issued,1996-09,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/2/99587_ca_object_representations_media_87291_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86367/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:54,21 November 2020 at 10:54:58,"An English-language publication entitled ""A Common Thing"" published by the (The Young Women's Christian Association)YWCA","نشرة باللغة الانجليزية بعنوان ""شأنٌ مشترك"" صادرة عن جمعية الشابات المسيحية العالمية.",,,,
ark:/13030/m5pd0jh2,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0192|~|86369,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,نبذة عن اتحاد الجمعيات النسائية التطوعية,An overview of the Union of Voluntary Women's Associations,"A twelve-page document written in Arabic entitled ""An overview of the Union of Voluntary Women's Associations"". This document includes information on the formation of committees and the achievements of the Union. It was found in the collection of Laila Terzi|~|وثيقة تتكون من إثنى عشر صفحة باللغة العربية تحت عنوان ""نبذة عن إتحاد الجمعيات النسائية التطوعية"" وتحتوي على لائحة داخلية للإتحاد و تشكيل لجان إتحاد الجمعيات وإنجازات الجمعية، وُجدت الورقة في مجموعة ليلى ترزي.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,,,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/2/32910_ca_object_representations_media_87294_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86369/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:55,21 November 2020 at 10:54:58,"A twelve-page document written in Arabic entitled ""An overview of the Union of Voluntary Women's Associations"". This document includes information on the formation of committees and the achievements of the Union. It was found in the collection of Laila Terzi","وثيقة تتكون من إثنى عشر صفحة باللغة العربية تحت عنوان ""نبذة عن إتحاد الجمعيات النسائية التطوعية"" وتحتوي على لائحة داخلية للإتحاد و تشكيل لجان إتحاد الجمعيات وإنجازات الجمعية، وُجدت الورقة في مجموعة ليلى ترزي.",,,,
ark:/13030/m50p8g5b,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0194|~|86371,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,"وثيقة بعنوان ""الصراع الفلسطيني: الأسباب والحلول"" مُقدَّمة إلى المندوب السامي البريطاني في فلسطين","A document entitled ""Palestinian Conflict: Causes and Solutions"" presented to the British Deputy in Palestine","A document entitled ""Palestinian Conflict: Causes and Solutions"" presented to the British Deputy in Palestine written by Fihmi Al-Husseini; Mayor of Gaza at the time.|~|وثيقة بعنوان ""الصراع الفلسطيني: الأسباب والحلول"" مُقدَّمة إلى المفوَّض السامي البريطاني في فلسطين، كتب الوثيق حاكم لواء غزة في حينها فهمي الحسيني، ونُشرت من اللجنة العربية.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,eng,text,9 November 1938; Date created,1938-11-09,,"[31.3546763,34.3088255]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/2/46411_ca_object_representations_media_87297_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86371/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:55,21 November 2020 at 10:54:58,"A document entitled ""Palestinian Conflict: Causes and Solutions"" presented to the British Deputy in Palestine written by Fihmi Al-Husseini; Mayor of Gaza at the time.","وثيقة بعنوان ""الصراع الفلسطيني: الأسباب والحلول"" مُقدَّمة إلى المفوَّض السامي البريطاني في فلسطين، كتب الوثيق حاكم لواء غزة في حينها فهمي الحسيني، ونُشرت من اللجنة العربية.",,,,
ark:/13030/m5869zkj,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0201|~|86378,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,"نشرة بعنوان ""القدس"" صادرة عن مجلس كنائس الشرق الأوسط","A publication entitled ""Jerusalem"" issued by The Middle East Council of Churches","A publication entitled ""Jerusalem"" issued by The Middle East Council of Churches. It countains letters and notices about the conditions of Jerusalem and the role of churches in making such condtions.|~|نشرة بعنوان ""القدس"" صادرة عن مجلس كنائس الشرق الأوسط، تتضمن برقيات ومذكرات حول أوضاع مدينة القدس ودور الكنائس في ذلك.","Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,15 to 21 November 1994; Date created,1994-11,,"[31.768319,35.21371]",,,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/3/87570_ca_object_representations_media_87321_preview.jpg,,https://palarchive.org/index.php/Detail/objects/86378/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,20 January 2019 at 14:05:56,21 November 2020 at 10:54:58,"A publication entitled ""Jerusalem"" issued by The Middle East Council of Churches. It countains letters and notices about the conditions of Jerusalem and the role of churches in making such condtions.","نشرة بعنوان ""القدس"" صادرة عن مجلس كنائس الشرق الأوسط، تتضمن برقيات ومذكرات حول أوضاع مدينة القدس ودور الكنائس في ذلك.",,,,
ark:/13030/m5gr4dv0,ark:/21198/z1kq3mqd,,Work,83.0,0083.02.0202|~|121628,The Layla Tarazi Collection,Layla Tarazi Sub-collection 2: Documents,نشرة أخبار يُصدرها إتحاد العمل النسائي,A newsletter issued by the Women's Labor Union,A 13-page newsletter printed in Arabic; The Future Newsletter that was issued once by the Women's Union in January 1994. It was found in the collection of Laila Terzi.|~|مادة مطبوعة باللغة العربية ، مكونة من 13 صفحة وهي عبارة عن نشرة أخبار المستقبل تم إصدارها لمرة واحدة من قِبل إتحاد العمل النسائي شهر كانون الثاني لعام 1994، وُجِدت في مجموعة ليلى ترزي.,"Suhair Tarazi (Relative of the collection owner Layla Tarazi), interview with PMDA researcher Lama Ghosheh, October 2018, non-transcript, the Palestiniain Museum Digital Archive.",,ara,text,January 1994; Date issued,1994-01,,"[31.768319,35.21371]",,المرأة الفلسطينيه تطالب بارساء المساواة بين الرجل والمرأة الفلسطينيات يبدأن بحملة لاثارة موقع المرأة الفلسطينيه مستقبلا المستقبل مهمات جديده امام الحركة النسائيه الفلسطينيات يرفضن دخول بيت الطاعة!! التمييز الجنسي في النظام التربوي بانوراما نشاطات اتحاد العمل النسائي في فلسطين هنضال المراة الفلسطينيه يتواصل منذ فجرالحركه الوطنيه الفلسطينيه|~|Palestinian women demand equality between men and women Palestinian women begin campaigns to spark the future of Palestinian women's The future New missions of the women's movements Palestinian women refuse to enter the house of obedience !! Sexual discrimination in the educational system Activities of the of Women's Labor Union in Palestine The struggle of Palestinian women has continued since the presence of the (PLO) Palestine Liberation Organization,application/pdf,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/8/7/3/73841_ca_object_representations_media_87322_preview.jpg,,https://palarchive.org/index.php/Detail/objects/121628/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,Layla Tarazi Sub-collection 2: Documents | The Layla Tarazi Collection,9 May 2019 at 14:53:29,21 November 2020 at 10:44:51,A 13-page newsletter printed in Arabic; The Future Newsletter that was issued once by the Women's Union in January 1994. It was found in the collection of Laila Terzi.,مادة مطبوعة باللغة العربية ، مكونة من 13 صفحة وهي عبارة عن نشرة أخبار المستقبل تم إصدارها لمرة واحدة من قِبل إتحاد العمل النسائي شهر كانون الثاني لعام 1994، وُجِدت في مجموعة ليلى ترزي.,,المرأة الفلسطينيه تطالب بارساء المساواة بين الرجل والمرأة الفلسطينيات يبدأن بحملة لاثارة موقع المرأة الفلسطينيه مستقبلا المستقبل مهمات جديده امام الحركة النسائيه الفلسطينيات يرفضن دخول بيت الطاعة!! التمييز الجنسي في النظام التربوي بانوراما نشاطات اتحاد العمل النسائي في فلسطين هنضال المراة الفلسطينيه يتواصل منذ فجرالحركه الوطنيه الفلسطينيه,Palestinian women demand equality between men and women Palestinian women begin campaigns to spark the future of Palestinian women's The future New missions of the women's movements Palestinian women refuse to enter the house of obedience !! Sexual discrimination in the educational system Activities of the of Women's Labor Union in Palestine The struggle of Palestinian women has continued since the presence of the (PLO) Palestine Liberation Organization,
