Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1s52bn5,,,Collection,,,,,The Mahmoud Shukair Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5wj0c7n,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0001|~|125903|~|9820_ca_object_representations_media_96395_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير في مدينة الزرقاء عام 1976,Mahmoud Shukair in al-Zarqa - Jordan in 1976,A black-and-white photograph of Mahmoud Shukair in al-Zarqa - Jordan in 1976|~|صورة غير ملونة لمحمود شقير في مدينة الزرقاء عام 1976.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1976; Date created,1976,,"[32.0608187,36.0941795]",,شقير في قاعة بلدية  محمود شقير  مدينة الزرقاء  الأردن  1976|~|Shukair in the City Hall - al-Zarqa / Jordan - 1976,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/90388_ca_object_representations_media_96395_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/9820_ca_object_representations_media_96395_original.jpg,https://palarchive.org/index.php/Detail/objects/125903/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,A black-and-white photograph of Mahmoud Shukair in al-Zarqa - Jordan in 1976,صورة غير ملونة لمحمود شقير في مدينة الزرقاء عام 1976.,black-and-white photographs,شقير في قاعة بلدية  محمود شقير  مدينة الزرقاء  الأردن  1976,Shukair in the City Hall - al-Zarqa / Jordan - 1976,
ark:/13030/m5ck62rm,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0002|~|125904|~|10220_ca_object_representations_media_96397_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,عائلة الكاتب الفلسطينيّ محمود شقير عام 1985,Palestinian writer Mahmoud Shukair's family in 1985,"A colour photograph of the Palestinian writer Mahmoud Shukair's family in 1985. Mahmoud Shukair, his wife Na'eema, and his daughters Basima and Amena are seen in the photo|~|صورة ملونة لعائلة الكاتب الفلسطينيّ محمود شقير عام 1985، يظهر في الصورة محمود شقير برفقة زوجته نعيمة وابنتاه باسمة وأمينة.","Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,1985; Date created,1985,,"[31.9539494,35.910635]",,"محمود شقير  زوجته نعيمة  ابنتاه: باسمة وأمينة  عمان 1985|~|Mahmoud Shukair, his wife Na'eema, and his daughters Basima and Amena. Amman / 1985",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/37675_ca_object_representations_media_96397_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/10220_ca_object_representations_media_96397_original.jpg,https://palarchive.org/index.php/Detail/objects/125904/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,"A colour photograph of the Palestinian writer Mahmoud Shukair's family in 1985. Mahmoud Shukair, his wife Na'eema, and his daughters Basima and Amena are seen in the photo",صورة ملونة لعائلة الكاتب الفلسطينيّ محمود شقير عام 1985، يظهر في الصورة محمود شقير برفقة زوجته نعيمة وابنتاه باسمة وأمينة.,color photographs,محمود شقير  زوجته نعيمة  ابنتاه: باسمة وأمينة  عمان 1985,"Mahmoud Shukair, his wife Na'eema, and his daughters Basima and Amena. Amman / 1985",
ark:/13030/m5424k9w,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0003|~|125905|~|87624_ca_object_representations_media_96399_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير ووالده عبد الحافظ في بيروت عام 1975,Mahmoud Shukair with his father Abdel-Hafez in Beirut in 1975,A black-and-white photograph of Mahmoud Shukair with his father Abdel-Hafez in Beirut; after his deportation from the Israeli prisons to Beirut in 1975|~|صورة غير ملونة يظهر فيها محمود شقير ووالده عبد الحافظ في بيروت، بعد أسبوعين من وصوله مُبعداً من السجون الإسرائيلية إلى بيروت عام 1975.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,15 March 1975; Date created,1975-03-15,,"[33.8937913,35.5017767]",,"اخذت 15 / 3 / 75  ذكر لقاء الأحبة  ابو محمود الأب وابنه المبعد عن وطنه  محمود  محمود شقير مع والده  عبد الحافظ  بيروت 1975  بعد أسبوعين من وصولي إلى بيروتمبعداً من السجن الإسرائيلي (28/ 2 / 1975)|~|Taken in 15/3/1975. A memory of meeting Abu Mahmoud; the father, and his expatriated son Mahmoud.                   Mahmoud Shukair with his father Abdel-Hafez in Beirut - 1975. Two weeks into my arrival to Beirut after being deported from the Israeli prisons (28/2/1975",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/27097_ca_object_representations_media_96399_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/3/87624_ca_object_representations_media_96399_original.jpg,https://palarchive.org/index.php/Detail/objects/125905/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,A black-and-white photograph of Mahmoud Shukair with his father Abdel-Hafez in Beirut; after his deportation from the Israeli prisons to Beirut in 1975,صورة غير ملونة يظهر فيها محمود شقير ووالده عبد الحافظ في بيروت، بعد أسبوعين من وصوله مُبعداً من السجون الإسرائيلية إلى بيروت عام 1975.,black-and-white photographs,اخذت 15 / 3 / 75  ذكر لقاء الأحبة  ابو محمود الأب وابنه المبعد عن وطنه  محمود  محمود شقير مع والده  عبد الحافظ  بيروت 1975  بعد أسبوعين من وصولي إلى بيروتمبعداً من السجن الإسرائيلي (28/ 2 / 1975),"Taken in 15/3/1975. A memory of meeting Abu Mahmoud; the father, and his expatriated son Mahmoud.                   Mahmoud Shukair with his father Abdel-Hafez in Beirut - 1975. Two weeks into my arrival to Beirut after being deported from the Israeli prisons (28/2/1975",
ark:/13030/m5rr9mgx,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0004|~|125906|~|76671_ca_object_representations_media_96401_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,والد ووالدة الأديب الفلسطينيّ محمود شقير عام 1990,"Abdel-Hafeth and Fidda; parents of the Palestinian writer Mahmoud Shukair, in 1990","A colour photograph of Abdel-Hafeth and Fidda; parents of the Palestinian writer Mahmoud Shukair, in 1990|~|صورة ملونة لوالد ووالدة الأديب الفلسطينيّ محمود شقير عام 1990 ، الوالد عبد الحافظ والوالدة فضة.","Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,1990; Date created,1990,,,,والد محمود شقير  عبد الحافظ  ووالدته:  فضة 1990|~|Mahmoud Shukair's father Abdel-Hafez and his mother Fidda in 1990,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/26497_ca_object_representations_media_96401_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/76671_ca_object_representations_media_96401_original.jpg,https://palarchive.org/index.php/Detail/objects/125906/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,"A colour photograph of Abdel-Hafeth and Fidda; parents of the Palestinian writer Mahmoud Shukair, in 1990",صورة ملونة لوالد ووالدة الأديب الفلسطينيّ محمود شقير عام 1990 ، الوالد عبد الحافظ والوالدة فضة.,color photographs,والد محمود شقير  عبد الحافظ  ووالدته:  فضة 1990,Mahmoud Shukair's father Abdel-Hafez and his mother Fidda in 1990,
ark:/13030/m5n08vsz,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0005|~|125907|~|16119_ca_object_representations_media_96403_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير خلال المشاركة في مؤتمر للتضامن مع الشعب الفلسطيني في الدنمارك عام 1995,Mahmoud Shukair at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995,A colour photograph of Mahmoud Shukair at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995|~|صورة ملونة لمحمود شقير خلال المشاركة في مؤتمر للتضامن مع الشعب الفلسطيني في مدينة إلسينور الدنماركية عام 1995.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,1995; Date created,1995,,"[56.030787,12.592127]",,محمود شقير  إلسينور 1995  أثناء انعقاد مؤتمر للتضامن مع الشعب الفلسطيني|~|Mahmoud Shukair at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/98452_ca_object_representations_media_96403_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/16119_ca_object_representations_media_96403_original.jpg,https://palarchive.org/index.php/Detail/objects/125907/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,A colour photograph of Mahmoud Shukair at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995,صورة ملونة لمحمود شقير خلال المشاركة في مؤتمر للتضامن مع الشعب الفلسطيني في مدينة إلسينور الدنماركية عام 1995.,color photographs,محمود شقير  إلسينور 1995  أثناء انعقاد مؤتمر للتضامن مع الشعب الفلسطيني,Mahmoud Shukair at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995,
ark:/13030/m5093tjq,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0006|~|125908|~|90757_ca_object_representations_media_96405_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير وإبراهيم دعيبس في الدنمارك عام 1995,Mahmoud Shukair and Ibrahim Da'bes in Helsingør - Denmark in 1995,A colour photograph of Mahmoud Shukair and Ibrahim Da'bes at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995|~|صورة ملونة لمحمود شقير وإبراهيم دعيبس خلال المشاركة في مؤتمر للتضامن مع الشعب الفلسطينيّ في الدنمارك عام 1995.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,1995; Date created,1995,,"[56.030787,12.592127]",,محمود شقير وإلى يمينه ابراهيم دعيبس  إلسينور / الدنمارك  1995|~|Mahmoud Shukair with Ibrahim Da'bes to his right. Helsingør - Denmark in 1995,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/35340_ca_object_representations_media_96405_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/90757_ca_object_representations_media_96405_original.jpg,https://palarchive.org/index.php/Detail/objects/125908/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,A colour photograph of Mahmoud Shukair and Ibrahim Da'bes at a conference in solidarity with the Palestinians in Helsingør - Denmark in 1995,صورة ملونة لمحمود شقير وإبراهيم دعيبس خلال المشاركة في مؤتمر للتضامن مع الشعب الفلسطينيّ في الدنمارك عام 1995.,color photographs,محمود شقير وإلى يمينه ابراهيم دعيبس  إلسينور / الدنمارك  1995,Mahmoud Shukair with Ibrahim Da'bes to his right. Helsingør - Denmark in 1995,
ark:/13030/m57t5b19,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0007|~|125909|~|2659_ca_object_representations_media_96407_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,"إعلان عرض مسرحي بعنوان ""ديمقراطي بالعافية"" في القدس عام 1996","An announcement for the theatrical performance of ""Barely Democratic"" in Jerusalem in 1996","Invitation to a theatrical performance entitled ""Barely Democratic"" in Jerusalem in 1996. Actors who participated are Zuheir Nobani, Hussam Abu Eisheh, Adnan Abu Sneneh, Sameera Natour, Ismail Dabbagh, Mahmoud Abu al-Sheikh, Najeh Abu Shamseyeh, Reem, el-Law. The play was written by Mahmoud Shukair and directed by Waleed Abdel-Salam|~|دعوة لحضور عرض مسرحي ""ديمقراطي بالعافية"" في القدس عام 1996، تمثيل: زهير النوباني، حسام أبو عيشة، عدنان أبو سنينة، سميرة الناطور، إسماعيل الدبّاغ، محمود أبو الشيخ، ناجح أبو شمسيّة، ريم اللو. تأليف محمود شقير وإخراج وليد عبد السلام.","Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,1996; Date created,1996,,"[31.768319,35.21371]",,"إعلان عن عرض مسرحي  ديمقراطي بالعافية  تأليف محمود شقير  القدس 1996|~|An announcement for the theatrical performance of ""Barely Democratic""; a play written by Mahmoud Shukair. Jerusalem/1996",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/8240_ca_object_representations_media_96407_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/2659_ca_object_representations_media_96407_original.jpg,https://palarchive.org/index.php/Detail/objects/125909/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,"Invitation to a theatrical performance entitled ""Barely Democratic"" in Jerusalem in 1996. Actors who participated are Zuheir Nobani, Hussam Abu Eisheh, Adnan Abu Sneneh, Sameera Natour, Ismail Dabbagh, Mahmoud Abu al-Sheikh, Najeh Abu Shamseyeh, Reem, el-Law. The play was written by Mahmoud Shukair and directed by Waleed Abdel-Salam","دعوة لحضور عرض مسرحي ""ديمقراطي بالعافية"" في القدس عام 1996، تمثيل: زهير النوباني، حسام أبو عيشة، عدنان أبو سنينة، سميرة الناطور، إسماعيل الدبّاغ، محمود أبو الشيخ، ناجح أبو شمسيّة، ريم اللو. تأليف محمود شقير وإخراج وليد عبد السلام.",color photographs,إعلان عن عرض مسرحي  ديمقراطي بالعافية  تأليف محمود شقير  القدس 1996,"An announcement for the theatrical performance of ""Barely Democratic""; a play written by Mahmoud Shukair. Jerusalem/1996",
ark:/13030/m5vj3b2t,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0008|~|125910|~|41578_ca_object_representations_media_96409_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير برفقة وليد سيف خلال ندوة في عمّان,Mahmoud Shukair with Waleed Seif during a seminar at the Jordanian Writers Association in Amman,A colour photograph of Mahmoud Shukair with Waleed Seif during a seminar at the Jordanian Writers Association in Amman|~|صورة ملونة يظهر فيها محمود شقير برفقة وليد سيف خلال ندوة في عمّان لرابطة الكُتّاب الأردنيين.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,,still image,,,,"[31.9539494,35.910635]",,محمود شقير  من اليمين: الدكتور وليد سيف  ندوة في رابطة الكتاب الأردنيين / عمّان|~|Mahmoud Shukair. On the right: Dr. Waleed Seif. a seminar at the Jordanian Writers Association in Amman,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/22046_ca_object_representations_media_96409_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/41578_ca_object_representations_media_96409_original.jpg,https://palarchive.org/index.php/Detail/objects/125910/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:41,9 March 2021 at 11:26:30,A colour photograph of Mahmoud Shukair with Waleed Seif during a seminar at the Jordanian Writers Association in Amman,صورة ملونة يظهر فيها محمود شقير برفقة وليد سيف خلال ندوة في عمّان لرابطة الكُتّاب الأردنيين.,color photographs,محمود شقير  من اليمين: الدكتور وليد سيف  ندوة في رابطة الكتاب الأردنيين / عمّان,Mahmoud Shukair. On the right: Dr. Waleed Seif. a seminar at the Jordanian Writers Association in Amman,
ark:/13030/m5qs2kd0,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0009|~|125911|~|34375_ca_object_representations_media_96411_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير برفقة مجموعة من المعلمين في رحلة إلى الأغوار عام 1977,Mahmoud Shukair with a group of teachers on a trip to the Aghwar (The Valleys)  in 1977,A black-and-white photograph of Mahmoud Shukair with a group of teachers on a trip to the Aghwar (The Valleys) in 1977|~|صورة غير ملونة يظهر فيها محمود شقير برفقة مجموعة من المعلمين في رحلة إلى الأغوار عام 1977.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1977; Date created,1977,,"[30.585164,36.238414]",,محمود شقير ومعه عدد من المعلمين  في رحلة إلى الأغوار  1977|~|Mahmoud Shukair with a group of teachers on a trip to the Aghwar (The Valleys) in 1977,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/46104_ca_object_representations_media_96411_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/34375_ca_object_representations_media_96411_original.jpg,https://palarchive.org/index.php/Detail/objects/125911/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:42,9 March 2021 at 11:26:30,A black-and-white photograph of Mahmoud Shukair with a group of teachers on a trip to the Aghwar (The Valleys) in 1977,صورة غير ملونة يظهر فيها محمود شقير برفقة مجموعة من المعلمين في رحلة إلى الأغوار عام 1977.,black-and-white photographs,محمود شقير ومعه عدد من المعلمين  في رحلة إلى الأغوار  1977,Mahmoud Shukair with a group of teachers on a trip to the Aghwar (The Valleys) in 1977,
ark:/13030/m5bk91p4,ark:/21198/z1s52bn5,,Work,130.0,0130.01.0010|~|125912|~|22495_ca_object_representations_media_96413_original.jpg,The Mahmoud Shukair Collection,Mahmoud Shukair Sub-collection 1: Photographs,محمود شقير برفقة زوجته وابنته في بيروت عام 1975,Mahmoud Shukair in Beirut with his wife Na'eema and his daughter Amena in 1975,A black-and-white photograph of Mahmoud Shukair in Beirut with his wife Na'eema and his daughter Amena in 1975|~|صورة غير ملونة يظهر فيها محمود شقير برفقة زوجته نعيمة وابنته أمينة في بيروت عام 1975.,"Mahmoud Shukair (Collection owner), interview with PMDA researcher Lama Ghosheh, February 2019, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,April 1975; Date created,1975-04,,"[33.8937913,35.5017767]",,بيروت / نيسان 1975  محمود شقير وزوجته نعيمة وابنتهما أمينة|~|Beirut/April 1975. Mahmoud Shukair with his wife Na'eema and his daughter Amena,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/75444_ca_object_representations_media_96413_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/6/4/22495_ca_object_representations_media_96413_original.jpg,https://palarchive.org/index.php/Detail/objects/125912/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Mahmoud Shukair Sub-collection 1: Photographs | The Mahmoud Shukair Collection,11 June 2019 at 14:32:42,9 March 2021 at 11:26:30,A black-and-white photograph of Mahmoud Shukair in Beirut with his wife Na'eema and his daughter Amena in 1975,صورة غير ملونة يظهر فيها محمود شقير برفقة زوجته نعيمة وابنته أمينة في بيروت عام 1975.,black-and-white photographs,بيروت / نيسان 1975  محمود شقير وزوجته نعيمة وابنتهما أمينة,Beirut/April 1975. Mahmoud Shukair with his wife Na'eema and his daughter Amena,
