,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z1839bm1,,,Collection,,,,,The Democratic Women's Movement Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5pp6tz7,ark:/21198/z1839bm1,,Work,134.0,0134.01.0001|~|128694|~|3914_ca_object_representations_media_93980_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women|~|.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,heb,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/74506_ca_object_representations_media_93980_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/3914_ca_object_representations_media_93980_original.jpg,https://palarchive.org/index.php/Detail/objects/128694/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women,.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,color photographs,,,
2,ark:/13030/m5tf7kpz,ark:/21198/z1839bm1,,Work,134.0,0134.01.0002|~|128695|~|53959_ca_object_representations_media_93981_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women|~|.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/78842_ca_object_representations_media_93981_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/53959_ca_object_representations_media_93981_original.jpg,https://palarchive.org/index.php/Detail/objects/128695/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women,.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,color photographs,,,
3,ark:/13030/m55r2jfq,ark:/21198/z1839bm1,,Work,134.0,0134.01.0003|~|128696|~|79779_ca_object_representations_media_93982_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women|~|.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/79238_ca_object_representations_media_93982_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/79779_ca_object_representations_media_93982_original.jpg,https://palarchive.org/index.php/Detail/objects/128696/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women,.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,color photographs,,,
4,ark:/13030/m59h395f,ark:/21198/z1839bm1,,Work,134.0,0134.01.0004|~|128697|~|14709_ca_object_representations_media_93983_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women|~|.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/42065_ca_object_representations_media_93983_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/14709_ca_object_representations_media_93983_original.jpg,https://palarchive.org/index.php/Detail/objects/128697/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women,.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,color photographs,,,
5,ark:/13030/m5f841wr,ark:/21198/z1839bm1,,Work,134.0,0134.01.0005|~|128698|~|86179_ca_object_representations_media_93984_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women|~|.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/21662_ca_object_representations_media_93984_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/86179_ca_object_representations_media_93984_original.jpg,https://palarchive.org/index.php/Detail/objects/128698/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women,.صورة ملونة، تظهر فيها مظاهره من قبل حركة النساء الديمقراطيات,color photographs,,,
6,ark:/13030/m5jx6379,ark:/21198/z1839bm1,,Work,134.0,0134.01.0006|~|128699|~|98650_ca_object_representations_media_93985_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation|~|صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,ara,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/98863_ca_object_representations_media_93985_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/98650_ca_object_representations_media_93985_original.jpg,https://palarchive.org/index.php/Detail/objects/128699/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:47,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation,صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,color photographs,,,
7,ark:/13030/m5sg0jg7,ark:/21198/z1839bm1,,Work,134.0,0134.01.0007|~|128700|~|49235_ca_object_representations_media_93986_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation|~|صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,ara,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/67107_ca_object_representations_media_93986_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/49235_ca_object_representations_media_93986_original.jpg,https://palarchive.org/index.php/Detail/objects/128700/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:48,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation,صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,color photographs,,,
8,ark:/13030/m5d870st,ark:/21198/z1839bm1,,Work,134.0,0134.01.0008|~|128701|~|66156_ca_object_representations_media_93987_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation|~|صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,ara,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/82795_ca_object_representations_media_93987_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/66156_ca_object_representations_media_93987_original.jpg,https://palarchive.org/index.php/Detail/objects/128701/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:48,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation,صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,color photographs,,,
9,ark:/13030/m5j17rh5,ark:/21198/z1839bm1,,Work,134.0,0134.01.0009|~|128702|~|85901_ca_object_representations_media_93988_original.jpg,The Democratic Women's Movement Collection,The Democratic Women's Movement Sub-collection 1: Photographs,مظاهره من قبل حركة النساء الديمقراطيات,A demonstration led by the Movement of Democratic Women,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation|~|صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,فتحية صغير (السكرتيرة العامة لحركة النساء الديمقراطيات في إسرائيل)، مقابلة مع باحثة الأرشيف الرقمي لمى غوشة، أيلول – تشرين الثاني 2018، غيْر مفرغة، أرشيف المتحف الفلسطيني الرقمي.,color photographs,heb|~|ara,still image,,,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/62344_ca_object_representations_media_93988_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/9/3/9/85901_ca_object_representations_media_93988_original.jpg,https://palarchive.org/index.php/Detail/objects/128702/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Democratic Women's Movement Sub-collection 1: Photographs | The Democratic Women's Movement Collection,17 June 2019 at 13:42:48,9 March 2021 at 11:25:45,A colour photograph of a demonstration led by the Movement of Democratic Women against the Israeli Occupation,صورة ملونة، تظهر فيها مجموعة من النساء يحملن لافتات عليها شعارات اثناء مظاهره ضد الاحتلال الاسرائيلي,color photographs,,,
