Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1bw328h,,,Collection,,,,,The Lena Sobeh Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5n08wbj,ark:/21198/z1bw328h,,Work,141.0,0141.01.0001|~|137422|~|71372_ca_object_representations_media_108579_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/90547_ca_object_representations_media_108579_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/71372_ca_object_representations_media_108579_original.jpg,https://palarchive.org/index.php/Detail/objects/137422/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:31,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5cg7cwg,ark:/21198/z1bw328h,,Work,141.0,0141.01.0002|~|137423|~|48043_ca_object_representations_media_108580_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/55976_ca_object_representations_media_108580_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/48043_ca_object_representations_media_108580_original.jpg,https://palarchive.org/index.php/Detail/objects/137423/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:31,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5rr9n2z,ark:/21198/z1bw328h,,Work,141.0,0141.01.0003|~|137424|~|88832_ca_object_representations_media_108581_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/71311_ca_object_representations_media_108581_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/88832_ca_object_representations_media_108581_original.jpg,https://palarchive.org/index.php/Detail/objects/137424/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:31,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5h784m6,ark:/21198/z1bw328h,,Work,141.0,0141.01.0004|~|137425|~|87220_ca_object_representations_media_108582_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/5699_ca_object_representations_media_108582_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/87220_ca_object_representations_media_108582_original.jpg,https://palarchive.org/index.php/Detail/objects/137425/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:31,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5qs2kz5,ark:/21198/z1bw328h,,Work,141.0,0141.01.0005|~|137426|~|76894_ca_object_representations_media_108583_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"Photographs captured during the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/79388_ca_object_representations_media_108583_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/76894_ca_object_representations_media_108583_original.jpg,https://palarchive.org/index.php/Detail/objects/137426/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:30,"Photographs captured during the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m57q6n6m,ark:/21198/z1bw328h,,Work,141.0,0141.01.0006|~|137427|~|6367_ca_object_representations_media_108584_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/41290_ca_object_representations_media_108584_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/6367_ca_object_representations_media_108584_original.jpg,https://palarchive.org/index.php/Detail/objects/137427/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:30,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5093v39,ark:/21198/z1bw328h,,Work,141.0,0141.01.0007|~|137428|~|82612_ca_object_representations_media_108585_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/39319_ca_object_representations_media_108585_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/82612_ca_object_representations_media_108585_original.jpg,https://palarchive.org/index.php/Detail/objects/137428/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:30,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m53z5wgw,ark:/21198/z1bw328h,,Work,141.0,0141.01.0008|~|137429|~|81357_ca_object_representations_media_108586_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/64229_ca_object_representations_media_108586_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/81357_ca_object_representations_media_108586_original.jpg,https://palarchive.org/index.php/Detail/objects/137429/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:11,9 March 2021 at 11:21:30,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m56q9m1s,ark:/21198/z1bw328h,,Work,141.0,0141.01.0009|~|137430|~|32630_ca_object_representations_media_108587_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/67095_ca_object_representations_media_108587_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/32630_ca_object_representations_media_108587_original.jpg,https://palarchive.org/index.php/Detail/objects/137430/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:12,9 March 2021 at 11:21:30,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
ark:/13030/m5vj3bnf,ark:/21198/z1bw328h,,Work,141.0,0141.01.0010|~|137431|~|59252_ca_object_representations_media_108588_original.jpg,The Lena Sobeh Collection,,صور جنازة الرئيس الفلسطيني ياسر عرفات في مدينة رام الله,A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.|~|صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.",,color photographs,ara,still image,13 November 2004,2004-11-13,,"[31.9037641,35.2034184;31.9037641,35.2034184]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/39243_ca_object_representations_media_108588_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/0/8/5/59252_ca_object_representations_media_108588_original.jpg,https://palarchive.org/index.php/Detail/objects/137431/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Lena Sobeh Collection,11 July 2019 at 14:16:12,9 March 2021 at 11:21:30,"A photograph of the funeral of Late Palestinian President Yassir Arafat in Ramallah, West Bank. Arafat was buried on the grounds of Al Mukata'a; headquarters of the Palestinian Presidential Office and the Palestinian Authority.",صور تشييع جثمان الرئيس الفلسطيني الراحل ياسر عرفات في رام الله بالضفة الغربية إلى مثواه الأخير في قبر بباحة مقر قيادة السلطة الفلسطينية بالمقاطعة.,color photographs,,,صور تشييع جثمان أبو عمار | صور تشييع جثمان أبو عمار
