Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1q5887m,,,Collection,,,,,The Rima Nasir Tarazi Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5gb9t7n,ark:/21198/z1q5887m,,Work,146.0,0146.01.0001|~|166552|~|63481_ca_object_representations_media_119797_original.jpg,The Rima Nasir Tarazi Collection,,أفراد من عائلة ناصر أثناء وداع ابنتهم في مطار قلنديا، 1952,"Members of the Nasir Family Bidding their Daughter Goodbye at the Qalandiya Airport, 1952","Taken in 1952, this photograph shows the Nasir Family bidding their daughter, Samia, farewell. The front row includes, from the right, Ellen, Diana, Najla and Samia Nasir, while the second row includes Hanna, Linda, Musa Nasir and Rima Nasir.|~|صورة لعائلة ناصر في وداع ابنتهم سامية في مطار قلنديا عام 1952، يظهر فيها في الصف الأول من اليمين كل من إلين، وديانا، ونجلاء، وسامية ناصر، وفي الصف الثاني كل من حنا، وليندا، وأمين، وموسى ناصر، وفي أقصى اليسار ريما ناصر.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1952; Date created,1952,عائلة ناصر، نساء، رجال، مطار قلنديا، طائرة، سفر,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/90925_ca_object_representations_media_119797_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/63481_ca_object_representations_media_119797_original.jpg,https://palarchive.org/index.php/Detail/objects/166552/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:32,21 November 2022 at 14:48:07,"Taken in 1952, this photograph shows the Nasir Family bidding their daughter, Samia, farewell. The front row includes, from the right, Ellen, Diana, Najla and Samia Nasir, while the second row includes Hanna, Linda, Musa Nasir and Rima Nasir.",صورة لعائلة ناصر في وداع ابنتهم سامية في مطار قلنديا عام 1952، يظهر فيها في الصف الأول من اليمين كل من إلين، وديانا، ونجلاء، وسامية ناصر، وفي الصف الثاني كل من حنا، وليندا، وأمين، وموسى ناصر، وفي أقصى اليسار ريما ناصر.,black-and-white photographs,,,
ark:/13030/m5xh7fbf,ark:/21198/z1q5887m,,Work,146.0,0146.01.0002|~|166553|~|24526_ca_object_representations_media_119798_original.jpg,The Rima Nasir Tarazi Collection,,حفل موسيقي لكلية بيرزيت في مدرسة الفريندز، 1956,"Birzeit College's Concert at the Friends School, 1956","This photograph shows the Birzeit College Choir, led by musician Yousef Batroni, accompanied by Rima Nasir on the piano, and a group of musicians including Amin Majaj, Alfred Rock, and Michel Awad, during a concert that was held on the stage of the Friends School in Ramallah under the patronage of Queen Dina bint Abdel-Hamid.|~|صورة لجوقة كلية بيرزيت بقيادة الموسيقار يوسف بتروني بمرافقة ريما ناصر على البيانو وفريق من العازفين من ضمنهم أمين مجج، وألفريد روك، ومشيل عوض خلال حفل موسيقي أقيم على خشبة مسرح مدرسة الفريندز في رام الله تحت رعاية الملكة دينا بنت عبد الحميد.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1956; Date created,1956,اوركسترا، عازفين، ادوات موسيقية، جوقة، حفل موسيقي، مسرح، مدرسة الفريندز، رام الله,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/51585_ca_object_representations_media_119798_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/24526_ca_object_representations_media_119798_original.jpg,https://palarchive.org/index.php/Detail/objects/166553/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:32,21 November 2022 at 14:48:07,"This photograph shows the Birzeit College Choir, led by musician Yousef Batroni, accompanied by Rima Nasir on the piano, and a group of musicians including Amin Majaj, Alfred Rock, and Michel Awad, during a concert that was held on the stage of the Friends School in Ramallah under the patronage of Queen Dina bint Abdel-Hamid.",صورة لجوقة كلية بيرزيت بقيادة الموسيقار يوسف بتروني بمرافقة ريما ناصر على البيانو وفريق من العازفين من ضمنهم أمين مجج، وألفريد روك، ومشيل عوض خلال حفل موسيقي أقيم على خشبة مسرح مدرسة الفريندز في رام الله تحت رعاية الملكة دينا بنت عبد الحميد.,black-and-white photographs,,,
ark:/13030/m5k43ht4,ark:/21198/z1q5887m,,Work,146.0,0146.01.0003|~|166554|~|91632_ca_object_representations_media_119799_original.jpg,The Rima Nasir Tarazi Collection,,ليندا ناصر في وداع أختها في مطار قلنديا، 1955,"Linda Nasir Bidding Farewell to Her Sister at Qalandiya Airport, 1955","Taken in 1955, this photograph shows Linda Nasir bidding farewell to her sister Vera, and her son Efteem Azar at Qalandiya Airport.|~|ليندا ناصر في وداع أختها فيرا وابنها أفتيم عازر في مطار قلنديا عام 1955.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1955; Date created,1955,عائلة عازر، اخوات، طفل، مطار قلنديا، طائرة، رجل، سفر، مصر,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/63109_ca_object_representations_media_119799_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/7/91632_ca_object_representations_media_119799_original.jpg,https://palarchive.org/index.php/Detail/objects/166554/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,21 November 2022 at 14:48:07,"Taken in 1955, this photograph shows Linda Nasir bidding farewell to her sister Vera, and her son Efteem Azar at Qalandiya Airport.",ليندا ناصر في وداع أختها فيرا وابنها أفتيم عازر في مطار قلنديا عام 1955.,black-and-white photographs,,,
ark:/13030/m5dg4fb9,ark:/21198/z1q5887m,,Work,146.0,0146.01.0004|~|166555|~|54020_ca_object_representations_media_119800_original.jpg,The Rima Nasir Tarazi Collection,,موسى ناصر مع أفراد عائلته، 1967,"Musa Nasir with His Family, 1967","Taken in 1967, this photograph shows Mousa Nasir with his family at the family house in Birzeit. Seen in the first row; right to left, are Nabil and Marwan Tarazi, Dina Khoury, Musa Nasir, Mounir Tarazi, Suhail and Maher Khoury, and Osama Tarazi. Appearing in the second row; right to left are Anisa, Elizabeth, Wadih, Linda Nasir, Nima Fares, and Victoria Nasir, and in the third row; right to left, are Hanna and Tania Nasir, Loris Nasir Khoury, Youssef Khoury, Rima Nasir Tarazi, Vera Tamari, Samia Nasir Khoury, Osama Fares, Noha Nasir, and Anton Tarazi.|~|صورة لموسى ناصر مع عائلته عام 1967 في منزل العائلة في بيرزيت، يظهر فيها في الصف الأول من اليمين كل من نبيل ومروان ترزي، ودينا خوري، وموسى ناصر، ومنير ترزي، وسهيل وماهر خوري، وأسامة ترزي. ويظهر في الصف الثاني من اليمين كل من أنيسة، وإليزابيث، ووديع، وموسى، وليندا ناصر، ونعمة فارس، وفيكتوريا ناصر. أما في الصف الثالث فيظهر كل من حنا وتانيا ناصر، ولوريس ناصر خوري، ويوسف خوري، وريما ناصر ترزي، وفيرا تماري، وسامية ناصر خوري، وأسامة فارس، ونهى ناصر، وأنطون ترزي.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1967; Date created,1967,عائلة، اقارب، اطفال، نساء، رجال، شبان، منزل، بيرزيت، مقاعد,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/93871_ca_object_representations_media_119800_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/54020_ca_object_representations_media_119800_original.jpg,https://palarchive.org/index.php/Detail/objects/166555/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,21 November 2022 at 14:48:07,"Taken in 1967, this photograph shows Mousa Nasir with his family at the family house in Birzeit. Seen in the first row; right to left, are Nabil and Marwan Tarazi, Dina Khoury, Musa Nasir, Mounir Tarazi, Suhail and Maher Khoury, and Osama Tarazi. Appearing in the second row; right to left are Anisa, Elizabeth, Wadih, Linda Nasir, Nima Fares, and Victoria Nasir, and in the third row; right to left, are Hanna and Tania Nasir, Loris Nasir Khoury, Youssef Khoury, Rima Nasir Tarazi, Vera Tamari, Samia Nasir Khoury, Osama Fares, Noha Nasir, and Anton Tarazi.",صورة لموسى ناصر مع عائلته عام 1967 في منزل العائلة في بيرزيت، يظهر فيها في الصف الأول من اليمين كل من نبيل ومروان ترزي، ودينا خوري، وموسى ناصر، ومنير ترزي، وسهيل وماهر خوري، وأسامة ترزي. ويظهر في الصف الثاني من اليمين كل من أنيسة، وإليزابيث، ووديع، وموسى، وليندا ناصر، ونعمة فارس، وفيكتوريا ناصر. أما في الصف الثالث فيظهر كل من حنا وتانيا ناصر، ولوريس ناصر خوري، ويوسف خوري، وريما ناصر ترزي، وفيرا تماري، وسامية ناصر خوري، وأسامة فارس، ونهى ناصر، وأنطون ترزي.,black-and-white photographs,,,
ark:/13030/m5nw77fm,ark:/21198/z1q5887m,,Work,146.0,0146.01.0005|~|166556|~|17803_ca_object_representations_media_119801_original.jpg,The Rima Nasir Tarazi Collection,,ريما ناصر تعزف البيانو داخل صالة العرض في سينما دنيا، 1951-1952,"Rima Nasir Playing the Piano Inside the Showroom at Dunia Cinema, 1951-1952","This photograph shows Rima Nasir playing the piano during the performance of the ""A Tale of Two Cities"" play on the stage of Dunia Cinema, which was built in 1945 and was the first cinematic showroom in the West Bank.|~|ريما ناصر تعزف على البيانو خلال عرض مسرحية ""قصة مدينتين"" التي أقيمت على خشبة مسرح سينما دنيا والتي تم تشييدها عام 1945 وكانت أولى صالات العرض السينمائي في الضفة الغربية.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1951; Date created,1951,فتاة، الة بيانو، عازفة، جمهور، حضور، مسرحية، سينما دنيا، رام الله,"[31.9037641,35.2034184]; [31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/55423_ca_object_representations_media_119801_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/17803_ca_object_representations_media_119801_original.jpg,https://palarchive.org/index.php/Detail/objects/166556/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,30 November 2022 at 9:07:51,"This photograph shows Rima Nasir playing the piano during the performance of the ""A Tale of Two Cities"" play on the stage of Dunia Cinema, which was built in 1945 and was the first cinematic showroom in the West Bank.","ريما ناصر تعزف على البيانو خلال عرض مسرحية ""قصة مدينتين"" التي أقيمت على خشبة مسرح سينما دنيا والتي تم تشييدها عام 1945 وكانت أولى صالات العرض السينمائي في الضفة الغربية.",black-and-white photographs,,,
ark:/13030/m5wj0d55,ark:/21198/z1q5887m,,Work,146.0,0146.01.0006|~|166597|~|4816_ca_object_representations_media_119803_original.jpg,The Rima Nasir Tarazi Collection,,موسى وبطرس ناصر مع مجموعة أشخاص,Musa and Botrous Nasir with a Group of People,"This photograph shows, from the left, Musa and Botrous Nasir (Abu Kamal) with a group of people.|~|يظهر في الصورة من جهة اليسار موسى وبطرس ناصر ""أبو كمال"" مع مجموعة أشخاص.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,,,مجموعة، رجال، بدلات رسمية، درج، مبنى، طبيعة، شجيرات,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/14193_ca_object_representations_media_119803_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/4816_ca_object_representations_media_119803_original.jpg,https://palarchive.org/index.php/Detail/objects/166597/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:38,23 November 2022 at 14:52:05,"This photograph shows, from the left, Musa and Botrous Nasir (Abu Kamal) with a group of people.","يظهر في الصورة من جهة اليسار موسى وبطرس ناصر ""أبو كمال"" مع مجموعة أشخاص.",black-and-white photographs,,,
ark:/13030/m5wf1pq0,ark:/21198/z1q5887m,,Work,146.0,0146.01.0007|~|166557|~|73894_ca_object_representations_media_119804_original.jpg,The Rima Nasir Tarazi Collection,,صورة من الدمار الذي خلفه الاحتلال الإسرائيلي في القدس، 1948,"A Photograph of the Israeli Occupation's Destruction in Jerusalem, 1948",This photograph shows a piece of the destruction left behind by the Israeli Occupation in Jerusalem during the 1948 Nakba.|~|جانب من الدمار الذي خلفه الاحتلال الإسرائيلي في القدس خلال نكبة عام 1948.,"Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1948; Date created,1948,شارع، أبنية مهدمة، ناس، حرب 1948، القدس، الاحتلال الاسرائيلي,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/15195_ca_object_representations_media_119804_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/73894_ca_object_representations_media_119804_original.jpg,https://palarchive.org/index.php/Detail/objects/166557/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,21 November 2022 at 14:48:07,This photograph shows a piece of the destruction left behind by the Israeli Occupation in Jerusalem during the 1948 Nakba.,جانب من الدمار الذي خلفه الاحتلال الإسرائيلي في القدس خلال نكبة عام 1948.,black-and-white photographs,,,
ark:/13030/m53v76df,ark:/21198/z1q5887m,,Work,146.0,0146.01.0008|~|166558|~|65846_ca_object_representations_media_119806_original.jpg,The Rima Nasir Tarazi Collection,,موسى وليندا ناصر برفقة فائق ومارجو تماري، 1971,"Musa and Linda Nasir with Fayeq and Margo Tamari, 1971","Taken at the Nasir Family house in 1971, this photograph shows, from the right, Linda Nasir, her grandson Musa Nasir and her husband Musa Nasir with Margo Tamari holding her grandchildren Ramzi Nasir and behind her is her husband Fayeq Tamari.|~|صورة التُقطت في منزل عائلة ناصر في بيرزيت عام 1971، يظهر فيها من اليمين ليندا ناصر وحفيدها موسى ناصر وزوجها موسى ناصر، برفقة مارجو تماري التي تحمل حفيدها رمزي ناصر، ومن خلفها يجلس زوجها فائق تماري.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1971; Date created,1971,عائلة ناصر، عائلة تماري، ازواج، زوجات، جد، جدة، طفلين، احفاد، منزل، بيرزيت,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/62311_ca_object_representations_media_119806_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/65846_ca_object_representations_media_119806_original.jpg,https://palarchive.org/index.php/Detail/objects/166558/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,21 November 2022 at 14:48:07,"Taken at the Nasir Family house in 1971, this photograph shows, from the right, Linda Nasir, her grandson Musa Nasir and her husband Musa Nasir with Margo Tamari holding her grandchildren Ramzi Nasir and behind her is her husband Fayeq Tamari.",صورة التُقطت في منزل عائلة ناصر في بيرزيت عام 1971، يظهر فيها من اليمين ليندا ناصر وحفيدها موسى ناصر وزوجها موسى ناصر، برفقة مارجو تماري التي تحمل حفيدها رمزي ناصر، ومن خلفها يجلس زوجها فائق تماري.,black-and-white photographs,,,
ark:/13030/m5618phm,ark:/21198/z1q5887m,,Work,146.0,0146.01.0009|~|166559|~|16666_ca_object_representations_media_119808_original.jpg,The Rima Nasir Tarazi Collection,,موسى ناصر وعائلته أمام فندق عودة في رام الله، 1961,"Musa Nasir and His Family in front of Hotel Odeh in Ramallah, 1961","Taken at the entrance of Hotel Odeh in Ramallah in 1961, this photograph shows, in the front row from the right, Vera Khouri, child Osama Tarazi, Musa Nasir and Evilyn, while in the second row from the right, there is Rima Nasir Tarazi, Linda Nasir and Tamara Sawabini.|~|صورة يظهر فيها عدة أشخاص من أمام مدخل فندق عودة في رام الله 1961، وهم في الصف الأول من جهة اليمين فيرا خوري والطفل أسامة ترزي وموسى ناصر وإفيلين، وفي الصف الثاني من اليمين تظهر ريما ناصر ترزي وليندا ناصر وتمارا صوابيني.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,27 November 1961; Date created,1961-11-27,شارع، اشخاص، عائلة، فندق عودة، سيارة، رام الله,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/91339_ca_object_representations_media_119808_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/16666_ca_object_representations_media_119808_original.jpg,https://palarchive.org/index.php/Detail/objects/166559/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,21 November 2022 at 14:48:07,"Taken at the entrance of Hotel Odeh in Ramallah in 1961, this photograph shows, in the front row from the right, Vera Khouri, child Osama Tarazi, Musa Nasir and Evilyn, while in the second row from the right, there is Rima Nasir Tarazi, Linda Nasir and Tamara Sawabini.",صورة يظهر فيها عدة أشخاص من أمام مدخل فندق عودة في رام الله 1961، وهم في الصف الأول من جهة اليمين فيرا خوري والطفل أسامة ترزي وموسى ناصر وإفيلين، وفي الصف الثاني من اليمين تظهر ريما ناصر ترزي وليندا ناصر وتمارا صوابيني.,black-and-white photographs,,,
ark:/13030/m5vf4npz,ark:/21198/z1q5887m,,Work,146.0,0146.01.0010|~|166560|~|27969_ca_object_representations_media_119809_original.jpg,The Rima Nasir Tarazi Collection,,ريما ناصر وسيدات من عائلتها في حفل تخريج كلية بيرزيت، 1951,"Rima Nasir and Female Relatives at the Birzeit College Graduation Ceremony, 1951","Taken at the Birzeit College graduation ceremony in 1951, this photograph shows, from the right, Rima Nasir Tarazi, Najla Nasir and Loris Nasir Khoury, while Ne'meh Nasir Fares is behind them on stage between the flowers.|~|تظهر في الصورة من جهة اليمين ريما ناصر ترزي، نجلاء ناصر، لوريس ناصر خوري، ومن الخلف نعمة ناصر فارس على المسرح بين الزهور في حفل تخريج كلية بيرزيت عام 1951.","Nasir, Rima. ""The Rima Nasir Collection"". Interview with PMDA Researcher Islam Kamal. The Palestinian Museum Digital Archive. March-June 2022.",black-and-white photographs,ara,still image,1951; Date created,1951,بورتريه، نساء، مسرح، زهور، حفل تخريج، رام الله، استوديو الحمراء,"[31.975314,35.196042]",Culture and Arts|~|Education and Extracurricular Activities|~|Everyday Life|~|Family Records|~|Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage|~|Women,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/29971_ca_object_representations_media_119809_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/8/27969_ca_object_representations_media_119809_original.jpg,https://palarchive.org/index.php/Detail/objects/166560/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,No,The Rima Nasir Tarazi Collection,11 September 2019 at 14:45:33,23 November 2022 at 15:03:45,"Taken at the Birzeit College graduation ceremony in 1951, this photograph shows, from the right, Rima Nasir Tarazi, Najla Nasir and Loris Nasir Khoury, while Ne'meh Nasir Fares is behind them on stage between the flowers.",تظهر في الصورة من جهة اليمين ريما ناصر ترزي، نجلاء ناصر، لوريس ناصر خوري، ومن الخلف نعمة ناصر فارس على المسرح بين الزهور في حفل تخريج كلية بيرزيت عام 1951.,black-and-white photographs,,,
