Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1bs4btb,,,Collection,,,,,The Hosni Radwan Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m51k7169,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0001|~|164046|~|60623_ca_object_representations_media_118072_original.jpg,The Hosni Radwan Collection,,اشقاء في متنزه,Siblings at a park,"Husni's siblings; right to left, Zainab, Mohammad and Zuhair, at the 14th of July Park in Baghdad. Husni's family is originally from Ayn Ghazal village; 21 kilometres south of Haifa, which was completely destroyed after the Nakba in 1948 by the Israeli Occupation. Husni's father liked photography, and he would take his children to the park every Friday and takes photos of them|~|اشقاء حسني (من اليمين الطفلة زينب، محمد، زهير رضوان) اثناء تواجدهم في منتزه 14 تموز، حيث كان صالح رضوان والد حسني يحب التصوير ويأخذهم كل يوم جمعة الى هذه الحديقة، وهم في الاصل من قرية عين غزال التي تبعد عن حيفا 21 كيلومتر، وهي قرية شبه مدمرة",,,,still image,1962,1962,اطفال، طفل، اشقاء، طفلة، اخوة، حديقة، منتزه، شجر، طبيعة، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/42564_ca_object_representations_media_118072_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/60623_ca_object_representations_media_118072_original.jpg,https://palarchive.org/index.php/Detail/objects/164046/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:53,9 March 2021 at 11:16:43,"Husni's siblings; right to left, Zainab, Mohammad and Zuhair, at the 14th of July Park in Baghdad. Husni's family is originally from Ayn Ghazal village; 21 kilometres south of Haifa, which was completely destroyed after the Nakba in 1948 by the Israeli Occupation. Husni's father liked photography, and he would take his children to the park every Friday and takes photos of them",اشقاء حسني (من اليمين الطفلة زينب، محمد، زهير رضوان) اثناء تواجدهم في منتزه 14 تموز، حيث كان صالح رضوان والد حسني يحب التصوير ويأخذهم كل يوم جمعة الى هذه الحديقة، وهم في الاصل من قرية عين غزال التي تبعد عن حيفا 21 كيلومتر، وهي قرية شبه مدمرة,,,,
ark:/13030/m5wt6hp5,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0002|~|164047|~|94544_ca_object_representations_media_118073_original.jpg,The Hosni Radwan Collection,,طفل فلسطيني في بغداد,A Palestinian child in Baghdad,"A photograph of Zuhair Radwan; Husni's brother, taken in the first house of Husni's Family in Baghdad after their deportation from Haifa. The house belonged to in Iraqi-Jewish family and is located in Imam Taha Neighbourhood|~|اخذت هذه اللقطة لزهير رضوان شقيق حسني، في اول بيت سكنه اهل حسني في بغداد، حيث كان يعود لعائلة عراقية يهودية، في منطقة الامام طه",,,,still image,1955,1955,طفل، صغير، شقيق، بيت، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/31662_ca_object_representations_media_118073_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/94544_ca_object_representations_media_118073_original.jpg,https://palarchive.org/index.php/Detail/objects/164047/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:53,9 March 2021 at 11:16:43,"A photograph of Zuhair Radwan; Husni's brother, taken in the first house of Husni's Family in Baghdad after their deportation from Haifa. The house belonged to in Iraqi-Jewish family and is located in Imam Taha Neighbourhood",اخذت هذه اللقطة لزهير رضوان شقيق حسني، في اول بيت سكنه اهل حسني في بغداد، حيث كان يعود لعائلة عراقية يهودية، في منطقة الامام طه,,,,
ark:/13030/m5hn2zv4,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0003|~|164048|~|41361_ca_object_representations_media_118074_original.jpg,The Hosni Radwan Collection,,افراد من عائلة حسني في متنزه,Husni Family members at a park,"A photograph of Husni Family members at the 14th of July Park in Baghdad. Shown right to left, Ihsán, Salih, Husni, and Zuhair Radwan|~|تعود هذه اللقطة الى عائلة حسني في منتزه 14 تموز؛ ويظهر فيها من اليمين: اليمين احسان، صالح، حسني، زهير رضوان",,,,still image,1958,1958,عائلة، طفل، اطفال، اشقاء، اخوة، اب، طبيعة، منتزه، حديقة، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/38690_ca_object_representations_media_118074_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/41361_ca_object_representations_media_118074_original.jpg,https://palarchive.org/index.php/Detail/objects/164048/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"A photograph of Husni Family members at the 14th of July Park in Baghdad. Shown right to left, Ihsán, Salih, Husni, and Zuhair Radwan",تعود هذه اللقطة الى عائلة حسني في منتزه 14 تموز؛ ويظهر فيها من اليمين: اليمين احسان، صالح، حسني، زهير رضوان,,,,
ark:/13030/m5cw275n,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0004|~|164049|~|26822_ca_object_representations_media_118075_original.jpg,The Hosni Radwan Collection,,أقارب في متنزه,Relatives at a park,"Husni Radwan with his siblings and relatives at a park; shown right to left, Fatheya, Husni, Zainab, Mohammad, Ihsán, Zuhair, and Radwan|~|حسني رضوان مع اشقاؤه وقريبته ؛ وهم من اليمين: فتحية، حسني رضوان، الطفلة زينب، محمد، احسان، زهير، رضوان)، وهم في احد البساتين",,,,still image,1958,1958,عائلة، طفل، اطفال، اشقاء، اخوة، طبيعة، منتزه، حديقة، بستان، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/25750_ca_object_representations_media_118075_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/26822_ca_object_representations_media_118075_original.jpg,https://palarchive.org/index.php/Detail/objects/164049/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"Husni Radwan with his siblings and relatives at a park; shown right to left, Fatheya, Husni, Zainab, Mohammad, Ihsán, Zuhair, and Radwan",حسني رضوان مع اشقاؤه وقريبته ؛ وهم من اليمين: فتحية، حسني رضوان، الطفلة زينب، محمد، احسان، زهير، رضوان)، وهم في احد البساتين,,,,
ark:/13030/m5n9517t,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0005|~|164050|~|6414_ca_object_representations_media_118076_original.jpg,The Hosni Radwan Collection,,شقيقان,Siblings,"Zuhair Radwan; right, with his brother Mohammad on the roof of their house|~|زهير رضوان (يمين الصورة) وشقيقه محمد، على سطح منزلهم",,,,still image,1956,1956,اشقاء، شقيق، سطح، بيت، حذاء، جدار، زي، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/12076_ca_object_representations_media_118076_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/6414_ca_object_representations_media_118076_original.jpg,https://palarchive.org/index.php/Detail/objects/164050/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"Zuhair Radwan; right, with his brother Mohammad on the roof of their house",زهير رضوان (يمين الصورة) وشقيقه محمد، على سطح منزلهم,,,,
ark:/13030/m5841gh4,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0006|~|164051|~|8136_ca_object_representations_media_118077_original.jpg,The Hosni Radwan Collection,,اشقاء واقارب من عائلة رضوان في العراق,Siblings and relatives from Radwan Family in Iraq,"Shown right to left, Mohammad Radwan, Faraj Radwan, and Zuhair Radwan on the roof of their house in Imam Taha Neighbourhood in Baghdad|~|في هذه اللقطة يظهر من يمين الصورة محمد رضوان، وفرج رضوان ، وزهير رضوان، على سطح منزلهم في حي الامام طه",,,,still image,1954,1954,عم، اشقاء، عائلة، شقيق، منزل، بيت، حذاء، طفل، أطفال، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/68766_ca_object_representations_media_118077_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/8136_ca_object_representations_media_118077_original.jpg,https://palarchive.org/index.php/Detail/objects/164051/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"Shown right to left, Mohammad Radwan, Faraj Radwan, and Zuhair Radwan on the roof of their house in Imam Taha Neighbourhood in Baghdad",في هذه اللقطة يظهر من يمين الصورة محمد رضوان، وفرج رضوان ، وزهير رضوان، على سطح منزلهم في حي الامام طه,,,,
ark:/13030/m5r28qtc,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0007|~|164052|~|86235_ca_object_representations_media_118078_original.jpg,The Hosni Radwan Collection,,شاب وطفل من عائلة رضوان,A young man and a child from Radwan Family,A photograph of Faraj Radwan holding Husni's brother Zuhair Radwan|~|يظهر في هذه اللقطة فرج رضوان وهو يحمل زهير شقيق حسني,,,,still image,1954,1954,عم، عائلة، شقيق، منزل، بيت، حذاء، طفل، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/99292_ca_object_representations_media_118078_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/86235_ca_object_representations_media_118078_original.jpg,https://palarchive.org/index.php/Detail/objects/164052/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,A photograph of Faraj Radwan holding Husni's brother Zuhair Radwan,يظهر في هذه اللقطة فرج رضوان وهو يحمل زهير شقيق حسني,,,,
ark:/13030/m5s25rx9,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0008|~|164053|~|99565_ca_object_representations_media_118079_original.jpg,The Hosni Radwan Collection,,عائلة في متنزه,A family at a park,"A photograph of Husni Family members at the 14th of July Park in Baghdad. Shown right to left, Fatheya, Zainab, Saleh, Husni, and Zuhair|~|هذه اللقطة في منتزه 14 تموز لعائلة رضوان (من اليمين فتحية ، الطفلة زينب، صالح رضوان، حسني، زهير)",,,,still image,1961,1961,طبيعة، حديقة، منتزه، اطفال، طفل، اب، اشقاء، شقيق، شقيقة، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/4545_ca_object_representations_media_118079_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/99565_ca_object_representations_media_118079_original.jpg,https://palarchive.org/index.php/Detail/objects/164053/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"A photograph of Husni Family members at the 14th of July Park in Baghdad. Shown right to left, Fatheya, Zainab, Saleh, Husni, and Zuhair",هذه اللقطة في منتزه 14 تموز لعائلة رضوان (من اليمين فتحية ، الطفلة زينب، صالح رضوان، حسني، زهير),,,,
ark:/13030/m54c0qrz,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0009|~|164054|~|69977_ca_object_representations_media_118080_original.jpg,The Hosni Radwan Collection,,شقيقان,Siblings,"Zuhair Radwan; right, with his brother Mohammad on the roof of their house|~|زهير رضوان (يمين الصورة) وشقيقه محمد، على سطح منزلهم",,,,still image,1956,1956,اشقاء، شقيق، سطح، بيت، حذاء، جدار، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/95106_ca_object_representations_media_118080_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/69977_ca_object_representations_media_118080_original.jpg,https://palarchive.org/index.php/Detail/objects/164054/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,"Zuhair Radwan; right, with his brother Mohammad on the roof of their house",زهير رضوان (يمين الصورة) وشقيقه محمد، على سطح منزلهم,,,,
ark:/13030/m50m000k,ark:/21198/z1bs4btb,,Work,173.0,0173.01.0010|~|164055|~|14314_ca_object_representations_media_118081_original.jpg,The Hosni Radwan Collection,,شقيقان فلسطينيان في العراق,Palestinian siblings in Iraq,Zuhair Radwan with his brother Mohammad on the roof of their house in Imam Taha Neighbourhood in Baghdad|~|زهير ومحمد رضوان على سطح منزلهم في منطقة الامام طه,,,,still image,1956,1956,بيت، منزل، شقيق، بغداد، الامام طه، طفل، ولد، رضوان,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/50700_ca_object_representations_media_118081_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/8/0/14314_ca_object_representations_media_118081_original.jpg,https://palarchive.org/index.php/Detail/objects/164055/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hosni Radwan Collection,9 September 2019 at 16:27:54,9 March 2021 at 11:16:43,Zuhair Radwan with his brother Mohammad on the roof of their house in Imam Taha Neighbourhood in Baghdad,زهير ومحمد رضوان على سطح منزلهم في منطقة الامام طه,,,,
