Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1wm7018,,,Collection,,,,,The Dawoud Khoury Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5cs3j0g,ark:/21198/z1wm7018,,Work,193.0,0193.01.0001|~|164770|~|75935_ca_object_representations_media_149944_original.jpg,The Dawoud Khoury Collection,,عبد الله أبو خورية مختار قرية الطيبة في سنوات العشرينات,Abdullah Abu Khoureyeh; Mukhtar of al-Taybeh during the 1920s,"Abdullah Abu Khoureyeh; Mukhtar of al-Taybeh during the 1920s. Mukhtar means ""chosen"" in Arabic: المختار , is the head of a village or mahalle|~|عبد الله أبو خورية الذي كان مختار قرية الطيبة في سنوات العشرينات",,,,still image,1920s,1920/1929,رجل عجوز، حطة، عقال، عصا، جالس، داخلي، فلسطيني، مختار، صورة قديمة، بيت، الطيبة فلسطين,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/33778_ca_object_representations_media_149944_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/75935_ca_object_representations_media_149944_original.jpg,https://palarchive.org/index.php/Detail/objects/164770/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:53,9 March 2021 at 11:16:19,"Abdullah Abu Khoureyeh; Mukhtar of al-Taybeh during the 1920s. Mukhtar means ""chosen"" in Arabic: المختار , is the head of a village or mahalle",عبد الله أبو خورية الذي كان مختار قرية الطيبة في سنوات العشرينات,,,,
ark:/13030/m5wt6hvd,ark:/21198/z1wm7018,,Work,193.0,0193.01.0002|~|164771|~|50094_ca_object_representations_media_149945_original.jpg,The Dawoud Khoury Collection,,بورتريه زفاف,A wedding portrait,The wedding of Mansour Juries Owais and Sa'adah Owais|~|زفاف منصور جريس عويس و سعدة عويس.,,,,still image,early 1960s,1960/1965,زفاف، فستان أبيض، ورد، عروس، عريس، استاذ، وشاح، صوزة زفاف، رام الله، فلسطين، اطار، الطيبة، ستوديو،,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/99509_ca_object_representations_media_149945_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/50094_ca_object_representations_media_149945_original.jpg,https://palarchive.org/index.php/Detail/objects/164771/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:53,9 March 2021 at 11:16:19,The wedding of Mansour Juries Owais and Sa'adah Owais,زفاف منصور جريس عويس و سعدة عويس.,,,,
ark:/13030/m5r28qz5,ark:/21198/z1wm7018,,Work,193.0,0193.01.0003|~|164772|~|28220_ca_object_representations_media_149946_original.jpg,The Dawoud Khoury Collection,,فتيات من قرية الطيبة في زيارة للقدس,Girls from al-Taybeh on a visit to Jerusalem,"Toroub Khoury; right, and Halla Khoury, Cousin and sister of Daoud Khoury, during mid seventies, ear the walls of Jerusalem.|~|طروب حنّا خوري (يميناً) وهالة خوري( شمالاً) في زيارة للقدس",,,,still image,1973,1973,امرأة، حائط، قبعة، شجر، قديم، أسود و أبيض، فلسطين، جامعة، صورة قديمة، الطيبة، قرية,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/98482_ca_object_representations_media_149946_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/28220_ca_object_representations_media_149946_original.jpg,https://palarchive.org/index.php/Detail/objects/164772/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:53,9 March 2021 at 11:16:19,"Toroub Khoury; right, and Halla Khoury, Cousin and sister of Daoud Khoury, during mid seventies, ear the walls of Jerusalem.",طروب حنّا خوري (يميناً) وهالة خوري( شمالاً) في زيارة للقدس,,,,
ark:/13030/m50m005t,ark:/21198/z1wm7018,,Work,193.0,0193.01.0004|~|164773|~|59132_ca_object_representations_media_149947_original.jpg,The Dawoud Khoury Collection,,صورة تخرج شاب فلسطيني من قرية الطيبة من جامعة الاسكدنرية,A Palestinian from al-Taybeh Village graduating from Alexandria University,"Hana Khoury, a graduate of Chemical Engineering from the Alexandria University.|~|صورة تخرج داوود حنّا خوري من جامعة الاسكندرية حيث كان يدرس الهندسة الكيميائية.",,,,still image,early 1970s,1970/1974,تخرج، قبعة تخريج، نظارات، شهادة، ربطة عنق، بورتريه، ماجستير، الاسكدنرية، مصر، فلسطيني، الطيبة، هندسة,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/26569_ca_object_representations_media_149947_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/59132_ca_object_representations_media_149947_original.jpg,https://palarchive.org/index.php/Detail/objects/164773/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:53,9 March 2021 at 11:16:19,"Hana Khoury, a graduate of Chemical Engineering from the Alexandria University.",صورة تخرج داوود حنّا خوري من جامعة الاسكندرية حيث كان يدرس الهندسة الكيميائية.,,,,
ark:/13030/m5841gnx,ark:/21198/z1wm7018,,Work,193.0,0193.01.0005|~|164774|~|64297_ca_object_representations_media_149948_original.jpg,The Dawoud Khoury Collection,,الخوري ميشيل داوود خوري من بلدة الطيبة,Priest Michel Dawud Khuri from at-Taybeh,A photograph of priest Michel Dawud Khuri from at-Taybeh.|~|صورة الخوري ميشيل داوود خوري من بلدة الطيبة,,,,still image,15 June 1964,1964-06-15,كاهن، بورتريه، حزيران، فبعة الكاهن، فلسطيني، الزرقاء، الاردن,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/38503_ca_object_representations_media_149948_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/64297_ca_object_representations_media_149948_original.jpg,https://palarchive.org/index.php/Detail/objects/164774/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:53,9 March 2021 at 11:16:19,A photograph of priest Michel Dawud Khuri from at-Taybeh.,صورة الخوري ميشيل داوود خوري من بلدة الطيبة,,,,
ark:/13030/m5m9808p,ark:/21198/z1wm7018,,Work,193.0,0193.01.0006|~|164775|~|52891_ca_object_representations_media_149950_original.jpg,The Dawoud Khoury Collection,,بورتريه لشاب في قريته,A portrait of a young man in his village,"Philip Khoury, Palestinian Post Office Worker and Garage Inspector, standing in an outdoor area in his village|~|فيليب خوري في قريته",,,,still image,early 1960s,1960/1965,رجل ، الأشجار ، شجيرات ، الزهور ، أبيض وأسود ، واقف ، نظارات شمسية ، الطيبة ، فلسطين,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/97005_ca_object_representations_media_149950_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/52891_ca_object_representations_media_149950_original.jpg,https://palarchive.org/index.php/Detail/objects/164775/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:54,9 March 2021 at 11:16:19,"Philip Khoury, Palestinian Post Office Worker and Garage Inspector, standing in an outdoor area in his village",فيليب خوري في قريته,,,,
ark:/13030/m5vt9gq1,ark:/21198/z1wm7018,,Work,193.0,0193.01.0007|~|164776|~|26925_ca_object_representations_media_149951_original.jpg,The Dawoud Khoury Collection,,مهندس من بلدة الطيبة,An engineer from al-Taybeh,Engineer Kana'an Al-khoury Daoud while working at the Vocational Training Center at Wadi al-Seer School|~|المهندس كنعان خوري من بلدة الطيبة ، وهو يعمل في مركز التدريب المهني في مدرسة وادي السير الصناعية,,,,still image,1970s,1970/1979,رجل ، مكتب ، معلم ، أوراق ، نظارات شمسية، كتب، بدلة، ربطة عنق ، عمان، فلسطين، مهندس,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/13210_ca_object_representations_media_149951_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/26925_ca_object_representations_media_149951_original.jpg,https://palarchive.org/index.php/Detail/objects/164776/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:54,9 March 2021 at 11:16:19,Engineer Kana'an Al-khoury Daoud while working at the Vocational Training Center at Wadi al-Seer School,المهندس كنعان خوري من بلدة الطيبة ، وهو يعمل في مركز التدريب المهني في مدرسة وادي السير الصناعية,,,,
ark:/13030/m5q31ptb,ark:/21198/z1wm7018,,Work,193.0,0193.01.0008|~|164777|~|53198_ca_object_representations_media_149952_original.jpg,The Dawoud Khoury Collection,,جنازة رمزية لجمال عبد الناصر,The of Funeral Jamal ʿabdul-Naṣer,A funeral on the day of Jamal abdul-Naṣer's death.|~|جنازة رمزية يوم وفاة جمال عبد الناصر,,,,still image,1970,1970,فتاة، جنازة ، فستان أسود ، لافتات، خارجي ، أشجار ، شارع ، حداد ، فلسطين ، الطيبة، جمال عبد الناصر,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/45813_ca_object_representations_media_149952_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/53198_ca_object_representations_media_149952_original.jpg,https://palarchive.org/index.php/Detail/objects/164777/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:54,9 March 2021 at 11:16:19,A funeral on the day of Jamal abdul-Naṣer's death.,جنازة رمزية يوم وفاة جمال عبد الناصر,,,,
ark:/13030/m5744fj0,ark:/21198/z1wm7018,,Work,193.0,0193.01.0009|~|164778|~|89059_ca_object_representations_media_149954_original.jpg,The Dawoud Khoury Collection,,عائلة فلسطينية في رحلة إلى لبنان,A Palestinian Family During a Trip to Lebanon,The family of Kanʿan Khuri during a trip to Lebanon.|~|عائلة كنعان خوري في رحلة إلى لبنان,,,,still image,1960,1960,عائلة ، رجل ، امرأة ، طفل ،رضيع ، بحر، شاطئ ، لبنان ، أبيض وأسود ، قديم,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/30815_ca_object_representations_media_149954_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/89059_ca_object_representations_media_149954_original.jpg,https://palarchive.org/index.php/Detail/objects/164778/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:54,9 March 2021 at 11:16:19,The family of Kanʿan Khuri during a trip to Lebanon.,عائلة كنعان خوري في رحلة إلى لبنان,,,,
ark:/13030/m5gj77kd,ark:/21198/z1wm7018,,Work,193.0,0193.01.0010|~|164779|~|21277_ca_object_representations_media_149955_original.jpg,The Dawoud Khoury Collection,,مجموعة من طالبات وأساتذة مدرسة صافوط في عمان,A Group of Students and Teachers from Safut School in Amman,"A group of students and teachers from Safut School in Amman, with them is Eleanor Khuri, (on the right, first row).|~|مجموعة من طالبات وأساتذة مدرسة صافوط في عمان، تقف معهم المعلمة اليانور خوري (من اليمين، الصف الأول)",,,,still image,1954,1954,مدرسة ، طفل ، كاهن ، معلم ، زي موحدة ،خارجي ، واجهة ، فتاة ، أبيض وأسود ، قديم صور ، عمان ، فلسطيني,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/45933_ca_object_representations_media_149955_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/9/9/21277_ca_object_representations_media_149955_original.jpg,https://palarchive.org/index.php/Detail/objects/164779/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Dawoud Khoury Collection,9 September 2019 at 16:28:54,9 March 2021 at 11:16:19,"A group of students and teachers from Safut School in Amman, with them is Eleanor Khuri, (on the right, first row).",مجموعة من طالبات وأساتذة مدرسة صافوط في عمان، تقف معهم المعلمة اليانور خوري (من اليمين، الصف الأول),,,,
