Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1vm9xxj,,,Collection,,,,,The Hekmat al-Qawasmy Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m56n0xfs,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0001|~|165091|~|34826_ca_object_representations_media_119484_original.jpg,The Hekmat al-Qawasmy Collection,,صديقتان,Two Friends,"Laila Abdel-Ghani al-Qawasmi; to the left, with a friend|~|ليلى عبد الغني القواسمي "" يساراً"" برفقة صديقة لها",,,,still image,1970s,1970/1979,نساء، فستان، قواسمي، أصدقاء,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/43131_ca_object_representations_media_119484_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/34826_ca_object_representations_media_119484_original.jpg,https://palarchive.org/index.php/Detail/objects/165091/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,"Laila Abdel-Ghani al-Qawasmi; to the left, with a friend","ليلى عبد الغني القواسمي "" يساراً"" برفقة صديقة لها",,,,
ark:/13030/m51w34mh,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0002|~|165092|~|4371_ca_object_representations_media_119485_original.jpg,The Hekmat al-Qawasmy Collection,,أقارب في مناسبة,Relatives at a Celebration,"A photograph of relatives at a celebration. Tawfiq Khalil al-Jada', Safeyeh al-Qawasmi, Zainab Abdel-Ghani al-Qawasmi, and Siham are seen in the photo|~|لقطة تذكارية لاقارب في مناسبة ما، عُرف من اللقطة: توفيق خليل الجدع، صفية القواسمي، زينب عبد الغني القواسمي، سهام",,,,still image,,,نساء، رجال، أطفال، احتفال، مناسبة، مجوهرات، فساتين، ستارة، خطوبة، قواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/48940_ca_object_representations_media_119485_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/4371_ca_object_representations_media_119485_original.jpg,https://palarchive.org/index.php/Detail/objects/165092/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,"A photograph of relatives at a celebration. Tawfiq Khalil al-Jada', Safeyeh al-Qawasmi, Zainab Abdel-Ghani al-Qawasmi, and Siham are seen in the photo",لقطة تذكارية لاقارب في مناسبة ما، عُرف من اللقطة: توفيق خليل الجدع، صفية القواسمي، زينب عبد الغني القواسمي، سهام,,,,
ark:/13030/m5kq5rtn,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0003|~|165093|~|16719_ca_object_representations_media_119486_original.jpg,The Hekmat al-Qawasmy Collection,,فتاة تستلم شهادة,A Girl Receiving a Certificate,A photograph of Laila Abdel-Ghani al-Qawasmi receiving a certificate from a sewing workshop|~|لقطة ل ليلى عبد الغني القواسمي وهي تستلم شهادتها من مشغل الخياطة,,,,still image,1970s,1970/1979,رجل، نساء، شهاد، استلام، كرسي خشبي، قواسمي، مشغل، خياطة,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/7064_ca_object_representations_media_119486_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/16719_ca_object_representations_media_119486_original.jpg,https://palarchive.org/index.php/Detail/objects/165093/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,A photograph of Laila Abdel-Ghani al-Qawasmi receiving a certificate from a sewing workshop,لقطة ل ليلى عبد الغني القواسمي وهي تستلم شهادتها من مشغل الخياطة,,,,
ark:/13030/m5pk85sv,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0004|~|165094|~|9506_ca_object_representations_media_119487_original.jpg,The Hekmat al-Qawasmy Collection,,موظفي بلدية الخليل وسائق حافلة تعمل على خط فلسطين العراق,Hebron Municipality Staff with the Bus Driver; Palestine-Iraq Line,A photograph of Hebron Municipality Staff with a bus driver; Palestine-Iraq Line. Abdel-Ghani al-Qawasmi is seen in the photo; which was taken in Bab AlZawia St. in Hebron|~|لقطة اخذت في منطقة باب الزاوية في الخليل، ويظهر فيها عدد من موظفي بلدية الخليل بالإضافة الى سائق شاحنة تعمل على خط فلسطين العراق، عُرف من هذه اللقطة: عبد الغني القواسمي,,,,still image,,,شارع الشهداء، شاحنة، رجال، أطفال، حجارة، إشارة، حافلة، حطة، عقال، القواسمي، خط فلطسين العراق,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/21788_ca_object_representations_media_119487_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/9506_ca_object_representations_media_119487_original.jpg,https://palarchive.org/index.php/Detail/objects/165094/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,A photograph of Hebron Municipality Staff with a bus driver; Palestine-Iraq Line. Abdel-Ghani al-Qawasmi is seen in the photo; which was taken in Bab AlZawia St. in Hebron,لقطة اخذت في منطقة باب الزاوية في الخليل، ويظهر فيها عدد من موظفي بلدية الخليل بالإضافة الى سائق شاحنة تعمل على خط فلسطين العراق، عُرف من هذه اللقطة: عبد الغني القواسمي,,,,
ark:/13030/m5nm14n1,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0005|~|165095|~|15397_ca_object_representations_media_119488_original.jpg,The Hekmat al-Qawasmy Collection,,مسن مع حفيديه,An Elderly with his Grandchildren,"A photograph of Abdel-Hameed Hamid al-Qawasmi; died aged 110. Arafat and Hamid Rabee' al-Qawasmi; his grandchildren are seen in the photo|~|القطة للمسن عبد الحميد حامد القواسمي ""توفي بعمر 110 سنوات"" واحفاده عرفات و حامد ربيع القواسمي",,,,still image,1980s,1980/1989,رجال، مسن، معمر، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/8271_ca_object_representations_media_119488_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/15397_ca_object_representations_media_119488_original.jpg,https://palarchive.org/index.php/Detail/objects/165095/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,A photograph of Abdel-Hameed Hamid al-Qawasmi; died aged 110. Arafat and Hamid Rabee' al-Qawasmi; his grandchildren are seen in the photo,"القطة للمسن عبد الحميد حامد القواسمي ""توفي بعمر 110 سنوات"" واحفاده عرفات و حامد ربيع القواسمي",,,,
ark:/13030/m56f3hm4,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0006|~|165096|~|70012_ca_object_representations_media_119489_original.jpg,The Hekmat al-Qawasmy Collection,,فتاة من عائلة الجدع,A girl from al-Jada'Family,A portrait of Siham Khalil al-Jada;|~|بورتريه ل سهام خليل الجدع,,,,still image,1950s,1950/1959,فتاة، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/16184_ca_object_representations_media_119489_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/70012_ca_object_representations_media_119489_original.jpg,https://palarchive.org/index.php/Detail/objects/165096/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,A portrait of Siham Khalil al-Jada;,بورتريه ل سهام خليل الجدع,,,,
ark:/13030/m5dz7zx3,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0007|~|165097|~|16930_ca_object_representations_media_119491_original.jpg,The Hekmat al-Qawasmy Collection,,امرأة من عائلة القواسمي,A woman from al-Qawasmi Family,Zainab Khalil al-Qawasmi|~|زينب خليل القواسمي,,,,still image,1970s,1970/1979,مسنة، شال، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/48435_ca_object_representations_media_119491_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/16930_ca_object_representations_media_119491_original.jpg,https://palarchive.org/index.php/Detail/objects/165097/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,Zainab Khalil al-Qawasmi,زينب خليل القواسمي,,,,
ark:/13030/m5x42n33,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0008|~|165098|~|97870_ca_object_representations_media_119492_original.jpg,The Hekmat al-Qawasmy Collection,,فتاة من عائلة القواسمي,A Girl from al-Qawasmi Family,Rida Abdel-Hameed al-Qawasmi|~|رضا عبد الحميد القواسمي,,,,still image,1950s,1950/1959,فتاة، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/7066_ca_object_representations_media_119492_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/97870_ca_object_representations_media_119492_original.jpg,https://palarchive.org/index.php/Detail/objects/165098/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,Rida Abdel-Hameed al-Qawasmi,رضا عبد الحميد القواسمي,,,,
ark:/13030/m58d7kxs,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0009|~|165099|~|77176_ca_object_representations_media_119494_original.jpg,The Hekmat al-Qawasmy Collection,,طفل من عائلة الجدع,A Child from al-Jada'Family,Khalil Iz ed-Din al-Jada;|~|خليل عز الدين الجدع,,,,still image,1973,1973,طفل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/3956_ca_object_representations_media_119494_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/77176_ca_object_representations_media_119494_original.jpg,https://palarchive.org/index.php/Detail/objects/165099/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,Khalil Iz ed-Din al-Jada;,خليل عز الدين الجدع,,,,
ark:/13030/m5sc1wcc,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0010|~|165100|~|95845_ca_object_representations_media_119496_original.jpg,The Hekmat al-Qawasmy Collection,,طفلة,Child,Samia|~|طفلة تدعى سامية,,,,still image,1970s,1970/1979,طفل، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/11781_ca_object_representations_media_119496_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/95845_ca_object_representations_media_119496_original.jpg,https://palarchive.org/index.php/Detail/objects/165100/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,Samia,طفلة تدعى سامية,,,,
ark:/13030/m5hv0d0m,ark:/21198/z1vm9xxj,,Work,201.0,0201.01.0011|~|165101|~|789_ca_object_representations_media_119498_original.jpg,The Hekmat al-Qawasmy Collection,,شاب من عائلة القواسمي,A Young Man from al-Qawasmi Family,A portrait of Jawad Abdel-Ghani al-Qawasmi|~|بورتريه للشاب جواد عبد الغني القواسمي,,,,still image,1970s,1970/1979,شاب، القواسمي,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/90726_ca_object_representations_media_119498_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/1/9/4/789_ca_object_representations_media_119498_original.jpg,https://palarchive.org/index.php/Detail/objects/165101/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Hekmat al-Qawasmy Collection,9 September 2019 at 16:29:20,9 March 2021 at 11:15:53,A portrait of Jawad Abdel-Ghani al-Qawasmi,بورتريه للشاب جواد عبد الغني القواسمي,,,,
