Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z17q4j3s,,,Collection,,,,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m51g8b0p,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0001|~|218868|~|33182_ca_object_representations_media_183396_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,بطاقة هوية كشفية خليل جريس سلامه، صادرة عن السرية السالسية السادسة، 1950,"The Scout Identification Card for Khalil Jeries Salamah, Issued by the 6th Salesian Scout & Guide Troop, 1950","Printed and handwritten in Arabic, this document features a scout identification card for Khalil Jeries Salamah; from Bethlehem. The ID is Issued by the 6th Salesian Scout & Guide Troop on 11 November 1950, and signed by the scoutmaster; Elias Jeries Salamah.|~|وثيقة مطبوعة باللغة العربية ومكتوب عليها بخط اليد بالحبر بنفس اللغة، تتضمن بطاقة هوية كشفية خليل جريس سلامه من بيت لحم، صادرة عن السرية السالسية السادسة بتاريخ 11 تشرين الثاني 1950. تم توقيعها من قبل معلم السرية الياس جريس سلامه",,,ara,text,11 November 1950; Date created,1950-11-11,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/3/16388_ca_object_representations_media_183396_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/3/33182_ca_object_representations_media_183396_original.jpg,https://palarchive.org/index.php/Detail/objects/218868/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,21 November 2020 at 10:20:40,"Printed and handwritten in Arabic, this document features a scout identification card for Khalil Jeries Salamah; from Bethlehem. The ID is Issued by the 6th Salesian Scout & Guide Troop on 11 November 1950, and signed by the scoutmaster; Elias Jeries Salamah.",وثيقة مطبوعة باللغة العربية ومكتوب عليها بخط اليد بالحبر بنفس اللغة، تتضمن بطاقة هوية كشفية خليل جريس سلامه من بيت لحم، صادرة عن السرية السالسية السادسة بتاريخ 11 تشرين الثاني 1950. تم توقيعها من قبل معلم السرية الياس جريس سلامه,,,,
ark:/13030/m5fr7mdg,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0002|~|218869|~|15570_ca_object_representations_media_183398_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,بطاقة هوية كشفية ألبير صليبا موج، صادرة عن السرية السالسية السادسة، 1953,"The Scout Identification Card for Alber Saliba Mauj, Issued by the 6th Salesian Scout & Guide Troop, 1953","Printed and handwritten in Arabic, this document features a scout identification card for Alber Saliba Mauj; from Bethlehem. The ID is Issued by the 6th Salesian Scout & Guide Troop on 1 February 1953, and signed by the scoutmaster; Elias Jeries Salamah.|~|وثيقة مطبوعة باللغة العربية ومكتوب عليها بخط اليد بالحبر بنفس اللغة، تتضمن بطاقة هوية كشفية ألبير صليبا موج من بيت لحم، صادرة عن السرية السالسية السادسة بتاريخ 1شباط 1953. تم توقيعها من قبل معلم السرية عيسى الياس سلامه",,,ara,text,1 February 1953; Date created,1953-02-01,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/3/12513_ca_object_representations_media_183398_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/3/15570_ca_object_representations_media_183398_original.jpg,https://palarchive.org/index.php/Detail/objects/218869/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,21 November 2020 at 10:20:40,"Printed and handwritten in Arabic, this document features a scout identification card for Alber Saliba Mauj; from Bethlehem. The ID is Issued by the 6th Salesian Scout & Guide Troop on 1 February 1953, and signed by the scoutmaster; Elias Jeries Salamah.",وثيقة مطبوعة باللغة العربية ومكتوب عليها بخط اليد بالحبر بنفس اللغة، تتضمن بطاقة هوية كشفية ألبير صليبا موج من بيت لحم، صادرة عن السرية السالسية السادسة بتاريخ 1شباط 1953. تم توقيعها من قبل معلم السرية عيسى الياس سلامه,,,,
ark:/13030/m5b06vp2,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0003|~|218870|~|80346_ca_object_representations_media_183400_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من قائمقام قضاء بيت لحم، 6 تموز 1965,"A Letter from the Bethlehem District Administrator, 6 Jul 1965","Printed in Arabic, this document contains a letter from Mathhar 'Ennab; the Bethlehem District Administrator, to the Secretary of the 6th Salesian Scout & Guide Troop. In the letter 'Ennab accepts the troops request to hold a campfire ceremony at the Salesian Technical School on 12 July 1965.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مظهرعناب قائمقام قضاء بيت لحم لسكرتير السرية السالسية السادسة البتلحمية حول طلب الموافقه لسماح اقامة حفلة سمر بتاريخ 12 تموز 1965 على مسرح ثانوية السالزيان",,,ara,text,6 June 1965; Date created,1965-06-06,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/79911_ca_object_representations_media_183400_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/80346_ca_object_representations_media_183400_original.jpg,https://palarchive.org/index.php/Detail/objects/218870/lang/en_US,The Palestinian Museum ,info@palarchive.org,,medium; 225,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,21 November 2020 at 10:20:40,"Printed in Arabic, this document contains a letter from Mathhar 'Ennab; the Bethlehem District Administrator, to the Secretary of the 6th Salesian Scout & Guide Troop. In the letter 'Ennab accepts the troops request to hold a campfire ceremony at the Salesian Technical School on 12 July 1965.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مظهرعناب قائمقام قضاء بيت لحم لسكرتير السرية السالسية السادسة البتلحمية حول طلب الموافقه لسماح اقامة حفلة سمر بتاريخ 12 تموز 1965 على مسرح ثانوية السالزيان,,,,
ark:/13030/m5p922p7,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0004|~|218871|~|96591_ca_object_representations_media_183401_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من قائمقام قضاء بيت لحم، 15 كانون الأول1964,"A Letter from the Bethlehem District Administrator, 15 January 1964","Printed in Arabic, this document contains a letter from Mathhar 'Ennab; the Bethlehem District Administrator, accepting the request to hold the ceremony in the Salesian Technical School on 15 January 1964.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مظهرعناب قائمقام قضاء بيت لحم لرئيس المصلى العيدى يعطي فيها الموافقة على اقامة حفلة  على مسرح ثانوية السالزيان الصناعية يوم الاحد بتاريخ 3 كانون الثاني1964.",,,ara,text,15 December 1964; Date created,1964-12-15,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/39260_ca_object_representations_media_183401_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/96591_ca_object_representations_media_183401_original.jpg,https://palarchive.org/index.php/Detail/objects/218871/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,22 September 2022 at 9:24:07,"Printed in Arabic, this document contains a letter from Mathhar 'Ennab; the Bethlehem District Administrator, accepting the request to hold the ceremony in the Salesian Technical School on 15 January 1964.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مظهرعناب قائمقام قضاء بيت لحم لرئيس المصلى العيدى يعطي فيها الموافقة على اقامة حفلة  على مسرح ثانوية السالزيان الصناعية يوم الاحد بتاريخ 3 كانون الثاني1964.,,,,
ark:/13030/m5ds0k6r,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0005|~|218872|~|6295_ca_object_representations_media_183402_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,"دعوة لحضور الاحتفال الديني بنماسبة عيد القديس جريس الاعظم"" صادر عن سرية السالسية البيتلحمية، 1963""","An Invitation from the Bethlehem Salesian Scout Troop to Attend St. George Day Celebration, 1963","Printed in Arabic, this document contains an invitation from the Bethlehem Salesian Scout troop, to attend the religious celebration of St George Day, on 30 June 1963.|~|وثيقة مطبوعة باللغة العربية، تتضمن دعوة لحضور الاحتفال الديني بنماسبة عيد القديس جريس الاعظم، صادر عن سرية السالسية البيتلحمية بتاريخ 30 تموز 1963",,,ara,text,30 June 1963; Date created,1963-06-30,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/46255_ca_object_representations_media_183402_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/6295_ca_object_representations_media_183402_original.jpg,https://palarchive.org/index.php/Detail/objects/218872/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,21 November 2020 at 10:20:40,"Printed in Arabic, this document contains an invitation from the Bethlehem Salesian Scout troop, to attend the religious celebration of St George Day, on 30 June 1963.",وثيقة مطبوعة باللغة العربية، تتضمن دعوة لحضور الاحتفال الديني بنماسبة عيد القديس جريس الاعظم، صادر عن سرية السالسية البيتلحمية بتاريخ 30 تموز 1963,,,,
ark:/13030/m5jj19x2,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0006|~|218873|~|2627_ca_object_representations_media_183403_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من قائمقام قضاء بيت لحم، 1952,"A Letter from the Bethlehem District Administrator, 1952","Printed in Arabic in 1952, this document contains a letter from Musa al-Muheisen; the Bethlehem District Administrator, to the scoutmaster of the 6th Salesian Scout & Guide Troop-Bethlehem.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة من موسى المحيسن قائمقام قضاء بيت لحم الى رئيس سرية الكشافة السالسية السادسة بيت لحم عام 1952",,,ara,text,1952; Date created,1952,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/20516_ca_object_representations_media_183403_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/2627_ca_object_representations_media_183403_original.jpg,https://palarchive.org/index.php/Detail/objects/218873/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:51,21 November 2020 at 10:20:40,"Printed in Arabic in 1952, this document contains a letter from Musa al-Muheisen; the Bethlehem District Administrator, to the scoutmaster of the 6th Salesian Scout & Guide Troop-Bethlehem.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من موسى المحيسن قائمقام قضاء بيت لحم الى رئيس سرية الكشافة السالسية السادسة بيت لحم عام 1952,,,,
ark:/13030/m55792q0,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0007|~|218874|~|15132_ca_object_representations_media_183404_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من سرية الكاثوليك العرب، 5 نيسان 1954,"A Letter from The Arab Catholic Scouts Group, 5 Apr 1954","Printed in Arabic, this document contains an invitation letter from the Arab Catholic Scouts Group to the 6th Salesian Scout & Guide Troop, to attend the celebration on 11 April 1954 in Beit Fadj.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة دعوة من سرية الكاثوليك العرب الى سرية الساليسية السادسة بيت لحم للاشتراك في الاحتفال بتاريخ 11 نيسان 1954 في بيت فاجي.",,,ara,text,5 April 1954; Date created,1954-04-05,,,,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/44207_ca_object_representations_media_183404_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/15132_ca_object_representations_media_183404_original.jpg,https://palarchive.org/index.php/Detail/objects/218874/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:52,21 November 2020 at 10:20:40,"Printed in Arabic, this document contains an invitation letter from the Arab Catholic Scouts Group to the 6th Salesian Scout & Guide Troop, to attend the celebration on 11 April 1954 in Beit Fadj.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة دعوة من سرية الكاثوليك العرب الى سرية الساليسية السادسة بيت لحم للاشتراك في الاحتفال بتاريخ 11 نيسان 1954 في بيت فاجي.,,,,
ark:/13030/m5909th7,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0008|~|218875|~|40242_ca_object_representations_media_183405_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من سرية السالسية السادسة البتلحمية، 3 نيسان 1961,"A Letter from the 6th Salesian Scout & Guide Troop in Bethlehem, 3 Apr 1961","Printed in Arabic, this document contains a letter from the 6th Salesian Scout & Guide Troop in Bethlehem to the Education Inspector. In which the troop asks for an exemption from subscription fees because in 1960/1961 they did not officially subscribe, moreover, they cannot afford to pay the fee.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة من السرية السالسية البيتلحمية الى مفتش التربية والتعليم حول طلب الاعفاء من دفع رسوم الاشتراك لعدم تمكنهم من الدفع وعدم الاشتراك رسميا في سنة 60/1961.",,,ara,text,3 April 1961; Date created,1961-04-03,,"[31.7053821,35.2024425]",Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/38043_ca_object_representations_media_183405_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/40242_ca_object_representations_media_183405_original.jpg,https://palarchive.org/index.php/Detail/objects/218875/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:52,21 November 2020 at 10:20:40,"Printed in Arabic, this document contains a letter from the 6th Salesian Scout & Guide Troop in Bethlehem to the Education Inspector. In which the troop asks for an exemption from subscription fees because in 1960/1961 they did not officially subscribe, moreover, they cannot afford to pay the fee.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من السرية السالسية البيتلحمية الى مفتش التربية والتعليم حول طلب الاعفاء من دفع رسوم الاشتراك لعدم تمكنهم من الدفع وعدم الاشتراك رسميا في سنة 60/1961.,,,,
ark:/13030/m5812scd,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0009|~|218876|~|58739_ca_object_representations_media_183406_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من مكتب مفتش التربية والتعليم لمحافظة القدس، 14 أب 1963,"A Letter from the Education Inspection Office of Jerusalem, 14  Aug 1963","Printed in Arabic, this document contains a letter from the Education Inspection Office of Jerusalem, to the Education minister and head of the Jordanian Scouts Association. It addresses the meeting that was held on Sunday, 29 December 1963, in al-Quds primary school, attended by scoutmasters from different cities as well as members and delegation from the Jerusalem governorate committee, and that discussed arrangements for the Pope's upcoming visit.|~|وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش التربية والتعليم لمحافظة القدس الى وزير التربية والتعليم ورئيس جمعية الكشاف الاردني حول عقد اجتماع الساعة العاشرة يوم الاحد بتاريخ 29 كانون الأول1963 في مدرسة القدس الابتدائية وحضر كل من قادة المجموعات الكشفية في مدن .المحافظة ومفوض واعضاء لجنة محافظة القدس لبحث في ترتيبات التي ستتخد عند زيارة قداسة البابا",,,ara,text,14 August 1963; Date created; 30 December 1963; Date created,1963/1963,,,Social History,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/99825_ca_object_representations_media_183406_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/58739_ca_object_representations_media_183406_original.jpg,https://palarchive.org/index.php/Detail/objects/218876/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:52,9 March 2021 at 11:03:53,"Printed in Arabic, this document contains a letter from the Education Inspection Office of Jerusalem, to the Education minister and head of the Jordanian Scouts Association. It addresses the meeting that was held on Sunday, 29 December 1963, in al-Quds primary school, attended by scoutmasters from different cities as well as members and delegation from the Jerusalem governorate committee, and that discussed arrangements for the Pope's upcoming visit.",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش التربية والتعليم لمحافظة القدس الى وزير التربية والتعليم ورئيس جمعية الكشاف الاردني حول عقد اجتماع الساعة العاشرة يوم الاحد بتاريخ 29 كانون الأول1963 في مدرسة القدس الابتدائية وحضر كل من قادة المجموعات الكشفية في مدن .المحافظة ومفوض واعضاء لجنة محافظة القدس لبحث في ترتيبات التي ستتخد عند زيارة قداسة البابا,,,,
ark:/13030/m5n951jv,ark:/21198/z17q4j3s,,Work,229.0,0229.02.0010|~|218877|~|81355_ca_object_representations_media_183407_original.jpg,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,,رسالة من  مكتب تفتيش وزارة التربية والتعليم، 12 تموز 1959,"A Letter from the Education Inspection Office, Jul 1959",وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش وزارة التربية والتعليم الى مدير مدرسة السالزيان في بيت لحم بتاريخ 12 تموز 1959 حيث وصل كتاب من جمعية الكشاف الوطني اللبناني الى وزير التربية والتعليم يشير باقامة مخيم كشفي. حيث يفتتح المخيم في اول شهر تموز سنة 1959 وسينتهي في اواخر شهر ايلول سنة 1959، ولقد اتخذت الجمعية مختلف التدابير لتوفير الراحة للمشتركين في المخيم ولكن كل شخص يكون مسؤول عن رحلته ونفقاته على حسابه الشخصية|~| وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش وزارة التربية والتعليم الى مدير مدرسة السالزيان في بيت لحم بتاريخ 12 تموز 1959 حيث وصل كتاب من جمعية الكشاف الوطني اللبناني الى وزير التربية والتعليم يشير باقامة مخيم كشفي. حيث يفتتح المخيم في اول شهر تموز سنة 1959 وسينتهي في اواخر شهر ايلول سنة 1959، ولقد اتخذت الجمعية مختلف التدابير لتوفير الراحة للمشتركين في المخيم ولكن كل شخص يكون مسؤول عن رحلته ونفقاته على حسابه الشخصية,,,ara,text,12 July 1959; Date created,1959-07-12,,"[31.7053821,35.2024425]",Social History,"Printed in Arabic on 12 July 1959, this document contains a letter from the Education Inspection Office of Hebron, to the principal of the Salesian Technical School in Bethlehem, informing the school of the letter the received from the National Lebanese Scouts Association, which regards to organizing a scout camp starting from the first of July 1959 till the end of September 1959. It is also noted that the association has contributed to providing comfort for the campers, who will have to take responsibility and finance themselves throughout the camp.",image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/62039_ca_object_representations_media_183407_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/3/4/81355_ca_object_representations_media_183407_original.jpg,https://palarchive.org/index.php/Detail/objects/218877/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Sixth Salesian Scout & Guide Troop Collection | The Sixth Salesian Scout & Guide Troop: Documents,10 June 2020 at 8:42:52,21 November 2020 at 10:20:40,وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش وزارة التربية والتعليم الى مدير مدرسة السالزيان في بيت لحم بتاريخ 12 تموز 1959 حيث وصل كتاب من جمعية الكشاف الوطني اللبناني الى وزير التربية والتعليم يشير باقامة مخيم كشفي. حيث يفتتح المخيم في اول شهر تموز سنة 1959 وسينتهي في اواخر شهر ايلول سنة 1959، ولقد اتخذت الجمعية مختلف التدابير لتوفير الراحة للمشتركين في المخيم ولكن كل شخص يكون مسؤول عن رحلته ونفقاته على حسابه الشخصية,وثيقة مطبوعة باللغة العربية، تتضمن رسالة من مكتب تفتيش وزارة التربية والتعليم الى مدير مدرسة السالزيان في بيت لحم بتاريخ 12 تموز 1959 حيث وصل كتاب من جمعية الكشاف الوطني اللبناني الى وزير التربية والتعليم يشير باقامة مخيم كشفي. حيث يفتتح المخيم في اول شهر تموز سنة 1959 وسينتهي في اواخر شهر ايلول سنة 1959، ولقد اتخذت الجمعية مختلف التدابير لتوفير الراحة للمشتركين في المخيم ولكن كل شخص يكون مسؤول عن رحلته ونفقاته على حسابه الشخصية,,"Printed in Arabic on 12 July 1959, this document contains a letter from the Education Inspection Office of Hebron, to the principal of the Salesian Technical School in Bethlehem, informing the school of the letter the received from the National Lebanese Scouts Association, which regards to organizing a scout camp starting from the first of July 1959 till the end of September 1959. It is also noted that the association has contributed to providing comfort for the campers, who will have to take responsibility and finance themselves throughout the camp.",,
