Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z16q7gvn,,,Collection,,,,,The Daniel Hughes Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5qw1c8c,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0001|~|182775|~|4094_ca_object_representations_media_143194_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,مطعم في بيت ساحور، 1989,"A Restaurant in Beit Sahour, 1989",A black-and-white photograph featuring a restaurant in the town of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها مطعم في بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/96723_ca_object_representations_media_143194_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/4094_ca_object_representations_media_143194_original.jpg,https://palarchive.org/index.php/Detail/objects/182775/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:11,A black-and-white photograph featuring a restaurant in the town of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.,صورة غير ملونة، يظهر فيها مطعم في بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5424nvw,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0002|~|182776|~|81004_ca_object_representations_media_143195_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,أشخاص في بلدة بيت ساحور،1989,"People in the Town of Beit Sahour, 1989",A black-and-white photograph featuring a group of cars and a group of people walking along the streets of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها سيارات ومجموعة أشخاص يمشون في شوارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دنيال,,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/84076_ca_object_representations_media_143195_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/81004_ca_object_representations_media_143195_original.jpg,https://palarchive.org/index.php/Detail/objects/182776/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:11,A black-and-white photograph featuring a group of cars and a group of people walking along the streets of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.,صورة غير ملونة، يظهر فيها سيارات ومجموعة أشخاص يمشون في شوارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دنيال,black-and-white photographs,,,
ark:/13030/m50d2mjw,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0003|~|182777|~|47674_ca_object_representations_media_143196_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,رجلان في بلدة بيت ساحور،1998,"Two Men in the Town of Beit Sahour, 1989","صورة غير ملونة، يظهر فيها رجلين في شارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال; A black-and-white photograph, featuring two men standing in one of the streets of Beit Sahour's town in 1989. This photograph was found among the archive of the Journalist Danial H.|~|صورة غير ملونة، يظهر فيها رجلين في شارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال; A black-and-white photograph, featuring two men standing in one of the streets of Beit Sahour's town in 1989. This photograph was found among the archive of the Journalist Danial H.",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/98934_ca_object_representations_media_143196_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/47674_ca_object_representations_media_143196_original.jpg,https://palarchive.org/index.php/Detail/objects/182777/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:11,"صورة غير ملونة، يظهر فيها رجلين في شارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال; A black-and-white photograph, featuring two men standing in one of the streets of Beit Sahour's town in 1989. This photograph was found among the archive of the Journalist Danial H.","صورة غير ملونة، يظهر فيها رجلين في شارع بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال; A black-and-white photograph, featuring two men standing in one of the streets of Beit Sahour's town in 1989. This photograph was found among the archive of the Journalist Danial H.",black-and-white photographs,,,
ark:/13030/m5m40mjz,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0004|~|182778|~|75814_ca_object_representations_media_143197_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,طفلان في مدرسة بيت ساحور،1989,"Two Children in the School of Beit Sahour, 1989","A black-and-white photograph, featuring two children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها طفلان في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/76530_ca_object_representations_media_143197_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/75814_ca_object_representations_media_143197_original.jpg,https://palarchive.org/index.php/Detail/objects/182778/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:12,"A black-and-white photograph, featuring two children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر فيها طفلان في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5vn2403,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0005|~|182779|~|48122_ca_object_representations_media_143198_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,مجموعة اطفال في مدرسة بيت ساحور،1989,"Children in the School of Beit Sahour, 1989","A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها مجموعة أطفال داخل مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/64355_ca_object_representations_media_143198_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/48122_ca_object_representations_media_143198_original.jpg,https://palarchive.org/index.php/Detail/objects/182779/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:12,"A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر فيها مجموعة أطفال داخل مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5gb9vv4,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0006|~|182780|~|91683_ca_object_representations_media_143199_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,مجموعة اطفال في مدرسة بيت ساحور،1989,"Children in the School of Beit Sahour, 1989","A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها مجموعة أطفال خلال مشاركتهم في العملية التعليمية في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/57234_ca_object_representations_media_143199_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/1/91683_ca_object_representations_media_143199_original.jpg,https://palarchive.org/index.php/Detail/objects/182780/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:09,10 March 2021 at 15:22:12,"A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر فيها مجموعة أطفال خلال مشاركتهم في العملية التعليمية في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5bk9463,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0007|~|182781|~|38561_ca_object_representations_media_143200_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,مجموعة اطفال  في مدرسة بيت ساحور,"Children in the School of Beit Sahour, 1989","A black-and-white photograph, featuring children while participating in the Educational Process at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها مجموعة أطفال اثناء مشاركتهم في العميلة التعليمية في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/79757_ca_object_representations_media_143200_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/38561_ca_object_representations_media_143200_original.jpg,https://palarchive.org/index.php/Detail/objects/182781/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:10,10 March 2021 at 15:22:12,"A black-and-white photograph, featuring children while participating in the Educational Process at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر فيها مجموعة أطفال اثناء مشاركتهم في العميلة التعليمية في مدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5pw4b3j,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0008|~|182782|~|66796_ca_object_representations_media_143201_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,مجموعة اطفال في مدرسة بيت ساحور،1989,"Children in the School of Beit Sahour, 1989","A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر فيها مجموعة أطفال في المدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/77797_ca_object_representations_media_143201_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/66796_ca_object_representations_media_143201_original.jpg,https://palarchive.org/index.php/Detail/objects/182782/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:10,10 March 2021 at 15:22:13,"A black-and-white photograph, featuring children while in class at the school of Beit Sahour in 1989. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر فيها مجموعة أطفال في المدرسة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m56t8cht,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0009|~|182783|~|31839_ca_object_representations_media_143202_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,منظر عام في بيت ساحور,"A General View in Beit Sahour, 1989","A black-and-white photograph, featuring a general view of a car and a street in Beit Sahour in 1989. This photograph was found in the archive of Danial H. |~|صورة غير ملونة يظهر فيها منظر عام لشارع وسياره في بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/87071_ca_object_representations_media_143202_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/31839_ca_object_representations_media_143202_original.jpg,https://palarchive.org/index.php/Detail/objects/182783/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:10,10 March 2021 at 15:22:13,"A black-and-white photograph, featuring a general view of a car and a street in Beit Sahour in 1989. This photograph was found in the archive of Danial H.",صورة غير ملونة يظهر فيها منظر عام لشارع وسياره في بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
ark:/13030/m5356b5p,ark:/21198/z16q7gvn,,Work,239.0,0239.01.0010|~|182784|~|93425_ca_object_representations_media_143203_original.jpg,The Daniel Hughes Collection,Daniel Hughes Sub-collection 1: Photographs,رسومات على حائط في بلدة بيت ساحور,"Paintings on One of the Walls of the Town of  Beit Sahour, 1989","A black-and-white photograph, featuring paintings on one of the walls in the town Beit Sahour. This photograph was found among the archive of the Journalist Danial H. |~|صورة غير ملونة، يظهر في فيها رسومات على حائط في بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال",,black-and-white photographs,,still image,1989; Date created,1989.0,,"[31.697836,35.22853]",,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/17671_ca_object_representations_media_143203_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/3/2/93425_ca_object_representations_media_143203_original.jpg,https://palarchive.org/index.php/Detail/objects/182784/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,The Daniel Hughes Collection | Daniel Hughes Sub-collection 1: Photographs,30 September 2019 at 13:34:10,10 March 2021 at 15:22:13,"A black-and-white photograph, featuring paintings on one of the walls in the town Beit Sahour. This photograph was found among the archive of the Journalist Danial H.",صورة غير ملونة، يظهر في فيها رسومات على حائط في بلدة بيت ساحور عام 1989. وجدت في مجموعة الصحفي دانيال,black-and-white photographs,,,
