,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z1z37jct,,,Collection,,,,,The Popular Theater Society for Performing Arts and Training Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m54c0shn,ark:/21198/z1z37jct,,Work,276.0,0276.01.0001|~|219343|~|65383_ca_object_representations_media_185787_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"صورة من عرض ""الحمار العجيب""، فرقة المسرح الشعبي، 1989","A Photograph of the Theatrical Performance ""Al-Himar al-Ajib"", the Popular Theatre Troupe, 1989","A colour photograph of the theatrical performance ""Al-Himar al-Ajib [The Wondrous Donkey]"" by the Popular Theatre Troupe, 1989.|~|صورة ملونة، خلال عرض مسرحية الحمار العجيب لفرقة المسرح الشعبي سنة 1989.",,color photographs,,still image,1989; Date created,1989,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/62229_ca_object_representations_media_185787_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/65383_ca_object_representations_media_185787_original.jpg,https://palarchive.org/index.php/Detail/objects/219343/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:41,1 April 2021 at 9:17:34,"A colour photograph of the theatrical performance ""Al-Himar al-Ajib [The Wondrous Donkey]"" by the Popular Theatre Troupe, 1989.",صورة ملونة، خلال عرض مسرحية الحمار العجيب لفرقة المسرح الشعبي سنة 1989.,color photographs,,,
2,ark:/13030/m50m01s9,ark:/21198/z1z37jct,,Work,276.0,0276.01.0002|~|219344|~|88593_ca_object_representations_media_185788_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الحمار العجيب لفرقة المسسرح الشعبي""، 1989","A Photograph of the Theatrical Performance ""Al-Himar al-Ajib"", the Popular Theatre Troupe, 1989","A colour photograph of the theatrical performance ""Al-Himar al-Ajib [The Wondrous Donkey]"" by the Popular Theatre Troupe, 1989.|~|صورة ملونة من عرض مسرحية الحمار العجيب لفرقة المسرح الشعبي سنة 1989.",,color photographs,,still image,1989; Date created,1989,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/84582_ca_object_representations_media_185788_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/88593_ca_object_representations_media_185788_original.jpg,https://palarchive.org/index.php/Detail/objects/219344/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:41,21 November 2020 at 10:20:15,"A colour photograph of the theatrical performance ""Al-Himar al-Ajib [The Wondrous Donkey]"" by the Popular Theatre Troupe, 1989.",صورة ملونة من عرض مسرحية الحمار العجيب لفرقة المسرح الشعبي سنة 1989.,color photographs,,,
3,ark:/13030/m5vx87sp,ark:/21198/z1z37jct,,Work,276.0,0276.01.0003|~|219345|~|74578_ca_object_representations_media_185789_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الأميرة والأقزام السبعة""، 1991","A Photograph of the Theatrical Performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa"", the Popular Theatre Troupe, 1991","A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.|~|صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.   وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935","""قصة فلة والأقزام السبعة"". موقع موضوع. 17/2/2018. تمت زيارة الصفحة في 1/4/2021 https://mawdoo3.com/قصة_فلة_والأقزام_السبعة",color photographs,,still image,1991; Date created,1991,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/97414_ca_object_representations_media_185789_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/74578_ca_object_representations_media_185789_original.jpg,https://palarchive.org/index.php/Detail/objects/219345/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:41,1 April 2021 at 9:47:20,"A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.",صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.   وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935,color photographs,,,
4,ark:/13030/m5zq1zc6,ark:/21198/z1z37jct,,Work,276.0,0276.01.0004|~|219346|~|66666_ca_object_representations_media_185790_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الأميرة والأقزام السبعة""، 1991","A Photograph of the Theatrical Performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa"", the Popular Theatre Troupe, 1991","A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.|~|صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935","""قصة فلة والأقزام السبعة"". موقع موضوع. 17/2/2018. تمت زيارة الصفحة في 1/4/2021 https://mawdoo3.com/قصة_فلة_والأقزام_السبعة",color photographs,,still image,1991; Date created,1991,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/35770_ca_object_representations_media_185790_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/66666_ca_object_representations_media_185790_original.jpg,https://palarchive.org/index.php/Detail/objects/219346/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:41,1 April 2021 at 9:47:35,"A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.",صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935,color photographs,,,
5,ark:/13030/m5h49hqf,ark:/21198/z1z37jct,,Work,276.0,0276.01.0005|~|219347|~|36174_ca_object_representations_media_185791_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الأميرة والأقزام السبعة""، 1991","A Photograph of the Theatrical Performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa"", the Popular Theatre Troupe, 1991","A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.|~|صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935","""قصة فلة والأقزام السبعة"". موقع موضوع. 17/2/2018. تمت زيارة الصفحة في 1/4/2021 https://mawdoo3.com/قصة_فلة_والأقزام_السبعة",color photographs,,still image,1991; Date created,1991,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/54388_ca_object_representations_media_185791_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/36174_ca_object_representations_media_185791_original.jpg,https://palarchive.org/index.php/Detail/objects/219347/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,1 April 2021 at 9:48:39,"A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.",صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935,color photographs,,,
6,ark:/13030/m56765g8,ark:/21198/z1z37jct,,Work,276.0,0276.01.0006|~|219348|~|10266_ca_object_representations_media_185792_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الأميرة والأقزام السبعة""، 1991","A Photograph of the Theatrical Performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa"", the Popular Theatre Troupe, 1991","A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.|~|صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935","""قصة فلة والأقزام السبعة"". موقع موضوع. 17/2/2018. تمت زيارة الصفحة في 1/4/2021 https://mawdoo3.com/قصة_فلة_والأقزام_السبعة",color photographs,,still image,1991; Date created,1991,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/42805_ca_object_representations_media_185792_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/10266_ca_object_representations_media_185792_original.jpg,https://palarchive.org/index.php/Detail/objects/219348/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,1 April 2021 at 9:49:31,"A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.",صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935,color photographs,,,
7,ark:/13030/m5036hrr,ark:/21198/z1z37jct,,Work,276.0,0276.01.0007|~|219349|~|83961_ca_object_representations_media_185793_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية الأميرة والأقزام السبعة""، 1991","A Photograph of the Theatrical Performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa"", the Popular Theatre Troupe, 1991","A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.|~|صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935","""قصة فلة والأقزام السبعة"". موقع موضوع. 17/2/2018. تمت زيارة الصفحة في 1/4/2021 https://mawdoo3.com/قصة_فلة_والأقزام_السبعة",color photographs,,still image,1991; Date created,1991,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/84251_ca_object_representations_media_185793_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/83961_ca_object_representations_media_185793_original.jpg,https://palarchive.org/index.php/Detail/objects/219349/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,1 April 2021 at 9:56:32,"A colour photograph of the theatrical performance ""Al-ʾAmirah Wal Aqzam as-Sabʿa [The Princess and the Seven Dwarfs"" by the Popular Theatre Troupe, 1991.",صورة ملونة من عرض مسرحية الأميرة والأقزام السبعة لفرقة المسرح الشعبي سنة 1991.  وهي قصة شعبية، تدور احداثها في حياة فتاة تعيش مع ابيها وزوجته الملكة الشريرة بعد وفاة والدتها. ثم تقرر الملكة قتلها، وتلجأ فلة الى بيت الاقزام لتحمي نفها من شر الملكة. تشأت الحكاية لاول مرة فيي المانيا، ثم بدأت تنتشر عبر اوروبا. نشرت عام 1812 في كتاب يضم مجموعة من القصص والخيال. تبنت والت ديزني الثصة وصنعت منها فيلما عام 1935,color photographs,,,
8,ark:/13030/m5xq4x5x,ark:/21198/z1z37jct,,Work,276.0,0276.01.0008|~|219350|~|3130_ca_object_representations_media_185794_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية سندريلا لفرقة المسرح الشعبي""، 1994","A Photograph of the Theatrical Performance of ""Cinderella"", the Popular Theatre Troupe, 1994","A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994. |~|صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.",,color photographs,,still image,1994; Date created,1994,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/27748_ca_object_representations_media_185794_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/3130_ca_object_representations_media_185794_original.jpg,https://palarchive.org/index.php/Detail/objects/219350/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,21 November 2020 at 10:20:15,"A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994.",صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.,color photographs,,,
9,ark:/13030/m5m981w5,ark:/21198/z1z37jct,,Work,276.0,0276.01.0009|~|219351|~|44934_ca_object_representations_media_185795_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية سندريلا لفرقة المسرح الشعبي""، 1994","A Photograph of the Theatrical Performance of ""Cinderella"", the Popular Theatre Troupe, 1994","A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994. |~|صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.",,color photographs,,still image,1994; Date created,1994,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/46411_ca_object_representations_media_185795_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/44934_ca_object_representations_media_185795_original.jpg,https://palarchive.org/index.php/Detail/objects/219351/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,21 November 2020 at 10:20:15,"A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994.",صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.,color photographs,,,
10,ark:/13030/m5gj795v,ark:/21198/z1z37jct,,Work,276.0,0276.01.0010|~|219352|~|77372_ca_object_representations_media_185796_original.jpg,The Popular Theater Society for Performing Arts and Training Collection,Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,"""صورة من مسرحية سندريلا لفرقة المسرح الشعبي""، 1994","A Photograph of the Theatrical Performance of ""Cinderella"", the Popular Theatre Troupe, 1994","A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994. |~|صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.",,color photographs,,still image,1994; Date created,1994,,"[31.9037641,35.2034184]",Culture and Arts,,image/jpeg,,,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/7665_ca_object_representations_media_185796_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/8/5/7/77372_ca_object_representations_media_185796_original.jpg,https://palarchive.org/index.php/Detail/objects/219352/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,,,The Popular Theater Society for Performing Arts and Training Collection | Popular Theater Society for Performing Arts and Training Sub-collection: Photographs,15 June 2020 at 12:27:42,21 November 2020 at 10:20:15,"A colour photograph of the theatrical performance ""Cinderella"" by the Popular Theatre Troupe, 1994.",صورة ملونة من عرض مسرحية سندريلا لفرقة المسرح الشعبي سنة 1994.,color photographs,,,
