Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Note.inscription (old),Note.inscription 2 (old),Alt Title,IIIF Manifest URL
ark:/21198/z1n06s3x,,,Collection,,Collection ID 0001,,,The Ali Kazak Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1n06s3x
ark:/13030/m5578pfg,ark:/21198/z1n06s3x,,Work,1,0001.01.0001|~|13|~|10002_ca_object_representations_media_2733_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""نحن الفلسطينيون""، ملصق صادر عن اتحاد الطلبة الأستراليين، 1970-1979","""We Are the Palestinians"", a Poster by the AUS, 1970-1979","Issued by the Australian Union of Students (AUS) in the 1970s, this poster shows a photograph from a documentary on the history of Palestine and the Palestinian people's struggle for their national rights titled ""We are the Palestinians"". |~|ملصق صادر عن اتحاد الطلبة الأستراليين في سبيعنيات القرن العشرين، يحتوي على صورة من فيلم وثائقي بعنوان ""نحن الفلسطينيون"" يتحدث عن تاريخ فلسطين ونضال الشعب الفلسطيني من أجل حقوقه الوطنية.","""We are the Palestinians."" 1970. Australian Union of Students. The Palestinian Poster Project Archives. https://www.palestineposterproject.org/poster/we-are-the-palestinians",posters,eng,still image,1970s; Date issued,1970/1979,,,Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"We are the Palestinians A documentary film on the history of Palestine and the Palestinian people's struggle for their national rights. On-campus By Tricontinental Films, distributed by the Australian Union of Students.|~|نحن الفلسطينيون وثائقي يحكي تاريخ فلسطين ونضال شعبها لنيل حقوقه. من أحد المخيمات إنتاج ترايكونتِنِنتَل فِلمز وتوزيع اتحاد الطلبة الأستراليين (Tricontinental Films)",image/jpeg,3170,4704,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/2344_ca_object_representations_media_2733_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/10002_ca_object_representations_media_2733_original.jpg,https://palarchive.org/index.php/Detail/objects/13/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,16 April 2018 at 14:52:45,4 December 2022 at 8:46:49,"Issued by the Australian Union of Students (AUS) in the 1970s, this poster shows a photograph from a documentary on the history of Palestine and the Palestinian people's struggle for their national rights titled ""We are the Palestinians"".","ملصق صادر عن اتحاد الطلبة الأستراليين في سبيعنيات القرن العشرين، يحتوي على صورة من فيلم وثائقي بعنوان ""نحن الفلسطينيون"" يتحدث عن تاريخ فلسطين ونضال الشعب الفلسطيني من أجل حقوقه الوطنية.",black-and-white poster,"We are the Palestinians A documentary film on the history of Palestine and the Palestinian people's struggle for their national rights. On-campus By Tricontinental Films, distributed by the Australian Union of Students.",نحن الفلسطينيون وثائقي يحكي تاريخ فلسطين ونضال شعبها لنيل حقوقه. من أحد المخيمات إنتاج ترايكونتِنِنتَل فِلمز وتوزيع اتحاد الطلبة الأستراليين (Tricontinental Films),,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5578pfg/manifest
ark:/13030/m51g7xp9,ark:/21198/z1n06s3x,,Work,1,0001.01.0002|~|52|~|21344_ca_object_representations_media_2734_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""فلسطين: موحدة، ديمقراطية، غير طائفية""، ملصق من تصميم علي قزق، 1979","""United, Democratic, and Non-Sectarian Palestine"", a Poster by Ali Kazak, 1979","Issued by the Palestine Liberation Organization (PLO), this poster shows a phrase that read ""United, Democratic, and Non-Sectarian Palestine"" and a design by Ali Kazak that shows a combination of the symbols of the three Abrahamic religions. It was first shown at Palestine's First Exhibition organized by Kazak in Australia in 1979.|~|ملصق صادر عن منظمة التحرير الفلسطينية، كُتب عليه عبارة ""فلسطين موحدة، ديمقراطية، لاطائفية"" يحتوي على تصميم لعلي قزق يجمع رموز الديانات الإبراهيمية الثلاث. تم عرض الملصق في معرض فلسطين الأول من تنظيم علي قزق في أستراليا عام 1979.","""United, Democratic, and Non-Sectarian Palestine."" 1980. The Palestine Liberation Organisation. The Palestinian Poster Project Archives. https://www.palestineposterproject.org/poster/we-are-the-palestinians",posters,eng,still image,1979; Date issued,1979,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,UNITARY DEMOCRATIC NON-SECTARIAN Palestine P.L.O.|~|فلسطين موحدة وديمقراطية وغير طائفية م.ت.ف,image/jpeg,4888,3144,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/84007_ca_object_representations_media_2734_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/21344_ca_object_representations_media_2734_original.jpg,https://palarchive.org/index.php/Detail/objects/52/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 13:19:43,4 December 2022 at 8:48:58,"Issued by the Palestine Liberation Organization (PLO), this poster shows a phrase that read ""United, Democratic, and Non-Sectarian Palestine"" and a design by Ali Kazak that shows a combination of the symbols of the three Abrahamic religions. It was first shown at Palestine's First Exhibition organized by Kazak in Australia in 1979.","ملصق صادر عن منظمة التحرير الفلسطينية، كُتب عليه عبارة ""فلسطين موحدة، ديمقراطية، لاطائفية"" يحتوي على تصميم لعلي قزق يجمع رموز الديانات الإبراهيمية الثلاث. تم عرض الملصق في معرض فلسطين الأول من تنظيم علي قزق في أستراليا عام 1979.",color poster,UNITARY DEMOCRATIC NON-SECTARIAN Palestine P.L.O.,فلسطين موحدة وديمقراطية وغير طائفية م.ت.ف,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51g7xp9/manifest
ark:/13030/m5wq7f5z,ark:/21198/z1n06s3x,,Work,1,0001.01.0003|~|78|~|61699_ca_object_representations_media_2735_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""نحو فلسطين علمانية وديمقراطية""، ملصق صادر عن النشطاء الفلسطينيين في أستراليا","""Support a Democratic Secular Palestine"", a Poster by Palestinian Activists in Australia","Issued by Palestinian activists in Australia, this poster is titled ""Support a Democratic Secular Palestine"".|~|ملصق بعنوان ""نحو فلسطين علمانية وديمقراطية"" صادر عن النشطاء الفلسطينيين في أستراليا.",,posters,eng,still image,,,,"[31.952162,35.233154;31.952162,35.233154;31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,SUPPORT A DEMOCRATIC SECULAR PALESTINE|~|ادعموا فلسطيناً ديمقراطية وعلمانية,image/jpeg,3389,2217,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/28648_ca_object_representations_media_2735_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/61699_ca_object_representations_media_2735_original.jpg,https://palarchive.org/index.php/Detail/objects/78/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 12:10:04,4 December 2022 at 8:50:18,"Issued by Palestinian activists in Australia, this poster is titled ""Support a Democratic Secular Palestine"".","ملصق بعنوان ""نحو فلسطين علمانية وديمقراطية"" صادر عن النشطاء الفلسطينيين في أستراليا.",color poster,SUPPORT A DEMOCRATIC SECULAR PALESTINE,ادعموا فلسطيناً ديمقراطية وعلمانية,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5wq7f5z/manifest
ark:/13030/m5sv5181,ark:/21198/z1n06s3x,,Work,1,0001.01.0004|~|82|~|29707_ca_object_representations_media_2736_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""سيناء""، ملصق صادر عن البعثة الدبلوماسية العامة الفلسطينية لأستراليا، 1987","""Sinai"", a Poster by the General Delegation of Palestine to Australia, 1987","This poster is in the form of a film advertisement and is designed by the General Delegation of Palestine to Australia in protest of the participation of Australian forces in the peacekeeping forces in Sinai to separate the Egyptian and Israeli forces as per the Camp David Accords. The poster was shown at the exhibition ""Palestinian Posters and Pictures,"" held at the Bridge Union at Australian National University, in May 1987.|~|ملصق على شكل إعلان فيلم من تصميم البعثة الدبلوماسية العامة الفلسطينية لأستراليا احتجاجًا على اشتراك القوات الأسترالية في قوات حفظ السلام في سيناء للفصل بين القوات المصرية والإسرائيلية بناءً على اتفاقية كامبد ديفد. عُرض هذا الملصق ضمن معرض ""ملصقات وصور فلسطينية""، الذي عُقد في البرِدج يونيون في جامعة أستراليا الوطنية في أيار 1987.","""Poster styled as a movie advertisement with an image from the movie 'Gallipoli'"" 1987. National Museum of Australia. http://collectionsearch.nma.gov.au/object/56261. Accessed on 16 February 2020.",posters,eng,still image,1981; Date issued,1981,,"[29.5,34]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,"From the people who brought you ""SAIGON"": Sinai Not Recommended for Anybody coming to a theatre near you on Anzac Day! ROBERT STIGWOOD & RUPERT MURDOCH with RAPID DEPLOYMENT FILMS PTY. LTD. PRESENT ""SINAI"" with RONALD REAGAN & MALCOLM FRASER co-starring MENACHEM BEGIN, HOSNI MUBARAK AND THE 82ND AIRBORNE A BRIGHT STAR RELEASE, PRODUCED BY ALEXANDER HAIG COMING SOON: ""SALVADOR""|~|ممن جلبوا لكم ""سياﭼون"": سيناء  لا يُنصح به لأحد في طريقه إليكم، سيعرض في إحدى دور السينما القريبة منك في ذكرى الأنزاك! روبرت ستيـﭼوود و روبرت مردوخ بالتعاون مع شركة رَبِد دِبلُويمِنت فِيلدز المحدودة (Rapid Deployment Fields PTY. LTD.) يقدمون  ""سيناء"" بالتعاون مع رونالد ريـﭼين ومَالكُلم فرِايزر بطولة مناحيم بيـﭼن، وحسني مبارك، وفرقة المظليين الثانية والثمانين أحد إصدارات برَايت ستار (Bright Star)  إنتاج ألكساندير هيـﭺ قريبًا: ""سَلْفادور""",image/jpeg,4120,1954,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/80644_ca_object_representations_media_2736_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/29707_ca_object_representations_media_2736_original.jpg,https://palarchive.org/index.php/Detail/objects/82/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 13:45:33,4 December 2022 at 13:32:49,"This poster is in the form of a film advertisement and is designed by the General Delegation of Palestine to Australia in protest of the participation of Australian forces in the peacekeeping forces in Sinai to separate the Egyptian and Israeli forces as per the Camp David Accords. The poster was shown at the exhibition ""Palestinian Posters and Pictures,"" held at the Bridge Union at Australian National University, in May 1987.","ملصق على شكل إعلان فيلم من تصميم البعثة الدبلوماسية العامة الفلسطينية لأستراليا احتجاجًا على اشتراك القوات الأسترالية في قوات حفظ السلام في سيناء للفصل بين القوات المصرية والإسرائيلية بناءً على اتفاقية كامبد ديفد. عُرض هذا الملصق ضمن معرض ""ملصقات وصور فلسطينية""، الذي عُقد في البرِدج يونيون في جامعة أستراليا الوطنية في أيار 1987.",color poster,"From the people who brought you ""SAIGON"": Sinai Not Recommended for Anybody coming to a theatre near you on Anzac Day! ROBERT STIGWOOD & RUPERT MURDOCH with RAPID DEPLOYMENT FILMS PTY. LTD. PRESENT ""SINAI"" with RONALD REAGAN & MALCOLM FRASER co-starring MENACHEM BEGIN, HOSNI MUBARAK AND THE 82ND AIRBORNE A BRIGHT STAR RELEASE, PRODUCED BY ALEXANDER HAIG COMING SOON: ""SALVADOR""","ممن جلبوا لكم ""سياﭼون"": سيناء  لا يُنصح به لأحد في طريقه إليكم، سيعرض في إحدى دور السينما القريبة منك في ذكرى الأنزاك! روبرت ستيـﭼوود و روبرت مردوخ بالتعاون مع شركة رَبِد دِبلُويمِنت فِيلدز المحدودة (Rapid Deployment Fields PTY. LTD.) يقدمون  ""سيناء"" بالتعاون مع رونالد ريـﭼين ومَالكُلم فرِايزر بطولة مناحيم بيـﭼن، وحسني مبارك، وفرقة المظليين الثانية والثمانين أحد إصدارات برَايت ستار (Bright Star)  إنتاج ألكساندير هيـﭺ قريبًا: ""سَلْفادور""",,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5sv5181/manifest
ark:/13030/m5jb3hvb,ark:/21198/z1n06s3x,,Work,1,0001.01.0005|~|81|~|23707_ca_object_representations_media_2737_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""موشيه ديَّان""، ملصق صادر عن لجنة مناهضة زيارة ديَّان، 1976","""Moshe Dayan"", a Poster by the Committee Against Dayan Tour, 1976","This poster reads ""Do You Know this Terrirosit?"" with a close-up portrait of Moshe Dayan followed by a description portraying him as a ""Zionist-Racist Killer of Palestinians"". The poster also shows an invitation to a protest against Dayan's visit to Australia in front of the Melbourne Town Hall on the evening of 28 July 1976.|~|ملصق يحتوي على عبارة ""أتعرفون هذا الإرهابي؟"" مُتبعة بصورة مقربة لموشيه ديان ذُيِّلت بتوصيفٍ له بأنه العنصري الصهيوني قاتل الفلسطينيين. يحتوي الملصق على دعوة للتظاهر رفضًا لزيارة ديّان لأستراليا أمام صرح المِلبُورن تَاون هول مساء 28 تموز 1976.","""Killer of Palestinians."" 1976. The Committee Against the Dayan Tour- Australia. The Palestinian Poster Project Archives.https://www.palestineposterproject.org/poster/killer-of-palestinians",posters,eng,still image,1976; Date issued,1976,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,Do You Know This Terrorist? Moshe Dayan Zionist - racist. Killer of Palestinians. DEMONSTRATE AGAINST DAYAN 7 pm July 28 Melbourne Town Hall Poster by the Committee Against Dayan|~|أتعرفون من هذا الإرهابي؟ موشيه ديان صهيوني عنصري. قاتل الفلسطينيين مظاهرة مناهضة لجرائم ديَّان السابعة مساء، 28 تموز، مِلبورن، تاون هول ملصق صادر عن لجنة مناهضة زيارة ديان,image/jpeg,3605,2687,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/87099_ca_object_representations_media_2737_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/23707_ca_object_representations_media_2737_original.jpg,https://palarchive.org/index.php/Detail/objects/81/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 13:41:03,4 December 2022 at 9:52:31,"This poster reads ""Do You Know this Terrirosit?"" with a close-up portrait of Moshe Dayan followed by a description portraying him as a ""Zionist-Racist Killer of Palestinians"". The poster also shows an invitation to a protest against Dayan's visit to Australia in front of the Melbourne Town Hall on the evening of 28 July 1976.","ملصق يحتوي على عبارة ""أتعرفون هذا الإرهابي؟"" مُتبعة بصورة مقربة لموشيه ديان ذُيِّلت بتوصيفٍ له بأنه العنصري الصهيوني قاتل الفلسطينيين. يحتوي الملصق على دعوة للتظاهر رفضًا لزيارة ديّان لأستراليا أمام صرح المِلبُورن تَاون هول مساء 28 تموز 1976.",color poster,Do You Know This Terrorist? Moshe Dayan Zionist - racist. Killer of Palestinians. DEMONSTRATE AGAINST DAYAN 7 pm July 28 Melbourne Town Hall Poster by the Committee Against Dayan,أتعرفون من هذا الإرهابي؟ موشيه ديان صهيوني عنصري. قاتل الفلسطينيين مظاهرة مناهضة لجرائم ديَّان السابعة مساء، 28 تموز، مِلبورن، تاون هول ملصق صادر عن لجنة مناهضة زيارة ديان,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5jb3hvb/manifest
ark:/13030/m56189r6,ark:/21198/z1n06s3x,,Work,1,0001.01.0006|~|80|~|22440_ca_object_representations_media_2738_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"ملصق بعنوان ""نُفوا، وقُتِّلوا، وقُصفوا، وحُرِّقوا، وسُلبوا صوتهم لكونِهم فلسطينيين""","A Poster Titled ""Exiled, Massacred, Bombed, Burnt, Silenced For Being Palestinian""","Issued by an unknown party, this poster reads ""Exiled, Massacred, Bombed, Burnt and Silenced for Being Palestinian"".|~|مُلصق يحتوي على عبارة ""نُفوا، وقُتِّلوا، وقُصفوا، وحُرقوا، وسُلبوا صوتهم لأنهم فلسطينيين""، صادر عن جهة غير معروفة.",,posters,eng,still image,,,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,EXILED MASSACRED BOMBED BURNT SILENCED FOR BEING PALESTINIAN|~|نفوا وذُبِّحوا وقُصفوا وحُرِقوا وأُسْكِتوا لأنهم فلسطينيون,image/jpeg,3424,2619,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/16750_ca_object_representations_media_2738_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/22440_ca_object_representations_media_2738_original.jpg,https://palarchive.org/index.php/Detail/objects/80/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 13:34:10,4 December 2022 at 9:58:19,"Issued by an unknown party, this poster reads ""Exiled, Massacred, Bombed, Burnt and Silenced for Being Palestinian"".","مُلصق يحتوي على عبارة ""نُفوا، وقُتِّلوا، وقُصفوا، وحُرقوا، وسُلبوا صوتهم لأنهم فلسطينيين""، صادر عن جهة غير معروفة.",posters,EXILED MASSACRED BOMBED BURNT SILENCED FOR BEING PALESTINIAN,نفوا وذُبِّحوا وقُصفوا وحُرِقوا وأُسْكِتوا لأنهم فلسطينيون,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56189r6/manifest
ark:/13030/m59s92f5,ark:/21198/z1n06s3x,,Work,1,0001.01.0007|~|77|~|26007_ca_object_representations_media_2739_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,""" حق تقرير المصير للفلسطينيين""، ملصق صادر عن النشطاء الفلسطينيين في أستراليا","""Palestinian Right to Self-Determination"", a Poster by Palestinian Activists in Australia","Issued by Palestinian activists in Australia, this poster titled ""Palestinian Right to Self-Determination"" is in support of the Palestine Liberation Organization in Australian universities.|~|ملصق بعنوان ""حق تقرير المصير للفلسطينيين"" صادر عن النشطاء الفلسطينيين في أستراليا، لتأييد منظمة التحرير الفلسطينية في الجامعات الأسترالية.",,posters,eng,still image,,,,"[31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,Self-determination for the Palestinians|~|تقرير المصير  للفلسطينيين,image/jpeg,3160,2373,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/82481_ca_object_representations_media_2739_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/26007_ca_object_representations_media_2739_original.jpg,https://palarchive.org/index.php/Detail/objects/77/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,good; 224,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,22 April 2018 at 11:59:37,4 December 2022 at 9:58:59,"Issued by Palestinian activists in Australia, this poster titled ""Palestinian Right to Self-Determination"" is in support of the Palestine Liberation Organization in Australian universities.","ملصق بعنوان ""حق تقرير المصير للفلسطينيين"" صادر عن النشطاء الفلسطينيين في أستراليا، لتأييد منظمة التحرير الفلسطينية في الجامعات الأسترالية.",color poster,Self-determination for the Palestinians,تقرير المصير  للفلسطينيين,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm59s92f5/manifest
ark:/13030/m5p348jm,ark:/21198/z1n06s3x,,Work,1,0001.01.0008|~|61|~|42500_ca_object_representations_media_2740_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""معركة الكرامة""، ملصق صادر عن م.ت.ف، 1975","""The Battle of Karameh"", a PLO Poster, 1975",A poster issued by the Unified Information of the Palestine Liberation Organization (PLO) on the seventh anniversary of the Battle of Karameh in 1975. |~|ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية في الذكرى السابعة لمعركة الكرامة عام 1975.,,posters,ara,still image,1975; Date issued,1975,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,الكرامة 21 آذار 1968 21 آذار 1975 منظمة التحرير الفلسطينية / الإعلام الموحّد فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح 1965 - 1975|~|The Battle of al-Karama March 21 1968 March 21 1975 The Palestine Liberation Organisation/the Unified Information Department Fateh: the persistence of the revolution and al-Asefa [i.e. the Fida'i wing of Fateh] is the beacon of the armed struggle 1965-1975,image/jpeg,4472,3106,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/92134_ca_object_representations_media_2740_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/42500_ca_object_representations_media_2740_original.jpg,https://palarchive.org/index.php/Detail/objects/61/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,medium; يوجد اهتراء وتمزق من الجانب الأيمن من أعلى.,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,19 April 2018 at 9:56:37,4 December 2022 at 10:01:38,A poster issued by the Unified Information of the Palestine Liberation Organization (PLO) on the seventh anniversary of the Battle of Karameh in 1975.,ملصق صادر عن الإعلام الموحد لمنظمة التحرير الفلسطينية في الذكرى السابعة لمعركة الكرامة عام 1975.,color poster,الكرامة 21 آذار 1968 21 آذار 1975 منظمة التحرير الفلسطينية / الإعلام الموحّد فتح ديمومة الثورة والعاصفة شعلة الكفاح المسلح 1965 - 1975,The Battle of al-Karama March 21 1968 March 21 1975 The Palestine Liberation Organisation/the Unified Information Department Fateh: the persistence of the revolution and al-Asefa [i.e. the Fida'i wing of Fateh] is the beacon of the armed struggle 1965-1975,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5p348jm/manifest
ark:/13030/m5dk2s3k,ark:/21198/z1n06s3x,,Work,1,0001.01.0009|~|46|~|52924_ca_object_representations_media_2741_original.jpg,The Ali Kazak Collection,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters,"""إلى الأمام إلى فلسطين، لا للعودة للتسوية""، ملصق صادر عن حركة فتح، 1970","""Forward to Palestine, Not Backward to Settlement"", a Fatah Poster, 1970","Issued by the Palestinian National Liberation Movement (Fatah) in 1970, this poster is titled ""Forward to Palestine, Not Backward to Settlement"".|~|ملصق بعنوان ""إلى الأمام إلى فلسطين، لا للعودة للتسوية"" صادر عن حركة التحرير الوطني الفلسطيني (فتح) عام 1970.",,posters,eng,still image,1970; Date issued,1970,,"Palestine [31.952162,35.233154]",Culture and Arts|~|Political mobilization|~|Resistance and Struggle|~|Social History,FORWARD TO PALESTINE NOT BACKWARD TO SETTLEMENT FATEH 1970|~|إلى فلسطين الوجهة ولا انكفاء للتسوية فتح 1970,image/jpeg,5559,3965,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/62763_ca_object_representations_media_2741_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/2/7/52924_ca_object_representations_media_2741_original.jpg,https://palarchive.org/index.php/Detail/objects/46/lang/en_US,The Palestinian Museum ,info@palarchive.org,gift,Corners are a bit worn out.,No,Ali Kazak Sub-collection 1: Palestine Liberation Organization Posters | The Ali Kazak Collection,18 April 2018 at 10:59:26,4 December 2022 at 10:08:58,"Issued by the Palestinian National Liberation Movement (Fatah) in 1970, this poster is titled ""Forward to Palestine, Not Backward to Settlement"".","ملصق بعنوان ""إلى الأمام إلى فلسطين، لا للعودة للتسوية"" صادر عن حركة التحرير الوطني الفلسطيني (فتح) عام 1970.",black-and-white poster,FORWARD TO PALESTINE NOT BACKWARD TO SETTLEMENT FATEH 1970,إلى فلسطين الوجهة ولا انكفاء للتسوية فتح 1970,,https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5dk2s3k/manifest
