"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1422gpb","","","Collection","","","","","The Joss Dray Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1422gpb"
"ark:/13030/m5093h0t","ark:/21198/z1422gpb","","Work","6.0","0006.03.0001|~|14060|~|90470_ca_object_representations_media_6666_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","اليوم الدراسي الأول في مدارس الأونروا بعد أسبوع من منع التجول","First Day of  the UNRWA Schools after a-Week-Long  Curfew","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures an UNRWA school on day one after a-week-long curfew.|~|صورة غير ملونة لليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.9037641,35.2034184]","","","image/jpeg","1894","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/92565_ca_object_representations_media_6666_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/90470_ca_object_representations_media_6666_original.jpg","https://palarchive.org/index.php/Detail/objects/14060/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:35","9 March 2021 at 19:27:36","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures an UNRWA school on day one after a-week-long curfew.","صورة غير ملونة لليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5093h0t/manifest"
"ark:/13030/m56t7zb7","ark:/21198/z1422gpb","","Work","6.0","0006.03.0002|~|14061|~|63463_ca_object_representations_media_6667_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","محمد أبو لبدة في طريقه للمدرسة","Muhammad abu Libde on His Way to School","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures a glimpse of Muhammad abu Libde on his way to an UNRWA school on day one after a-week-long curfew.|~|صورة غير ملونة لمحمد أبو لبدة في طريقه لحضور اليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.9037641,35.2034184]","","","image/jpeg","1856","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/24982_ca_object_representations_media_6667_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/63463_ca_object_representations_media_6667_original.jpg","https://palarchive.org/index.php/Detail/objects/14061/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:35","9 March 2021 at 19:27:36","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures a glimpse of Muhammad abu Libde on his way to an UNRWA school on day one after a-week-long curfew.","صورة غير ملونة لمحمد أبو لبدة في طريقه لحضور اليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56t7zb7/manifest"
"ark:/13030/m5qs27t7","ark:/21198/z1422gpb","","Work","6.0","0006.03.0003|~|14062|~|45003_ca_object_representations_media_6668_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","اليوم الدراسي الأول في مدارس الأونروا","UNRWA Schools on Day One","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures a glimpse of an UNRWA school on day one after a-week-long curfew. |~|صورة غير ملونة لليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.893170763682,35.209254886816]","","","image/jpeg","1911","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/19179_ca_object_representations_media_6668_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/45003_ca_object_representations_media_6668_original.jpg","https://palarchive.org/index.php/Detail/objects/14062/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:35","9 March 2021 at 19:27:36","Taken in al-Am'ari Palestinian Refugee Camp in Ramallah, the West Bank in 1988, this black-and-white photograph captures a glimpse of an UNRWA school on day one after a-week-long curfew.","صورة غير ملونة لليوم الدراسي الأول في مدرسة من مدارس الأونروا بعد انتهاء أسبوع كامل من منع التجول في مخيم الأمعري-رام الله، الضفة الغربية المحتلة 1988.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5qs27t7/manifest"
"ark:/13030/m5bk8q2z","ark:/21198/z1422gpb","","Work","6.0","0006.03.0004|~|14063|~|72950_ca_object_representations_media_6669_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","جمعية الشبّان المسيحية","YMCA","Taken in Al-Bireh, the West Bank in 1989, this black-and-white photograph captures a glimpse of the Young Men's Christian Association (YMCA) and its security guard sitting. The wall of YMCA building is vandalised with political graffiti and all of its windows are broken. |~|صورة غير ملونة لمبنى جمعية الشبّان المسيحية، يجلس أمامه حارس المبنى، والمبنى مليء بالعبارات السياسية المكتوبة على الجدران بالإضافة لزجاج النوافذ المكسورة، البيرة-الضفة الغربية المحتلة عام 1988.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.912563,35.221717]","","","image/jpeg","1902","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/34488_ca_object_representations_media_6669_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/72950_ca_object_representations_media_6669_original.jpg","https://palarchive.org/index.php/Detail/objects/14063/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:35","9 March 2021 at 19:27:36","Taken in Al-Bireh, the West Bank in 1989, this black-and-white photograph captures a glimpse of the Young Men's Christian Association (YMCA) and its security guard sitting. The wall of YMCA building is vandalised with political graffiti and all of its windows are broken.","صورة غير ملونة لمبنى جمعية الشبّان المسيحية، يجلس أمامه حارس المبنى، والمبنى مليء بالعبارات السياسية المكتوبة على الجدران بالإضافة لزجاج النوافذ المكسورة، البيرة-الضفة الغربية المحتلة عام 1988.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5bk8q2z/manifest"
"ark:/13030/m5m11h37","ark:/21198/z1422gpb","","Work","6.0","0006.03.0005|~|14064|~|66145_ca_object_representations_media_6670_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","مدخل مخيم الأمعري","Am’ari Palestinian Refugee Camp Entrance","Taken in the first Intifada, this black-and-white photograph captures a glimpse of the Am’ari Palestinian Refugee Camp entrance blocked with gallons of concrete.|~|صورة غير ملونة لمدخل مخيم الأمعري مغلق بواسطة براميل من الاسمنت خلال الانتفاضة الأولى.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.918009366894,35.212125778198]","","","image/jpeg","1838","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/10096_ca_object_representations_media_6670_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/66145_ca_object_representations_media_6670_original.jpg","https://palarchive.org/index.php/Detail/objects/14064/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:35","9 March 2021 at 19:27:36","Taken in the first Intifada, this black-and-white photograph captures a glimpse of the Am’ari Palestinian Refugee Camp entrance blocked with gallons of concrete.","صورة غير ملونة لمدخل مخيم الأمعري مغلق بواسطة براميل من الاسمنت خلال الانتفاضة الأولى.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5m11h37/manifest"
"ark:/13030/m53276kr","ark:/21198/z1422gpb","","Work","6.0","0006.03.0006|~|14065|~|88575_ca_object_representations_media_6671_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","ابنة ابو لبدة يوم زفافها","Abu Libde's Daughter on Her Wedding Day","Taken in the first Intifada in 1988, in the Am’ari Palestinian Refugee Camp located in Ramallah, this black-and-white photograph captures a glimpse of Abu Libde's young daughter getting ready for her wedding.|~|صورة غير ملونة لابنة أبو لبدة تستعد ليوم زفافها في مخيم الأمعري خلال الانتفاضة الاولى، رام الله 1988","","negatives (photographic)","","still image","1989; Date created","1989","","","","","image/jpeg","1832","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/72141_ca_object_representations_media_6671_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/88575_ca_object_representations_media_6671_original.jpg","https://palarchive.org/index.php/Detail/objects/14065/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:36","9 March 2021 at 19:27:36","Taken in the first Intifada in 1988, in the Am’ari Palestinian Refugee Camp located in Ramallah, this black-and-white photograph captures a glimpse of Abu Libde's young daughter getting ready for her wedding.","صورة غير ملونة لابنة أبو لبدة تستعد ليوم زفافها في مخيم الأمعري خلال الانتفاضة الاولى، رام الله 1988","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm53276kr/manifest"
"ark:/13030/m5vj30hh","ark:/21198/z1422gpb","","Work","6.0","0006.03.0007|~|14066|~|59905_ca_object_representations_media_6672_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","طفل يلعب في أحد شوارع كوبر","A Child Playing in the Streets of Kaubar","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of a child playing in the streets of Kaubar.|~|صورة غير ملونة لطفل يلعب في أحد شوارع قرية كوبر في رام الله خلال الانتفاضة الأولى.","","negatives (photographic)","","still image","1989; Date created","1989","","[31.989948,35.158443]","","","image/jpeg","1890","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/29617_ca_object_representations_media_6672_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/59905_ca_object_representations_media_6672_original.jpg","https://palarchive.org/index.php/Detail/objects/14066/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:36","9 March 2021 at 19:27:36","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of a child playing in the streets of Kaubar.","صورة غير ملونة لطفل يلعب في أحد شوارع قرية كوبر في رام الله خلال الانتفاضة الأولى.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vj30hh/manifest"
"ark:/13030/m5gb9frt","ark:/21198/z1422gpb","","Work","6.0","0006.03.0008|~|14067|~|74734_ca_object_representations_media_6673_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","صورة عائلية","A Family Portrait","Taken in Ramallah during the first Intifada, this black-and-white photograph captures a glimpse of a family from the village of Kaubar. |~|صورة غير ملونة لعائلة من قرية كوبر خلال الانتفاضة الأولى 1988.","","negatives (photographic)","","still image","1 July 1989 at 3:00; Date created","1989-07-01","","[31.989948,35.158443]","","","image/jpeg","1878","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/78428_ca_object_representations_media_6673_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/74734_ca_object_representations_media_6673_original.jpg","https://palarchive.org/index.php/Detail/objects/14067/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:36","9 March 2021 at 19:27:36","Taken in Ramallah during the first Intifada, this black-and-white photograph captures a glimpse of a family from the village of Kaubar.","صورة غير ملونة لعائلة من قرية كوبر خلال الانتفاضة الأولى 1988.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5gb9frt/manifest"
"ark:/13030/m5ps56nd","ark:/21198/z1422gpb","","Work","6.0","0006.03.0009|~|14068|~|19331_ca_object_representations_media_6674_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","أم تحمل صور ولديها الأسيرين","A Mother Holding Photos of Her Imprisoned Sons","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of a mother sitting next to her daughter holding photos of her imprisoned sons.|~|صورة غير ملونة لأم جالسة بجانب ابنتها تحمل صور لولديها الأسرى في قرية كوبر خلال الانتفاضة الاولى، رام الله.","","negatives (photographic)","","still image","1 July 1989; Date created","1989-07-01","","[31.989948,35.158443]","","","image/jpeg","1889","2835","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/62267_ca_object_representations_media_6674_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/19331_ca_object_representations_media_6674_original.jpg","https://palarchive.org/index.php/Detail/objects/14068/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:36","9 March 2021 at 19:27:36","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of a mother sitting next to her daughter holding photos of her imprisoned sons.","صورة غير ملونة لأم جالسة بجانب ابنتها تحمل صور لولديها الأسرى في قرية كوبر خلال الانتفاضة الاولى، رام الله.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ps56nd/manifest"
"ark:/13030/m5tj5zb9","ark:/21198/z1422gpb","","Work","6.0","0006.03.0010|~|14069|~|53597_ca_object_representations_media_6675_original.jpg","The Joss Dray Collection","Joss Dray Sub-collection 3: The 1989 Photo Collection","اطفال يلوّحون بالعلم الفلسطيني","Children Waving the Palestinian Flag","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of children waiving the Palestinian flag.|~|صورة غير ملونة لأطفال يلوّحون بالعلم الفلسطيني في قرية كوبر خلال الانتفاضة الأولى، رام الله.","","negatives (photographic)","","still image","1 July 1989 at 3:00; Date created","1989-07-01","","[31.989948,35.158443]","","","image/jpeg","6069","9013","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/55932_ca_object_representations_media_6675_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/6/53597_ca_object_representations_media_6675_original.jpg","https://palarchive.org/index.php/Detail/objects/14069/lang/en_US","The Palestinian Museum ","info@palarchive.org","","","","The Joss Dray Collection | Joss Dray Sub-collection 3: The 1989 Photo Collection","30 June 2018 at 16:06:36","9 March 2021 at 19:27:35","Taken in Kaubar, a village in Ramallah, during the first Intifada, this black-and-white photograph captures a glimpse of children waiving the Palestinian flag.","صورة غير ملونة لأطفال يلوّحون بالعلم الفلسطيني في قرية كوبر خلال الانتفاضة الأولى، رام الله.","negatives (photographic)","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5tj5zb9/manifest"
