"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1m09r00","","","Collection","","","","","The Umayma Muhtadi Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1m09r00"
"ark:/13030/m5fz4n9g","ark:/21198/z1m09r00","","Work","15.0","0015.01.0001|~|23817|~|39175_ca_object_representations_media_14027_original.jpg","The Umayma Muhtadi Collection","","""قبر راحيل"" طابع بريدي انتدابي، 16 تموز 1942","""Rachel’s Tomb"" Mandate Postage Stamp, 16 July 1942","This document shows the Rachel’s Tomb postage stamp; a colour mandate postage stamp that displays the name of Palestine in Arabic, English and Hebrew, and is stamped with the date of its authentication on 16 July 1942.|~|طابع قبر راحيل، وهو طابع بريدي انتدابي ملون يحمل اسم فلسطين باللغات العربية والإنجليزية والعبرية، ويحمل ختم يشير إلى تاريخ مصادقته في 16 تموز 1942.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","heb|~|eng|~|ara","still image","16 July 1942; Date created","1942-07-16","فلسطين","","Other|~|Social and Institutional Activism|~|Social Groups and Population|~|Social History|~|Tangible and Intangible Heritage","فلسطين palestine 1.pm 16 JY 42|~|Palestine 1. pm 16 JY 42","image/jpeg","1972","1704","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/15635_ca_object_representations_media_14027_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/39175_ca_object_representations_media_14027_original.jpg","https://palarchive.org/index.php/Detail/objects/23817/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:13","1 December 2022 at 14:14:54","This document shows the Rachel’s Tomb postage stamp; a colour mandate postage stamp that displays the name of Palestine in Arabic, English and Hebrew, and is stamped with the date of its authentication on 16 July 1942.","طابع قبر راحيل، وهو طابع بريدي انتدابي ملون يحمل اسم فلسطين باللغات العربية والإنجليزية والعبرية، ويحمل ختم يشير إلى تاريخ مصادقته في 16 تموز 1942.","post stamps","فلسطين palestine 1.pm 16 JY 42","Palestine 1. pm 16 JY 42","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fz4n9g/manifest"
"ark:/13030/m5jq8bvz","ark:/21198/z1m09r00","","Work","15.0","0015.01.0002|~|23818|~|67444_ca_object_representations_media_14028_original.jpg","The Umayma Muhtadi Collection","","""50 مل""، طابع مالي انتدابي، عشرينيات إلى أربعينيات القرن العشرين","""50 Mil"" Mandate Postage Stamp, the 1920s-1940s","Issued during the period of the British Mandate over Palestine, between the 1920s and the 1940s, this document shows a 50 mil ""official revenue stamp"". |~|طابع 50 مل ""طابع دفع إيرادات رسمية""، صدر في فترة الانتداب البريطاني على فلسطين، وذلك ما بين عشريينات وأربعينيات القرن العشرين.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","heb|~|eng|~|ara","still image","1920; Date created","1920","مل","","Culture and Arts|~|Other|~|Tangible and Intangible Heritage","PALESTINE REVENUE MILS فلسطين إيرادات مل 50|~|PALESTINE REVENUE MILS","image/jpeg","1972","1887","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/1503_ca_object_representations_media_14028_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/67444_ca_object_representations_media_14028_original.jpg","https://palarchive.org/index.php/Detail/objects/23818/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:13","1 December 2022 at 14:08:53","Issued during the period of the British Mandate over Palestine, between the 1920s and the 1940s, this document shows a 50 mil ""official revenue stamp"".","طابع 50 مل ""طابع دفع إيرادات رسمية""، صدر في فترة الانتداب البريطاني على فلسطين، وذلك ما بين عشريينات وأربعينيات القرن العشرين.","post stamps","PALESTINE REVENUE MILS فلسطين إيرادات مل 50","PALESTINE REVENUE MILS","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5jq8bvz/manifest"
"ark:/13030/m5z10m0v","ark:/21198/z1m09r00","","Work","15.0","0015.01.0003|~|23819|~|83977_ca_object_representations_media_14029_original.jpg","The Umayma Muhtadi Collection","","""قبر راحيل""، طابع بريدي انتدابي، 12 شباط 1942","""Rachel's Tomb"", Mandatory Postage Stamp, 12 February 1942","Issued during the British Mandate period over Palestine, this ""Rachel's Tomb"" postage stamp bears the name of Palestine in Arabic, Hebrew and English, and it is stamped with a seal that shows its issuance date, 12 February 1942.|~|طابع ""قبر راحيل""، وهو طابع بريدي صدر في فترة الانتداب البريطاني على فلسطين ويحمل اسم فلسطين باللغات العربية والعبرية والانجليزية. خُتم الطابع بختم يشير إلى تاريخ مصادقته في 12 شباط 1943.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","heb|~|eng|~|ara","still image","12 February 1942; Date created","1942-02-12","","","Culture and Arts|~|Other|~|Social History","فلسطين PALESTINE 10 9 am 12 FE 43|~|PALESTINE 10 9 am 12 FE 43","image/jpeg","1972","1724","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/16023_ca_object_representations_media_14029_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/83977_ca_object_representations_media_14029_original.jpg","https://palarchive.org/index.php/Detail/objects/23819/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:13","7 December 2022 at 11:05:34","Issued during the British Mandate period over Palestine, this ""Rachel's Tomb"" postage stamp bears the name of Palestine in Arabic, Hebrew and English, and it is stamped with a seal that shows its issuance date, 12 February 1942.","طابع ""قبر راحيل""، وهو طابع بريدي صدر في فترة الانتداب البريطاني على فلسطين ويحمل اسم فلسطين باللغات العربية والعبرية والانجليزية. خُتم الطابع بختم يشير إلى تاريخ مصادقته في 12 شباط 1943.","post stamps","فلسطين PALESTINE 10 9 am 12 FE 43","PALESTINE 10 9 am 12 FE 43","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5z10m0v/manifest"
"ark:/13030/m5t79v8k","ark:/21198/z1m09r00","","Work","15.0","0015.01.0004|~|23820|~|85422_ca_object_representations_media_14030_original.jpg","The Umayma Muhtadi Collection","","""فلسطين""، طابع بريدي صادر عن الجمهورية العربية المتحدة، ستينيات القرن العشرين","""فلسطين""، طابع بريدي صادر عن الجمهورية العربية المتحدة، ستينيات القرن العشرين","A postage stamp of 5 mls bearing the name of Palestine in Arabic and English issued by the United Arab Republic (UAR).|~|طابع بريدي يحمل اسم فلسطين باللغتين العربية والانجليزية، صادر عن الجمهورية العربية المتحدة في ستينيات القرن العشرين، بقيمة 5 مليمات.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","1960; Date created","1960","مل","","Culture and Arts|~|Other","فلسطين Palestine بريد الجمهورية العربية المتحدة 5 م","image/jpeg","2337","1977","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/76373_ca_object_representations_media_14030_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/85422_ca_object_representations_media_14030_original.jpg","https://palarchive.org/index.php/Detail/objects/23820/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:13","1 December 2022 at 14:23:01","A postage stamp of 5 mls bearing the name of Palestine in Arabic and English issued by the United Arab Republic (UAR).","طابع بريدي يحمل اسم فلسطين باللغتين العربية والانجليزية، صادر عن الجمهورية العربية المتحدة في ستينيات القرن العشرين، بقيمة 5 مليمات.","post stamps","فلسطين Palestine بريد الجمهورية العربية المتحدة 5 م","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5t79v8k/manifest"
"ark:/13030/m5995jtj","ark:/21198/z1m09r00","","Work","15.0","0015.01.0005|~|23821|~|66336_ca_object_representations_media_14031_original.jpg","The Umayma Muhtadi Collection","","طابع بريدي أردني، خمسينيات القرن العشرين","Jordanian Postage Stamp, the 1950s","طابع بريدي أردني بقيمة 20 فلس يحمل رسمًا لقبة الصخرة، صادر عن بريد الممكلة الأردنية الهاشمية في خمسينيات القرن العشرين.|~|طابع بريدي أردني بقيمة 20 فلس يحمل رسمًا لقبة الصخرة، صادر عن بريد الممكلة الأردنية الهاشمية في خمسينيات القرن العشرين.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","1950; Date created","1950","المملكة الاردنية الهاشمية فلس","","Culture and Arts|~|Other|~|Social History","Issued by the post of the Hashemite Kingdom of Jordan in the 1950s, this Jordanian postage stamp is for 20 fils and shows a drawing of the Dome of the Rock.|~|the Hashemite Kingdom of Jordan 20 fils postage","image/jpeg","2135","2866","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/70320_ca_object_representations_media_14031_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/66336_ca_object_representations_media_14031_original.jpg","https://palarchive.org/index.php/Detail/objects/23821/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:07:49","طابع بريدي أردني بقيمة 20 فلس يحمل رسمًا لقبة الصخرة، صادر عن بريد الممكلة الأردنية الهاشمية في خمسينيات القرن العشرين.","طابع بريدي أردني بقيمة 20 فلس يحمل رسمًا لقبة الصخرة، صادر عن بريد الممكلة الأردنية الهاشمية في خمسينيات القرن العشرين.","post stamps","Issued by the post of the Hashemite Kingdom of Jordan in the 1950s, this Jordanian postage stamp is for 20 fils and shows a drawing of the Dome of the Rock.","the Hashemite Kingdom of Jordan 20 fils postage","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5995jtj/manifest"
"ark:/13030/m55j4t4p","ark:/21198/z1m09r00","","Work","15.0","0015.01.0006|~|23822|~|9327_ca_object_representations_media_14032_original.jpg","The Umayma Muhtadi Collection","","""10 مل""، طابع مالي، ثلاثينيات وأربعينيات القرن العشرين","""10 Mils"", Revenue Stamp, the 1930s and 1940s","Issued during the British Mandate period over Palestine between the 1930s and the 1940s, this photograph shows three revenue stamps for 10 mils.|~|ثلاثة طوابع دفع إيرادات رسمية بقيمة 10 ملات، صادر في فترة الانتداب البريطاني على فلسطين، وذلك ما بين عشرينيات وأربعينيات القرن العشرين.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","ara","still image","1930; Date created","1930","10 ملات","","Culture and Arts|~|Other|~|Social History","فلسطين Palestine revenue 10 ملات ايرادات mils|~|Palestine revenue mils","image/jpeg","2162","5467","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/427_ca_object_representations_media_14032_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/9327_ca_object_representations_media_14032_original.jpg","https://palarchive.org/index.php/Detail/objects/23822/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","No","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:09:31","Issued during the British Mandate period over Palestine between the 1930s and the 1940s, this photograph shows three revenue stamps for 10 mils.","ثلاثة طوابع دفع إيرادات رسمية بقيمة 10 ملات، صادر في فترة الانتداب البريطاني على فلسطين، وذلك ما بين عشرينيات وأربعينيات القرن العشرين.","post stamps","فلسطين Palestine revenue 10 ملات ايرادات mils","Palestine revenue mils","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm55j4t4p/manifest"
"ark:/13030/m52s13h8","ark:/21198/z1m09r00","","Work","15.0","0015.01.0007|~|23823|~|57430_ca_object_representations_media_14033_original.jpg","The Umayma Muhtadi Collection","","طابعان بريديان صادران عن الجمهورية العربية المتحدة، 1961","Two Postage Stamps by the United Arab Republic, 1961","Issued by the United Arab Republic, this photograph shows two postage stamps, ""Palestine Day"" and ""Palestine"", where the first is for 10 mils and was issued in 1960, and the second is for 5 mils and was issued in 1961.|~|طابعا ""يوم فلسطين"" و""فلسطين"" من إصدار الجمهورية العربية المتحدة، قيمة الأول 10 مليمات وصدر عام 1960 والثاني بقيمة 5 مليمات وصدر عام 1961.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","ara","still image","1961; Date created","1961","يوم فلسطين 10 ملات","","Culture and Arts|~|Other|~|Social History|~|Women","فلسطين يوم فلسطين الجمهورية العربية المتحدة عائدون palestine day 5m 5م بريد","image/jpeg","6281","3457","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/21802_ca_object_representations_media_14033_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/57430_ca_object_representations_media_14033_original.jpg","https://palarchive.org/index.php/Detail/objects/23823/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:11:22","Issued by the United Arab Republic, this photograph shows two postage stamps, ""Palestine Day"" and ""Palestine"", where the first is for 10 mils and was issued in 1960, and the second is for 5 mils and was issued in 1961.","طابعا ""يوم فلسطين"" و""فلسطين"" من إصدار الجمهورية العربية المتحدة، قيمة الأول 10 مليمات وصدر عام 1960 والثاني بقيمة 5 مليمات وصدر عام 1961.","post stamps","فلسطين يوم فلسطين الجمهورية العربية المتحدة عائدون palestine day 5m 5م بريد","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm52s13h8/manifest"
"ark:/13030/m5pg93hs","ark:/21198/z1m09r00","","Work","15.0","0015.01.0008|~|23824|~|774_ca_object_representations_media_14034_original.jpg","The Umayma Muhtadi Collection","","طابعان بريديان، المملكة الأردنية الهاشمية، ستيينات القرن العشرين","Two Postage Stamps, the Hashemite Kingdom of Jordan, the 1960s","Issued by the Hashemite Kingdom of Jordan during the 1960s, this photograph shows two postage stamps, the first bears a photograph of Hussein bin Talal, while the second bears a photograph of the Dome of the Rock and King Hussein.|~|طابعان بريديان من إصدار المملكة الأردنية الهاشمية خلال ستينيات القرن العشرين، يحمل الأول صورة الحسين بن طلال، والثاني صورة لقبة الصخرة والملك الحسين.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","1960; Date created","1960","المملكة الاردنية الهاشمية فلس","","Culture and Arts|~|Other|~|Social History","revenue the hashemite kingdom of Jordan fils المملكة الأردنية الهاشمية 30 فلسا واردات|~|revenue the hashemite kingdom of Jordan 30 fils","image/jpeg","5411","3977","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/63344_ca_object_representations_media_14034_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/774_ca_object_representations_media_14034_original.jpg","https://palarchive.org/index.php/Detail/objects/23824/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:14:16","Issued by the Hashemite Kingdom of Jordan during the 1960s, this photograph shows two postage stamps, the first bears a photograph of Hussein bin Talal, while the second bears a photograph of the Dome of the Rock and King Hussein.","طابعان بريديان من إصدار المملكة الأردنية الهاشمية خلال ستينيات القرن العشرين، يحمل الأول صورة الحسين بن طلال، والثاني صورة لقبة الصخرة والملك الحسين.","post stamps","revenue the hashemite kingdom of Jordan fils المملكة الأردنية الهاشمية 30 فلسا واردات","revenue the hashemite kingdom of Jordan 30 fils","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5pg93hs/manifest"
"ark:/13030/m5dz7m53","ark:/21198/z1m09r00","","Work","15.0","0015.01.0009|~|23825|~|93206_ca_object_representations_media_14036_original.jpg","The Umayma Muhtadi Collection","","طوابع بريدية صادرة عن المملكة العربية المتحدة، 1960","Postage Stamps by the United Arab Republic, 1960","Issued by the United Arab Republic in 1960, this photograph shows four postage stamps, one has a photograph of an Egyptian female farmer and used to sell for 1 millim, the second has an Islamic lantern and used to sell for 4 millims, while the last two are titled ""Palestine"" and used to sell for 5 millims.|~|أربعة طوابع بريدية صادرة عن الجمهورية العربية المتحدة عام 1960، وهي طابع عليه صورة فلاحة مصرية وقيمته 1 مليم، وطابع القنديل الإسلامي وقيمته 4 مليمات، وطابعا ""فلسطين"" قيمة كل واحد منهما 5 مليمات.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","1960; Date created","1960","king hussein pope paulus 6","","Culture and Arts|~|Other|~|Social History|~|Women","المملكة الأردنية الهاشمية The hashemite kingdom of Jordan Pope Paul 6|~|The hashemite kingdom of Jordan Pope Paul 6","image/jpeg","2005","5263","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/8263_ca_object_representations_media_14036_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/93206_ca_object_representations_media_14036_original.jpg","https://palarchive.org/index.php/Detail/objects/23825/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:19:51","Issued by the United Arab Republic in 1960, this photograph shows four postage stamps, one has a photograph of an Egyptian female farmer and used to sell for 1 millim, the second has an Islamic lantern and used to sell for 4 millims, while the last two are titled ""Palestine"" and used to sell for 5 millims.","أربعة طوابع بريدية صادرة عن الجمهورية العربية المتحدة عام 1960، وهي طابع عليه صورة فلاحة مصرية وقيمته 1 مليم، وطابع القنديل الإسلامي وقيمته 4 مليمات، وطابعا ""فلسطين"" قيمة كل واحد منهما 5 مليمات.","post stamps","المملكة الأردنية الهاشمية The hashemite kingdom of Jordan Pope Paul 6","The hashemite kingdom of Jordan Pope Paul 6","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5dz7m53/manifest"
"ark:/13030/m51s42cw","ark:/21198/z1m09r00","","Work","15.0","0015.01.0010|~|23826|~|8121_ca_object_representations_media_14038_original.jpg","The Umayma Muhtadi Collection","","""فلسطين""، طابع بريدي صادر عن الجمهورية العربية المتحدة، 1961","""Palestine"", a Postage Stamp by the United Arab Republic, 1961","Issued by the United Arab Republic on World Health Day in April 1961 and sold for 10 millims, this photograph shows two postage stamps with the word ""Palestine"" in Arabic and English and the World Health Organization logo.|~|طابعان بريديان كتبت عليهما كلمة ""فلسطين"" باللغتين العربية والانجليزية، ووضع عليهما شعار منظمة الصحة العالمية. صدر الطابعان عن الجمهورية العربية بمناسبة يوم الصحة العالمية بقيمة 10 مليمات، وذلك في نيسان 1961.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","April 1961; Date created","1961-04","5 مل","","Culture and Arts|~|Other|~|Social History","الجمهورية العربية المتحدة فلسطين 10 م بريد Palestine 10 m الرقيب","image/jpeg","2437","4832","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/27488_ca_object_representations_media_14038_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/8121_ca_object_representations_media_14038_original.jpg","https://palarchive.org/index.php/Detail/objects/23826/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:21:25","Issued by the United Arab Republic on World Health Day in April 1961 and sold for 10 millims, this photograph shows two postage stamps with the word ""Palestine"" in Arabic and English and the World Health Organization logo.","طابعان بريديان كتبت عليهما كلمة ""فلسطين"" باللغتين العربية والانجليزية، ووضع عليهما شعار منظمة الصحة العالمية. صدر الطابعان عن الجمهورية العربية بمناسبة يوم الصحة العالمية بقيمة 10 مليمات، وذلك في نيسان 1961.","post stamps","الجمهورية العربية المتحدة فلسطين 10 م بريد Palestine 10 m الرقيب","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51s42cw/manifest"
"ark:/13030/m5s82t56","ark:/21198/z1m09r00","","Work","15.0","0015.01.0011|~|23827|~|38173_ca_object_representations_media_14039_original.jpg","The Umayma Muhtadi Collection","","طابعان بريديان، المملكة الأدنية الهاشمية، 22 شباط 1950","Two Postage Stamps, the Hashemite Kingdom of Jordan, 22 February 1950","Issued by the Hashemite Kingdom of Jordan in 1948, sold for 20 millims and were stamped on 22 February 1950, this photograph shows two postage stamps that bear a photograph of Abdullah I and the name ""Palestine"" in red.|~|طابعان بريديان تتضمنانِ صورة للملك عبد الله الأول واسم ""فلسطين"" باللون الأحمر. صدر الطابعان عن المملكة الأردنية الهاشيمة بقيمة 20 مليم عام 1948، وختما بتاريخ 22 شباط 1950.","Ozrail, Samar, ""The Umayma Muhtadi Collection,"" archival collection, 13 July 2018, the Palestinian Museum Digital Archive.","post stamps","eng|~|ara","still image","22 February 1950; Date created","1950-02-22","شرقي  الاردن 20 مل","","Culture and Arts|~|Other|~|Social History","عبد الرحمن الشرباتي القدس بريد الأردن 20 مل شرقي فلسطين Palestine transjordan","image/jpeg","4078","3382","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/28882_ca_object_representations_media_14039_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/4/0/38173_ca_object_representations_media_14039_original.jpg","https://palarchive.org/index.php/Detail/objects/23827/lang/en_US","The Palestinian Museum ","info@palarchive.org","gift","endangered; 227","","The Umayma Muhtadi Collection","13 August 2018 at 10:57:14","7 December 2022 at 11:23:47","Issued by the Hashemite Kingdom of Jordan in 1948, sold for 20 millims and were stamped on 22 February 1950, this photograph shows two postage stamps that bear a photograph of Abdullah I and the name ""Palestine"" in red.","طابعان بريديان تتضمنانِ صورة للملك عبد الله الأول واسم ""فلسطين"" باللون الأحمر. صدر الطابعان عن المملكة الأردنية الهاشيمة بقيمة 20 مليم عام 1948، وختما بتاريخ 22 شباط 1950.","post stamps","عبد الرحمن الشرباتي القدس بريد الأردن 20 مل شرقي فلسطين Palestine transjordan","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5s82t56/manifest"
