"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1ps3fh8","","","Collection","","","","","The Ibrahim al-Masri Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1ps3fh8"
"ark:/13030/m56t7zrm","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0001|~|20107|~|316_ca_object_representations_media_12426_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","4 August 1946","1946-08-04","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","6049","3322","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/95370_ca_object_representations_media_12426_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/316_ca_object_representations_media_12426_original.jpg","https://palarchive.org/index.php/Detail/objects/20107/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل No. F 874746","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 13:01:07","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56t7zrm/manifest"
"ark:/13030/m5z96qhv","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0002|~|20115|~|30920_ca_object_representations_media_12427_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","21 July 1940","1940-07-21","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5022","3201","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/76623_ca_object_representations_media_12427_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/30920_ca_object_representations_media_12427_original.jpg","https://palarchive.org/index.php/Detail/objects/20115/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل 749118","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:09:13","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5z96qhv/manifest"
"ark:/13030/m5327710","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0003|~|20116|~|44861_ca_object_representations_media_12428_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","13 June 1943","1943-06-13","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5110","3240","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/77827_ca_object_representations_media_12428_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/44861_ca_object_representations_media_12428_original.jpg","https://palarchive.org/index.php/Detail/objects/20116/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل 447277","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:09:17","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5327710/manifest"
"ark:/13030/m5vj30zb","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0004|~|20117|~|39512_ca_object_representations_media_12429_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","23 July 1941","1941-07-23","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5672","3414","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/85952_ca_object_representations_media_12429_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/39512_ca_object_representations_media_12429_original.jpg","https://palarchive.org/index.php/Detail/objects/20117/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل D 471124","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:09:23","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramlah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5vj30zb/manifest"
"ark:/13030/m5qs288g","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0005|~|20118|~|94937_ca_object_representations_media_12430_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, Ramallah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","8 December 1939","1939-12-08","","[31.951014,34.888075]; [31.931566,34.872938]","","","image/jpeg","5616","3438","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/8401_ca_object_representations_media_12430_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/94937_ca_object_representations_media_12430_original.jpg","https://palarchive.org/index.php/Detail/objects/20118/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل D12887","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:09:27","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, Ramallah, Abu Shusha village, on behalf of: Ibrahim Mahmoud Hasan al-Masreya.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع للواء اللد، قضاء الرملة، في قرية ابو شوشة، باسم: إبراهيم محمود حسن المصرية","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5qs288g/manifest"
"ark:/13030/m5093hfn","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0006|~|20103|~|46203_ca_object_representations_media_12431_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","13 June 1943","1943-06-13","","[31.931566,34.872938]","","","image/jpeg","5030","3295","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/67811_ca_object_representations_media_12431_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/46203_ca_object_representations_media_12431_original.jpg","https://palarchive.org/index.php/Detail/objects/20103/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; حكومة فلسطين/ وصل بالضريبة المحصلة E.447276","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 11:34:31","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5093hfn/manifest"
"ark:/13030/m5tj5zs4","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0007|~|20119|~|2488_ca_object_representations_media_12432_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","21 July 1940","1940-07-21","","[31.931566,34.872938]","","","image/jpeg","5697","3374","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/70626_ca_object_representations_media_12432_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/2488_ca_object_representations_media_12432_original.jpg","https://palarchive.org/index.php/Detail/objects/20119/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل E. 447276","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:11:57","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5tj5zs4/manifest"
"ark:/13030/m5bk8qfw","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0008|~|20120|~|32025_ca_object_representations_media_12433_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","4 August 1946","1946-08-04","","[31.931566,34.872938]","","","image/jpeg","5727","3327","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/42542_ca_object_representations_media_12433_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/32025_ca_object_representations_media_12433_original.jpg","https://palarchive.org/index.php/Detail/objects/20120/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل F . 874747","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5bk8qfw/manifest"
"ark:/13030/m5fc2f1s","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0009|~|20121|~|15669_ca_object_representations_media_12434_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","23 July 1941","1941-07-23","","[31.931566,34.872938]","","","image/jpeg","5039","3184","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/79145_ca_object_representations_media_12434_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/15669_ca_object_representations_media_12434_original.jpg","https://palarchive.org/index.php/Detail/objects/20121/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل D.749187","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12:03","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fc2f1s/manifest"
"ark:/13030/m5g80rrf","ark:/21198/z1ps3fh8","","Work","23.0","0023.01.0010|~|20122|~|74667_ca_object_representations_media_12435_original.jpg","The Ibrahim al-Masri Collection","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records","وصل ضريبي من حكومة الانتداب","Tax Receipt from the Mandate Government","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.|~|وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.; Asad, Hamzeh, ""The Ibrahim Masri Collection,"" archival inventory, July - October 2028, the Palestinian Museum Digital Archive.","","heb|~|eng|~|ara","text","3 December 1936","1936-12-03","","[31.931566,34.872938]","","","image/jpeg","5483","3462","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/31799_ca_object_representations_media_12435_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/2/4/74667_ca_object_representations_media_12435_original.jpg","https://palarchive.org/index.php/Detail/objects/20122/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; 'حكومة فلسطين/ وصل بالضريبة المحصل C. 457624","","Ibrahim al-Masri Sub-collection 1: Miscellaneous Tax Records | The Ibrahim al-Masri Collection","22 July 2018 at 14:12:05","9 March 2021 at 19:26:44","A receipt of the taxes collected from the British Mandate government of Lod District, in Abu Shusha village, on behalf of: Ismael Mohammad Eid.","وصل ضريبي بالضريبة المحصلة من حكومة الانتداب البريطاني تابع لقضاء الرملة، في قرية ابو شوشة، باسم: اسماعيل محمد عيد","","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5g80rrf/manifest"
