"Unnamed: 0","Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"0","ark:/21198/z19k9wwc","","","Collection","","","","","The Abdullah Alawneh Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz19k9wwc"
"1","ark:/13030/m5xt36jt","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0001|~|23185|~|28317_ca_object_representations_media_13520_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة للشهيد عبد الله علاونة مع صديقه نادر نايف","The Shaheed Abdullah Alawneh with his Friend Nader Nayef","A black-and-white photograph of the shaheed Abdullah Alawneh and his friend Nader Nayef at the shaheed's barbershop, in Jaba'. This photograph was taken before 1975.|~|صورة شخصية غير ملونة يظهر فيها الشهيد عبد الله علاونة وصديقه نادر نايف في صالون الحلاقة الخاص بالشهيد، في بلدته جبع أخذت الصورة قبل عام 1975","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","black-and-white photographs","","still image","","","صورة شهيد","[32.325027,35.220164]","","","image/jpeg","5615","3823","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/12045_ca_object_representations_media_13520_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/28317_ca_object_representations_media_13520_original.jpg","https://palarchive.org/index.php/Detail/objects/23185/lang/en_US","The Palestinian Museum ","info@palarchive.org","","endangered; الصورة ممزقة من الطرف العلوي","","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:35","9 March 2021 at 19:26:15","A black-and-white photograph of the shaheed Abdullah Alawneh and his friend Nader Nayef at the shaheed's barbershop, in Jaba'. This photograph was taken before 1975.","صورة شخصية غير ملونة يظهر فيها الشهيد عبد الله علاونة وصديقه نادر نايف في صالون الحلاقة الخاص بالشهيد، في بلدته جبع أخذت الصورة قبل عام 1975","black-and-white photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5xt36jt/manifest"
"2","ark:/13030/m5hj3x53","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0002|~|23186|~|13626_ca_object_representations_media_13521_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة شخصية للشهيد عبد الله علاونة التي أرسلها إلى صديقه","A Photograph of the Shaheed Abdullah Alawneh Sent to his Friend","A black-and-white photograph of the shaheed Abdullah Alawneh in a garden, as written on the back of the photograph, that the shaheed sent to Ghalib Zuhdi in India, the photograph has a handwritten signature of the shaheed. This photograph was taken before 1975.|~|صورة غير ملونة يظهر فيها الشهيد عبد الله علاونة في حديقة منزلية كما كتب على الوجه الثاني للصورة، التي أرسلها إلى صديقه غالب زهدي إلى عنوانه في الهند.، وعليها توقيع بخط يد الشهيد. أخذت الصورة قبل عام 1975.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","black-and-white photographs","eng|~|ara","still image","","","شهيد صورة","[32.325027,35.220164]","","1044 IV Block Jenin house Rajajiagar Bangalore 10 India غالب زهدي توقع باسم عبد الله|~|1044 الحي الرابع منزل جنين راجاجنغار بنغالور الهند Ghaleb Zuhdy Signed by Abdullah","image/jpeg","4455","3203","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/73878_ca_object_representations_media_13521_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/13626_ca_object_representations_media_13521_original.jpg","https://palarchive.org/index.php/Detail/objects/23186/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:35","9 March 2021 at 19:26:15","A black-and-white photograph of the shaheed Abdullah Alawneh in a garden, as written on the back of the photograph, that the shaheed sent to Ghalib Zuhdi in India, the photograph has a handwritten signature of the shaheed. This photograph was taken before 1975.","صورة غير ملونة يظهر فيها الشهيد عبد الله علاونة في حديقة منزلية كما كتب على الوجه الثاني للصورة، التي أرسلها إلى صديقه غالب زهدي إلى عنوانه في الهند.، وعليها توقيع بخط يد الشهيد. أخذت الصورة قبل عام 1975.","black-and-white photographs","1044 IV Block Jenin house Rajajiagar Bangalore 10 India غالب زهدي توقع باسم عبد الله","1044 الحي الرابع منزل جنين راجاجنغار بنغالور الهند Ghaleb Zuhdy Signed by Abdullah","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5hj3x53/manifest"
"3","ark:/13030/m51k6nvw","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0003|~|23187|~|1215_ca_object_representations_media_13523_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في مسجد قريته جبع، جنين، 1990","A Photograph of Shaheed Abdullah Alawneh's Body in a Mosque, Jaba', Jenin, 1990","Taken in 1990, this photograph shows Abdullah Alawneh's body in a casket at a mosque in his village Jaba', as his family stated. Appearing in the photograph are men and children looking at the body.|~|صورة يظهر فيها جثمان الشهيد عبد الله علاونة في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال وأطفال ينظرون إلى الجثمان.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","شهيد صورة","[32.325027,35.220164]","Social History|~|Family Records|~|Resistance and Struggle","","image/jpeg","5247","3754","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/89467_ca_object_representations_media_13523_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/1215_ca_object_representations_media_13523_original.jpg","https://palarchive.org/index.php/Detail/objects/23187/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","medium; 225","Yes","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:35","7 June 2022 at 8:52:43","Taken in 1990, this photograph shows Abdullah Alawneh's body in a casket at a mosque in his village Jaba', as his family stated. Appearing in the photograph are men and children looking at the body.","صورة يظهر فيها جثمان الشهيد عبد الله علاونة في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال وأطفال ينظرون إلى الجثمان.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51k6nvw/manifest"
"4","ark:/13030/m5cw1vvp","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0004|~|23188|~|12914_ca_object_representations_media_13524_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في مسجد قريته جبع، جنين","A Photograph of the Shaheed Abdullah Alawneh's Body in his Town's Mosque in Jaba', Jenin","","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","صورة شهيد","[32.325027,35.220164]","","","image/jpeg","3720","5248","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/59755_ca_object_representations_media_13524_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/12914_ca_object_representations_media_13524_original.jpg","https://palarchive.org/index.php/Detail/objects/23188/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; الصورة غير واضحة","Yes","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:35","9 March 2021 at 19:26:15","","","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5cw1vvp/manifest"
"5","ark:/13030/m5m97mtx","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0005|~|23189|~|83329_ca_object_representations_media_13525_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في مسجد القرية","A Photograph of the Shaheed Abdullah Alawneh's Body in his Town's Mosque","A colour photograph of Abdullah Alawneh's body in a casket at the village mosque, as told by his family. Appearing in the photograph are men and children looking at his body.|~|صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال ونساء وأطفال ينظرون إلى الجثمان.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","صورة شهيد","[32.325027,35.220164]","","","image/jpeg","5305","3697","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/87412_ca_object_representations_media_13525_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/83329_ca_object_representations_media_13525_original.jpg","https://palarchive.org/index.php/Detail/objects/23189/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; الصورة غير واضحة","","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:35","9 March 2021 at 19:26:15","A colour photograph of Abdullah Alawneh's body in a casket at the village mosque, as told by his family. Appearing in the photograph are men and children looking at his body.","صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال ونساء وأطفال ينظرون إلى الجثمان.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5m97mtx/manifest"
"6","ark:/13030/m5wt65c0","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0006|~|23190|~|20915_ca_object_representations_media_13526_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في قريته جبع، جنين","A Photograph of the Shaheed Abdullah Alawneh's Body in his Town's Mosque in Jaba', Jenin","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village, covered with the Palestinian flag and flowers. Appearing in the photograph are men and children looking at the body.|~|صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في قريته جبع، ومغطى بعلم فلسطين وباقة من الورد، ويظهر فيها رجال ونساء ينظرون إلى الجثمان.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","صورة شهيد","[32.325027,35.220164]","","","image/jpeg","5247","3719","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/50764_ca_object_representations_media_13526_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/20915_ca_object_representations_media_13526_original.jpg","https://palarchive.org/index.php/Detail/objects/23190/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:36","9 March 2021 at 19:26:15","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village, covered with the Palestinian flag and flowers. Appearing in the photograph are men and children looking at the body.","صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في قريته جبع، ومغطى بعلم فلسطين وباقة من الورد، ويظهر فيها رجال ونساء ينظرون إلى الجثمان.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5wt65c0/manifest"
"7","ark:/13030/m5s25dm4","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0007|~|23191|~|99408_ca_object_representations_media_13527_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في قريته جبع، جنين، 1990","A Photograph of Shaheed Abdullah Alawneh's Body in Jaba', Jenin, 1990","Taken in 1990, this photograph shows Abdullah Alawneh's body in a casket at a mosque in his village Jaba', as his family stated. Appearing in the photograph are men looking at the body and a woman wearing the Palestinian Thobe.|~|صورة يظهر فيها جثمان الشهيد عبد الله علاونة في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال ينظرون إلى الجثمان بينهم امرأة ترتدي الثوب الفلسطيني.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","صورة شهيد","[32.325027,35.220164]","Social History|~|Family Records","","image/jpeg","5293","3708","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/57070_ca_object_representations_media_13527_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/99408_ca_object_representations_media_13527_original.jpg","https://palarchive.org/index.php/Detail/objects/23191/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","acceptable; 226","Yes","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:36","7 June 2022 at 8:52:44","Taken in 1990, this photograph shows Abdullah Alawneh's body in a casket at a mosque in his village Jaba', as his family stated. Appearing in the photograph are men looking at the body and a woman wearing the Palestinian Thobe.","صورة يظهر فيها جثمان الشهيد عبد الله علاونة في تابوت في مسجد القرية كما أوضحت عائلته، ويظهر فيها رجال ينظرون إلى الجثمان بينهم امرأة ترتدي الثوب الفلسطيني.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5s25dm4/manifest"
"8","ark:/13030/m5ds06jp","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0008|~|23192|~|54452_ca_object_representations_media_13528_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في قريته جبع، جنين","A Photograph of the Shaheed Abdullah Alawneh's Body in his Town's Mosque in Jaba', Jenin","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village. Appearing in the photograph are men and children looking at the body.|~|صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في قريته جبع، كما أوضحت عائلته، ويظهرأشخاص خلف الجثمان ينظرون إليه.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","","","شهيد صورة","[32.325027,35.220164]","","","image/jpeg","5282","3708","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/66649_ca_object_representations_media_13528_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/54452_ca_object_representations_media_13528_original.jpg","https://palarchive.org/index.php/Detail/objects/23192/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; الصورة غير واضحة","Yes","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:36","7 June 2022 at 8:52:45","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village. Appearing in the photograph are men and children looking at the body.","صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة موضوع في تابوت في قريته جبع، كما أوضحت عائلته، ويظهرأشخاص خلف الجثمان ينظرون إليه.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5ds06jp/manifest"
"9","ark:/13030/m5gn5kc4","ark:/21198/z19k9wwc","","Work","26.0","0026.01.0009|~|23193|~|18845_ca_object_representations_media_13529_original.jpg","The Abdullah Alawneh Collection","Abdullah Alawneh Sub-collection1: Photographs","صورة لجثمان الشهيد عبد الله علاونة في قريته جبع، جنين","A Photograph of the Shaheed Abdullah Alawneh's Body in his Town's Mosque in Jaba', Jenin","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village, covered with the Palestinian flag and flowers. Appearing in the photograph are men and children looking at the body.|~|صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة الموضوع في تابوت في قريته جبع، ومغطى بعلم فلسطين وباقة من الورد، فيها أشخاص ينظرون إلى الجثمان.","Ozrail, Samar, ""The Abdullah Alawneh Collection"", archival inventory, 21 July 2018, the Palestinian Museum Digital Archive.","color photographs","","still image","11 November 1990; Date created","1990-11-11","صورة شهيد","[32.325027,35.220164]","","","image/jpeg","3730","5362","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/84498_ca_object_representations_media_13529_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/5/18845_ca_object_representations_media_13529_original.jpg","https://palarchive.org/index.php/Detail/objects/23193/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","Abdullah Alawneh Sub-collection1: Photographs | The Abdullah Alawneh Collection","9 August 2018 at 16:04:36","9 March 2021 at 19:26:15","A colour photograph of Abdullah Alawneh's body in a casket at Jaba' village, covered with the Palestinian flag and flowers. Appearing in the photograph are men and children looking at the body.","صورة ملونة يظهر فيها جثمان الشهيد عبد الله علاونة الموضوع في تابوت في قريته جبع، ومغطى بعلم فلسطين وباقة من الورد، فيها أشخاص ينظرون إلى الجثمان.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5gn5kc4/manifest"
