"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1ns6dkk","","","Collection","","","","","The Omar and Nael al-Barghouthi Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1ns6dkk"
"ark:/13030/m55j4tpv","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0001|~|22950|~|50008_ca_object_representations_media_13072_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","الأسرى عمر ونائل وفخري البرغوثي","A photograph of Omar and Nael Al Barghouthi with another Prisoner","A colour photograph of Omar and Nael Al Barghouthi with another prisoner.|~|صورة تجمع الأسرى عمر البرغوثي وشقيقه نائل وابن عمهما الأسير فخري البرغوثي خلال فترة اعتقالهم في سجن عسقلان، ويذكر أن الأسرى الثلاثة من قرية وكانوا قد شكلوا خلية عسكرية مشتركة واعتقلوا عام1978، بعد تنفيذهم لعملية قتل جندي صهيوني، حيث خرج عمر البرغوثي من السجن في صفقة تبادل الأسرى التي نفذتها الجبهة الشعبية القيادة العامة عام 1985، حيث اعتقل بعدها أكثر من مرة وقضى ما مجموعه 26 عاما في سجون الاحتلال وله ابن شهيد مازال جثمانه محتجز صالح البرغوثي وابن أسير يقضي فترة حكم طويل عاصم البرغوثي، بينما خرج فخري ونائل من السجن عام 2011 في صفقة تبادل الأسرى التي عرفت باسم صفقة شاليط بعد مدة اعتقال دامت 34 عاما لكليهما. في عام 2014 عاد قوات الاحتلال واعتقلت نائل البرغوثي ليصبح أقدم أسير في العالم ويقضي 42 عاما في السجن، بينما توفي عمر البرغوثي بتاريخ 25 آذار 2021 متأثرا باصابته بفايروس كورونا، أما فخري البرغوثي فهو حاليا عضو مجلس ثوري في حركة فتح، وناشط في الدفاع عن حقوق الأسرى الفلسطينيين.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","2004; Date created","2004","أسرى سجون سجن سجان","[31.952162,35.233154]","","ستوديو النورس 2004|~|Al-Nawras Studio 2004","image/jpeg","5592","4145","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/68565_ca_object_representations_media_13072_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/50008_ca_object_representations_media_13072_original.jpg","https://palarchive.org/index.php/Detail/objects/22950/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","16 September 2021 at 10:42:40","A colour photograph of Omar and Nael Al Barghouthi with another prisoner.","صورة تجمع الأسرى عمر البرغوثي وشقيقه نائل وابن عمهما الأسير فخري البرغوثي خلال فترة اعتقالهم في سجن عسقلان، ويذكر أن الأسرى الثلاثة من قرية وكانوا قد شكلوا خلية عسكرية مشتركة واعتقلوا عام1978، بعد تنفيذهم لعملية قتل جندي صهيوني، حيث خرج عمر البرغوثي من السجن في صفقة تبادل الأسرى التي نفذتها الجبهة الشعبية القيادة العامة عام 1985، حيث اعتقل بعدها أكثر من مرة وقضى ما مجموعه 26 عاما في سجون الاحتلال وله ابن شهيد مازال جثمانه محتجز صالح البرغوثي وابن أسير يقضي فترة حكم طويل عاصم البرغوثي، بينما خرج فخري ونائل من السجن عام 2011 في صفقة تبادل الأسرى التي عرفت باسم صفقة شاليط بعد مدة اعتقال دامت 34 عاما لكليهما. في عام 2014 عاد قوات الاحتلال واعتقلت نائل البرغوثي ليصبح أقدم أسير في العالم ويقضي 42 عاما في السجن، بينما توفي عمر البرغوثي بتاريخ 25 آذار 2021 متأثرا باصابته بفايروس كورونا، أما فخري البرغوثي فهو حاليا عضو مجلس ثوري في حركة فتح، وناشط في الدفاع عن حقوق الأسرى الفلسطينيين.","color photographs","ستوديو النورس 2004","Al-Nawras Studio 2004","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm55j4tpv/manifest"
"ark:/13030/m5sc1j60","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0002|~|22951|~|37691_ca_object_representations_media_13073_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي أثناء تواجده في سجن مجدو","A photograph of Omar Al Barghouthi in Megiddo Prison","A colour photograph of Omar Al Barghouthi with shaheed Abdul-Hafeth Gaythan from Qibya, Abdu Muneer from Burqa, Sheikh Khdeer and Shukry Khawaja from Ni'lin in the tents in Megiddo Prison.|~|صورة ملونة في سجن مجدو في الخيام ويظهر في الصورة عمر البرغوثي، والشهيد عبد الحافظ غيظان من بلدة قبيا، وأبو منير من برقة، والشيخ خضير، وشكري الخواجا من نعلين.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","","","أسرى سجون سجن سجان","[31.952162,35.233154;32.5708622,35.1898259]","","الاخ ابو عاصف/ قسم 7 اداري عمر البرغوثي|~|Brother Abo Asif / Administrative Section No.7    Omar Al Barghouthi","image/jpeg","3239","4834","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/74826_ca_object_representations_media_13073_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/37691_ca_object_representations_media_13073_original.jpg","https://palarchive.org/index.php/Detail/objects/22951/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi with shaheed Abdul-Hafeth Gaythan from Qibya, Abdu Muneer from Burqa, Sheikh Khdeer and Shukry Khawaja from Ni'lin in the tents in Megiddo Prison.","صورة ملونة في سجن مجدو في الخيام ويظهر في الصورة عمر البرغوثي، والشهيد عبد الحافظ غيظان من بلدة قبيا، وأبو منير من برقة، والشيخ خضير، وشكري الخواجا من نعلين.","color photographs","الاخ ابو عاصف/ قسم 7 اداري عمر البرغوثي","Brother Abo Asif / Administrative Section No.7    Omar Al Barghouthi","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5sc1j60/manifest"
"ark:/13030/m5f26b49","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0003|~|22952|~|81322_ca_object_representations_media_13075_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي وآخرون في سجن عوفر","A photogarph of Omar Al Barghouthi with other prisoners in Ofer Prison","A colour photograph of Omar Al Barghouthi with other prisoners in Ofer Prison|~|صورة ملونة لعمر البرغوثي وآخرون في سجن عوفر","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","2014; Date created","2014","أسرى سجون سجن سجان","[31.952162,35.233154;31.872312,35.179406]","","","image/jpeg","3249","4810","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/37242_ca_object_representations_media_13075_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/81322_ca_object_representations_media_13075_original.jpg","https://palarchive.org/index.php/Detail/objects/22952/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi with other prisoners in Ofer Prison","صورة ملونة لعمر البرغوثي وآخرون في سجن عوفر","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5f26b49/manifest"
"ark:/13030/m5jt72wr","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0004|~|22953|~|84298_ca_object_representations_media_13076_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي  في سجن هدريم","A photogarph of Omar Al Barghouthi in Hadarim Prison","A colour photograph of Omar Al Barghouthi with Marwan Barghouti and Mohammad Omar (Hamas' representative) in Hadarim Prison|~|صورة ملونة لعمر البرغوثي ومروان البرغوثي ومحمد عمر (ممثل لحماس) في سجن هدريم.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","2007; Date created","2007","أسرى سجون سجن سجان","[31.952162,35.233154;32.183081,34.933487]","","","image/jpeg","3329","4810","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/46801_ca_object_representations_media_13076_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/84298_ca_object_representations_media_13076_original.jpg","https://palarchive.org/index.php/Detail/objects/22953/lang/en_US","The Palestinian Museum ","info@palarchive.org","","good; 224","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi with Marwan Barghouti and Mohammad Omar (Hamas' representative) in Hadarim Prison","صورة ملونة لعمر البرغوثي ومروان البرغوثي ومحمد عمر (ممثل لحماس) في سجن هدريم.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5jt72wr/manifest"
"ark:/13030/m51s42x2","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0005|~|22954|~|82752_ca_object_representations_media_13077_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي في سجن عوفر","A photograph  of Omar Al Barghouthi in Ofer Prison","A colour photograph of Omar Al Barghouthi in Ofer Prison.|~|صورة ملونة لعمر البرغوثي أثناء اعتقاله في سجن عوفر عوفر.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","2000; Date created","2000","أسرى سجون سجن سجان","[31.952162,35.233154;31.872312,35.179406]","","","image/jpeg","4856","3237","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/24883_ca_object_representations_media_13077_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/82752_ca_object_representations_media_13077_original.jpg","https://palarchive.org/index.php/Detail/objects/22954/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi in Ofer Prison.","صورة ملونة لعمر البرغوثي أثناء اعتقاله في سجن عوفر عوفر.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm51s42x2/manifest"
"ark:/13030/m5hv01sc","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0006|~|22955|~|65343_ca_object_representations_media_13078_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي و مجموعة من الأسرى","A photograph of Omar Al Barghouthi with other prisoners","A colour photograph of Omar Al Barghouthi with other prisoners. In front of them is a kind of sweets made; with milk, raisins and nuts, in prison and they call it ""Nabulsyeh"". One of the prisoners in the photo of Abu Mo'ath who is a teacher at An-Najah National University.|~|صورة ملونة لمجموعة من الأسرى مع عمر البرغوثي وأمامهم يضعون حلوى تصنع في السجن تتكون من الحليب والزبيب ومكسرات ويسموها نابلسية، من بين الاسرى الأستاذ أبو معاذ وهو مدرس في جامعة النجاح.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","2014; Date created","2014","أسرى سجون سجن سجان","[31.952162,35.233154]","","","image/jpeg","3260","4833","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/18678_ca_object_representations_media_13078_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/65343_ca_object_representations_media_13078_original.jpg","https://palarchive.org/index.php/Detail/objects/22955/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:26","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi with other prisoners. In front of them is a kind of sweets made; with milk, raisins and nuts, in prison and they call it ""Nabulsyeh"". One of the prisoners in the photo of Abu Mo'ath who is a teacher at An-Najah National University.","صورة ملونة لمجموعة من الأسرى مع عمر البرغوثي وأمامهم يضعون حلوى تصنع في السجن تتكون من الحليب والزبيب ومكسرات ويسموها نابلسية، من بين الاسرى الأستاذ أبو معاذ وهو مدرس في جامعة النجاح.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5hv01sc/manifest"
"ark:/13030/m5x13kgj","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0007|~|22956|~|16563_ca_object_representations_media_13079_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي أثناء تواجده في سجن عوفر","A photograph of Omar Al Barghouthi in Ofer Prison","A colour photograph taken at Ofer Prison, of Omar Al Barghouthi, Fatah representative, the Democratic Front representative, Hamas representative, and other Fatah members. It's a photograph that symbolises national unity for Omar Al Barghouthi.|~|صورة ملونة التقطت في سجن عوفر، يظهر فيها عمر البرغوثي وممثل فتح وممثل الجبهة الديمقراطية وممثل حماس، وشباب آخرين من حركة فتح، صورة يراها عمر البرغوثي تمثل الوحدة الوطنية.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","","","أسرى سجون سجن سجان","[31.952162,35.233154;31.872312,35.179406]","","","image/jpeg","3295","4811","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/46383_ca_object_representations_media_13079_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/16563_ca_object_representations_media_13079_original.jpg","https://palarchive.org/index.php/Detail/objects/22956/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:27","9 March 2021 at 19:26:19","A colour photograph taken at Ofer Prison, of Omar Al Barghouthi, Fatah representative, the Democratic Front representative, Hamas representative, and other Fatah members. It's a photograph that symbolises national unity for Omar Al Barghouthi.","صورة ملونة التقطت في سجن عوفر، يظهر فيها عمر البرغوثي وممثل فتح وممثل الجبهة الديمقراطية وممثل حماس، وشباب آخرين من حركة فتح، صورة يراها عمر البرغوثي تمثل الوحدة الوطنية.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5x13kgj/manifest"
"ark:/13030/m5nm0shq","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0008|~|22957|~|85749_ca_object_representations_media_13080_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة لعمر البرغوثي وماهر عودة في سجن مجدو","A photograph of Omar Al Barghouthi and Maher Odeh in Megiddo Prison","A colour photograph of Omar Al Barghouthi and Maher Odeh, exiled in Malaysia, in Megiddo Prison. Al Barghouthi says that during this imprisonment, Maher was always seen memorizing verses from the Quran in the prison yard.|~|صورة ملونة في سجن مجدو، يظهر في الصورة الأستاذ ماهر عودة المبعد في ماليزيا، يقول عمر البرغوثي أنه خلال هذه المرة من الأسر كان دائما يحمل مصحفه ودائما يمشي في ساحة السجن ويحفظ القرآن.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1995; Date created","1995","أسرى سجون سجن سجان","[31.952162,35.233154;32.5708622,35.1898259]","","بسم الله الرحمن الرحيم هدية تذكارية بمناسبة عيد الفطر السعيد للأخ الحبيب المقدام وتقبل تحيات أخيك الحب لك ماهر عودة قلعة حطين/ مجدو 1/ شوال/ 1417ه 8/2/1997م|~|In the name of Allah the Merciful A souvenir on the occasion of Eid Al-Fitr for my beloved brother Love you Maher Odeh Hittin / Megiddo 1 / 07 / 1417 AH 8/2/1997 AD","image/jpeg","2847","4030","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/83002_ca_object_representations_media_13080_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/85749_ca_object_representations_media_13080_original.jpg","https://palarchive.org/index.php/Detail/objects/22957/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; 225","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:27","9 March 2021 at 19:26:19","A colour photograph of Omar Al Barghouthi and Maher Odeh, exiled in Malaysia, in Megiddo Prison. Al Barghouthi says that during this imprisonment, Maher was always seen memorizing verses from the Quran in the prison yard.","صورة ملونة في سجن مجدو، يظهر في الصورة الأستاذ ماهر عودة المبعد في ماليزيا، يقول عمر البرغوثي أنه خلال هذه المرة من الأسر كان دائما يحمل مصحفه ودائما يمشي في ساحة السجن ويحفظ القرآن.","color photographs","بسم الله الرحمن الرحيم هدية تذكارية بمناسبة عيد الفطر السعيد للأخ الحبيب المقدام وتقبل تحيات أخيك الحب لك ماهر عودة قلعة حطين/ مجدو 1/ شوال/ 1417ه 8/2/1997م","In the name of Allah the Merciful A souvenir on the occasion of Eid Al-Fitr for my beloved brother Love you Maher Odeh Hittin / Megiddo 1 / 07 / 1417 AH 8/2/1997 AD","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5nm0shq/manifest"
"ark:/13030/m5d2991c","ark:/21198/z1ns6dkk","","Work","31.0","0031.01.0009|~|22958|~|92574_ca_object_representations_media_13082_original.jpg","The Omar and Nael al-Barghouthi Collection","Omar and Nael al-Barghouthi Sub-collection 1: Photographs","صورة نائل البرغوثي في سجن الجنيد","A photograph of Nael Al Barghouthi in Al-Jneed Prison","صورة لنائل البرغوثي في سجن الجنيد في نابلس قبل عام 1995.|~|صورة لنائل البرغوثي في سجن الجنيد في نابلس قبل عام 1995.","Ozrail, Samar, ""the Omar and Nael Barghouti Collection"", archival inventory, 25 July 2018, the Palestinian Museum Digital Archive.; Omar Barghouti (Palestinian prisoner), recorded interview with PMDA researcher Samar Ozrail, 25 July 2018, non-transcript, the Palestinian Museum Digital Archive.","color photographs","","still image","1980 to 1985; Date created","1980/1985","أسرى سجون سجن سجان","[31.952162,35.233154]","","","image/jpeg","4846","3295","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/75992_ca_object_representations_media_13082_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/3/0/92574_ca_object_representations_media_13082_original.jpg","https://palarchive.org/index.php/Detail/objects/22958/lang/en_US","The Palestinian Museum ","info@palarchive.org","","medium; صورة ملونة لنائل البرغوثي في سجن الجنيد قبل تبادل ال 1985.","","The Omar and Nael al-Barghouthi Collection | Omar and Nael al-Barghouthi Sub-collection 1: Photographs","8 August 2018 at 16:18:27","16 September 2021 at 10:24:18","صورة لنائل البرغوثي في سجن الجنيد في نابلس قبل عام 1995.","صورة لنائل البرغوثي في سجن الجنيد في نابلس قبل عام 1995.","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5d2991c/manifest"
