"Item ARK","Parent ARK","File Name","Object Type","coll id","AltIdentifier.local","Collection","Series","Title","AltTitle.other","Description.note","References","Genre","Language","Type.typeOfResource","Date.created","Date.normalized","Note","Subject.coordinates","Subject topic","Inscription","media.format","media.height","media.width","Thumbnail","IIIF Access URL","External item record","Repository","Rights.servicesContact","Acquisition method","Physical status","Violent Content","Series & Collection","Creation date/time","Last modification date/time","Description (Eng)","Description (Ara)","Genre (old)","Inscription (old)","Inscription 2 (old)","Alt Title","IIIF Manifest URL"
"ark:/21198/z1rk0441","","","Collection","","","","","The Palestinian Democratic Union (FIDA) Collection","","","","","","","","","","","","","","","","","","","The Palestinian Museum Digital Archive","info@palarchive.org","","","","","","","","","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1rk0441"
"ark:/13030/m5b06hwm","ark:/21198/z1rk0441","","Work","39.0","0039.01.0001|~|25788|~|38782_ca_object_representations_media_19843_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999.","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","اليوم  لقاء نسوي مع عضوات مجالس بلدية (البيره + عبوين) الاخوات المرحومه عفاف عقل + فاطمة سحويل في قاعة بلدية البيرة 1999|~|Today Feminist meeting with the members of Al-Bireh and Abwein Municipality The late; Afaf Aqel + Fatima Sahweil In Al-Bireh Municipality Hall in 1999","image/jpeg","3854","5367","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/60453_ca_object_representations_media_19843_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/38782_ca_object_representations_media_19843_original.jpg","https://palarchive.org/index.php/Detail/objects/25788/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:58","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999.","color photographs","اليوم  لقاء نسوي مع عضوات مجالس بلدية (البيره + عبوين) الاخوات المرحومه عفاف عقل + فاطمة سحويل في قاعة بلدية البيرة 1999","Today Feminist meeting with the members of Al-Bireh and Abwein Municipality The late; Afaf Aqel + Fatima Sahweil In Al-Bireh Municipality Hall in 1999","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5b06hwm/manifest"
"ark:/13030/m5fr78m1","ark:/21198/z1rk0441","","Work","39.0","0039.01.0002|~|25789|~|44277_ca_object_representations_media_19845_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة التقطت خلال اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5445","3939","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/39603_ca_object_representations_media_19845_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/44277_ca_object_representations_media_19845_original.jpg","https://palarchive.org/index.php/Detail/objects/25789/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة التقطت خلال اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5fr78m1/manifest"
"ark:/13030/m5675s59","ark:/21198/z1rk0441","","Work","39.0","0039.01.0003|~|25790|~|75323_ca_object_representations_media_19846_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5428","3924","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/15827_ca_object_representations_media_19846_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/75323_ca_object_representations_media_19846_original.jpg","https://palarchive.org/index.php/Detail/objects/25790/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5675s59/manifest"
"ark:/13030/m5xq4hwc","ark:/21198/z1rk0441","","Work","39.0","0039.01.0004|~|25791|~|68608_ca_object_representations_media_19847_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5432","3915","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/65832_ca_object_representations_media_19847_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/68608_ca_object_representations_media_19847_original.jpg","https://palarchive.org/index.php/Detail/objects/25791/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5xq4hwc/manifest"
"ark:/13030/m5p91qwd","ark:/21198/z1rk0441","","Work","39.0","0039.01.0005|~|25792|~|87230_ca_object_representations_media_19848_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5374","3884","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/95812_ca_object_representations_media_19848_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/87230_ca_object_representations_media_19848_original.jpg","https://palarchive.org/index.php/Detail/objects/25792/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5p91qwd/manifest"
"ark:/13030/m5bk8rdv","ark:/21198/z1rk0441","","Work","39.0","0039.01.0006|~|25793|~|36644_ca_object_representations_media_19849_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5422","3886","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/46107_ca_object_representations_media_19849_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/36644_ca_object_representations_media_19849_original.jpg","https://palarchive.org/index.php/Detail/objects/25793/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5bk8rdv/manifest"
"ark:/13030/m52g51dh","ark:/21198/z1rk0441","","Work","39.0","0039.01.0007|~|25794|~|83820_ca_object_representations_media_19850_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5428","3930","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/2014_ca_object_representations_media_19850_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/83820_ca_object_representations_media_19850_original.jpg","https://palarchive.org/index.php/Detail/objects/25794/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:54:59","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm52g51dh/manifest"
"ark:/13030/m56t80qz","ark:/21198/z1rk0441","","Work","39.0","0039.01.0008|~|25795|~|55916_ca_object_representations_media_19851_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","5431","3901","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/74786_ca_object_representations_media_19851_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/55916_ca_object_representations_media_19851_original.jpg","https://palarchive.org/index.php/Detail/objects/25795/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:55","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm56t80qz/manifest"
"ark:/13030/m5jj105g","ark:/21198/z1rk0441","","Work","39.0","0039.01.0009|~|25796|~|93096_ca_object_representations_media_19852_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","3895","5373","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/61153_ca_object_representations_media_19852_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/93096_ca_object_representations_media_19852_original.jpg","https://palarchive.org/index.php/Detail/objects/25796/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:55","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5jj105g/manifest"
"ark:/13030/m5355zcf","ark:/21198/z1rk0441","","Work","39.0","0039.01.0010|~|25797|~|68162_ca_object_representations_media_19853_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","لا لمصادرة الإراضي جمعية العمل النسوي لا لسياسة مصادرة الاراضي جمعية العمل النسوي من أجل إجراء انتخابات مجالس محلية فورا جمعية العمل النسوي نحو تمثيل النساء في المجالس المحلية جمعية العمل النسوي لنعمل معا من أجل إيصال المرأة الى مراكز صنع القرار|~|No more land confiscation Women's Action Society Land confiscation policy is valid no more Women's Action Society In order to hold local council elections immediately Women's Action Society Towards the representation of women in local councils Women's Action Society To work together to bring women into decision-making positions","image/jpeg","3880","5367","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/59328_ca_object_representations_media_19853_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/68162_ca_object_representations_media_19853_original.jpg","https://palarchive.org/index.php/Detail/objects/25797/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:55","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","لا لمصادرة الإراضي جمعية العمل النسوي لا لسياسة مصادرة الاراضي جمعية العمل النسوي من أجل إجراء انتخابات مجالس محلية فورا جمعية العمل النسوي نحو تمثيل النساء في المجالس المحلية جمعية العمل النسوي لنعمل معا من أجل إيصال المرأة الى مراكز صنع القرار","No more land confiscation Women's Action Society Land confiscation policy is valid no more Women's Action Society In order to hold local council elections immediately Women's Action Society Towards the representation of women in local councils Women's Action Society To work together to bring women into decision-making positions","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5355zcf/manifest"
"ark:/13030/m5909gqs","ark:/21198/z1rk0441","","Work","39.0","0039.01.0011|~|25798|~|36851_ca_object_representations_media_19854_original.jpg","The Palestinian Democratic Union (FIDA) Collection","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album","لقاء نسوي مع عضوات بلدية البيرة وعبوين","Feminist meeting with the members of Al-Bireh and Abwein Municipality","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999|~|صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","Siham Barghouti (Chairwoman of the Palestinian Democratic Union – FIDA), interview with PMDA researcher Lama Ghosheh, January – September 2020, non-transcript, the Palestinian Museum Digital Archive.","color photographs","ara","still image","1999; Date created","1999","","[31.912563,35.221717]","","","image/jpeg","3885","5393","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/58556_ca_object_representations_media_19854_preview.jpg","https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/1/9/8/36851_ca_object_representations_media_19854_original.jpg","https://palarchive.org/index.php/Detail/objects/25798/lang/en_US","The Palestinian Museum ","info@palarchive.org","loan","good; 224","","Palestinian Democratic Union (FIDA) Sub-collection 1: From Siham Barghouti's Photo Album | The Palestinian Democratic Union (FIDA) Collection","2 September 2018 at 10:55","9 March 2021 at 19:25:33","A colour photo taken during the feminist meeting with the members of Al-Bireh and Abwein Municipality; held by the Association of Women’s Action for Training and Rehabilitation (AOWA) in 1999","صورة ملونة من اللقاء النسوي الذي عقده اتحاد العمل النسائي الفلسطيني مع عضوات المجالس البلدية لمدينة البيرة وقرية عبوين قضاء رام الله عام 1999","color photographs","","","","https://iiif.library.ucla.edu/ark%3A%2F13030%2Fm5909gqs/manifest"
