Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1d27h8r,,,Collection,,,,,The Yousef Qutob Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5h20n11,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0001|~|89476|~|33613_ca_object_representations_media_58486_original.jpg,The Yousef Qutob Collection,,حاجز قلنديا اثناء اجتياح رام الله عام 2002,Qalandia checkpoint during the invasion of Ramallah in 2002,A colored photo for Qalandia checkpoint during the invasion of Ramallah in 2002|~|صورة ملونة لحاجز قلنديا أثناء اجتياح رام الله عام 2002.,"Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,6 April 2002,2002-04-06,,"صورة ملونة لحاجز قلنديا أثناء اجتياح رام الله عام 2002. [31.862055,35.227265]",,"حاجز قلنديا اثناء اجتياح رام الله6/4/2002 عدسة يوسف القطب|~|Qalandia checkpoint during the invasion of Ramallah 6/4/2002, taken by Yosuf Qutub.",image/jpeg,1660,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/18162_ca_object_representations_media_58486_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/33613_ca_object_representations_media_58486_original.jpg,https://palarchive.org/index.php/Detail/objects/89476/lang/en_US,The Palestinian Museum ,info@palarchive.org,,صورة ملونة لحاجز قلنديا أثناء اجتياح رام الله عام 2002.,,The Yousef Qutob Collection,13 February 2019 at 12:11:46,23 March 2021 at 8:40:32,A colored photo for Qalandia checkpoint during the invasion of Ramallah in 2002,صورة ملونة لحاجز قلنديا أثناء اجتياح رام الله عام 2002.,color photographs,حاجز قلنديا اثناء اجتياح رام الله6/4/2002 عدسة يوسف القطب,"Qalandia checkpoint during the invasion of Ramallah 6/4/2002, taken by Yosuf Qutub.",
ark:/13030/m5r28mdr,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0002|~|89477|~|22960_ca_object_representations_media_58487_original.jpg,The Yousef Qutob Collection,,سيارات الاسعاف اثناء اجتياح رام الله عام 2002,Ambulances during the invasion of Ramallah in 2002,A colored photo for the ambulances during the invasion of Ramallah in 2002|~|صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.,"صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.; Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,3 April 2002; Date created,2002-04-03,صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.,"صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200. [31.9037641,35.2034184]",,صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.|~|A colored photograph of ambulances during the invasion of Ramallah in 2002.,image/jpeg,1668,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/14394_ca_object_representations_media_58487_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/22960_ca_object_representations_media_58487_original.jpg,https://palarchive.org/index.php/Detail/objects/89477/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:46,23 March 2021 at 8:40:32,A colored photo for the ambulances during the invasion of Ramallah in 2002,صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.,color photographs,صورة ملونة لسيارات الاسعاف اثناء اجتياح رام الله عام 200.,A colored photograph of ambulances during the invasion of Ramallah in 2002.,
ark:/13030/m53r8cvp,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0003|~|89478|~|64307_ca_object_representations_media_58488_original.jpg,The Yousef Qutob Collection,,آليات عسكرية اسرائيلية في رام الله عام 2002,Israeli military vehicles in Ramallah in 2002,A colored photo for Israeli military vehicles invading Ramallah in 2002|~|صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,2 April 2002; Date created,2002-04-02,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002. [31.9037641,35.2034184]",,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.|~|A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,image/jpeg,1668,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/50322_ca_object_representations_media_58488_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/64307_ca_object_representations_media_58488_original.jpg,https://palarchive.org/index.php/Detail/objects/89478/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:47,23 March 2021 at 8:40:32,A colored photo for Israeli military vehicles invading Ramallah in 2002,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,color photographs,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,
ark:/13030/m56478tb,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0004|~|89479|~|49028_ca_object_representations_media_58489_original.jpg,The Yousef Qutob Collection,,ممرضات مستشفى رام الله الحكومي عام 2002,Nurses of the Ramallah Governmental Hospital in 2002,"A colored photo for nurses of the Ramallah Governmental Hospital going to their work in the morning, in 2002|~|صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.","صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.; Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,2 April 2002; Date created,2002-04-02,صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.,"صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002. [31.9037641,35.2034184]",,صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.|~|A colored picture showing the nurses of the Ramallah's Governmental Hospital going to work during the invasion of Ramallah in 2002.,image/jpeg,1560,2208,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/86678_ca_object_representations_media_58489_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/49028_ca_object_representations_media_58489_original.jpg,https://palarchive.org/index.php/Detail/objects/89479/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:47,23 March 2021 at 8:40:32,"A colored photo for nurses of the Ramallah Governmental Hospital going to their work in the morning, in 2002",صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.,color photographs,صورة ملونة تظهر فيها ممرضات مستشفى رام الله الحكومي وهن ذاهبات الى عملهن في المستشفى أثناء اجتياح مدينة رام الله عام 2002.,A colored picture showing the nurses of the Ramallah's Governmental Hospital going to work during the invasion of Ramallah in 2002.,
ark:/13030/m5m97vrx,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0005|~|89480|~|35418_ca_object_representations_media_58490_original.jpg,The Yousef Qutob Collection,,آليات عسكرية اسرائيلية في رام الله عام 2002,Israeli military vehicles in Ramallah in 2002,A colored photo for Israeli military vehicles invading Ramallah in 2002|~|صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,2 April 2002; Date created,2002-04-02,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002. [31.9037641,35.2034184]",,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.|~|A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,image/jpeg,1560,2212,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/76059_ca_object_representations_media_58490_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/35418_ca_object_representations_media_58490_original.jpg,https://palarchive.org/index.php/Detail/objects/89480/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:47,23 March 2021 at 8:40:32,A colored photo for Israeli military vehicles invading Ramallah in 2002,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,color photographs,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,
ark:/13030/m5036bj0,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0006|~|89481|~|99096_ca_object_representations_media_58491_original.jpg,The Yousef Qutob Collection,,آليات عسكرية اسرائيلية في رام الله عام 2002,Israeli military vehicles in Ramallah in 2002,A colour photograph of Israeli military vehicles invading Ramallah in 2002|~|صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,2 April 2002; Date created,2002-04-02,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,"صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002. [31.9037641,35.2034184]",,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.|~|A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,image/jpeg,1672,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/43632_ca_object_representations_media_58491_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/99096_ca_object_representations_media_58491_original.jpg,https://palarchive.org/index.php/Detail/objects/89481/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:47,23 March 2021 at 8:40:32,A colour photograph of Israeli military vehicles invading Ramallah in 2002,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,color photographs,صورة ملونة، تظهر فيها الآليات العسكرية الاسرائيلية أثناء اجتياح مدينة رام الله عام 2002.,A colored picture showing Israeli military vehicles during the invasion of Ramallah in 2002.,
ark:/13030/m58x10cg,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0007|~|89482|~|45258_ca_object_representations_media_58492_original.jpg,The Yousef Qutob Collection,,اطلاق النار على سيارة اسعاف في رام الله,Shooting an ambulance in Ramallah,"A colored photo showing the back of an ambulance that was shot by the Israeli army during the second Palestinian intifada, in 2002 in Ramallah.|~|صورة ملونة تظهر فيها الجهة الخلفية لسيارة اسعاف تم اطلاق النار عليها من قبل جيش الاحتلال الاسرائيلي أثناء الانتفاضة الفلسطينية الثانية عام 2002 في رام الله.","Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,3 April 2002,2002-04-03,,"صورة ملونة تظهر فيها الجهة الخلفية لسيارة اسعاف تم اطلاق النار عليها من قبل جيش الاحتلال الاسرائيلي أثناء الانتفاضة الفلسطينية الثانية عام 2002 في رام الله. [31.9037641,35.2034184]",,"اطلاق النار على سيارات الاسعاف اثنا الاجتياح على رام الله 3/4/2002 عدسة يوسف القطب|~|Ambulance shot during the invasion on Ramallah in 2002, taken by Yosuf Qutub.",image/jpeg,1696,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/55562_ca_object_representations_media_58492_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/45258_ca_object_representations_media_58492_original.jpg,https://palarchive.org/index.php/Detail/objects/89482/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:47,23 March 2021 at 8:40:32,"A colored photo showing the back of an ambulance that was shot by the Israeli army during the second Palestinian intifada, in 2002 in Ramallah.",صورة ملونة تظهر فيها الجهة الخلفية لسيارة اسعاف تم اطلاق النار عليها من قبل جيش الاحتلال الاسرائيلي أثناء الانتفاضة الفلسطينية الثانية عام 2002 في رام الله.,color photographs,اطلاق النار على سيارات الاسعاف اثنا الاجتياح على رام الله 3/4/2002 عدسة يوسف القطب,"Ambulance shot during the invasion on Ramallah in 2002, taken by Yosuf Qutub.",
ark:/13030/m5cp4q1b,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0008|~|89483|~|57660_ca_object_representations_media_58493_original.jpg,The Yousef Qutob Collection,,آليات عسكرية اسرائيلية في رام الله عام 2002,Israeli military vehicles in Ramallah in 2002,"A colored photo showing Israeli military vehicles and an ambulance on a street in Ramallah, during the invasion of Ramallah, in 2002|~|صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.","صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.; Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,2 April 2002; Date created,2002-04-02,صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.,"صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002. [31.9037641,35.2034184]",,صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.|~|A colored photograph showing Israeli military vehicles and an ambulance on a street in Ramallah during the invasion of Ramallah in 2002.,image/jpeg,1692,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/33400_ca_object_representations_media_58493_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/57660_ca_object_representations_media_58493_original.jpg,https://palarchive.org/index.php/Detail/objects/89483/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:48,23 March 2021 at 8:40:32,"A colored photo showing Israeli military vehicles and an ambulance on a street in Ramallah, during the invasion of Ramallah, in 2002",صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.,color photographs,صورة ملونة، تظهر فيها آليات عسكرية اسرائيلية وسيارة اسعاف في احد شوارع مدينة رام الله اثناء اجتياح رام الله عام 2002.,A colored photograph showing Israeli military vehicles and an ambulance on a street in Ramallah during the invasion of Ramallah in 2002.,
ark:/13030/m5gj742f,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0009|~|89484|~|15391_ca_object_representations_media_58494_original.jpg,The Yousef Qutob Collection,,اجتياح وقصف المقاطعة في رام الله عام 2002,"The invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002","A colored photo for the invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002|~|صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.","صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.; Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,4 April 2002; Date created,2002-04-04,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,"صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002. [31.9037641,35.2034184]",,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.|~|A colored picture of Ramallah's district during its invasion and shelling by the Israeli army in 2002,image/jpeg,1656,2340,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/46960_ca_object_representations_media_58494_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/15391_ca_object_representations_media_58494_original.jpg,https://palarchive.org/index.php/Detail/objects/89484/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:48,23 March 2021 at 8:40:32,"A colored photo for the invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002",صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,color photographs,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,A colored picture of Ramallah's district during its invasion and shelling by the Israeli army in 2002,
ark:/13030/m5gf8dkt,ark:/21198/z1d27h8r,,Work,100.0,0100.01.0010|~|89485|~|58739_ca_object_representations_media_58495_original.jpg,The Yousef Qutob Collection,,اجتياح وقصف المقاطعة في رام الله عام 2002,"The invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002","A colored photo for the invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002|~|صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.","صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.; Yousef al-Qutob (Photographer and journalist at the Palestinian News & Information Agency - WAFA), recorded interview with PMDA researcher Samar Ozrail, July 2019, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,4 April 2002; Date created,2002-04-04,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,"صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002. [31.9037641,35.2034184]",,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.|~|A colored picture of Ramallah's district during its invasion and shelling by the Israeli army in 2002,image/jpeg,1560,2157,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/31902_ca_object_representations_media_58495_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/8/4/58739_ca_object_representations_media_58495_original.jpg,https://palarchive.org/index.php/Detail/objects/89485/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Yousef Qutob Collection,13 February 2019 at 12:11:48,23 March 2021 at 8:40:32,"A colored photo for the invasion and bombing of the headquarters ""Al-Muqataa"" in Ramallah in 2002",صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,color photographs,صورة ملونة، للمقاطعة في رام الله أثناء اجتياحها وقصفها من قبل جيش الاحتلال الاسرائيلي عام 2002.,A colored picture of Ramallah's district during its invasion and shelling by the Israeli army in 2002,
