Unnamed: 0,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z1896rj1,,,Collection,,,,,The Amjad Ghannam Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5q8908n,ark:/21198/z1896rj1,,Work,101.0,0101.01.0005|~|87719|~|9018_ca_object_representations_media_68701_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة تل ملية,"Map of Tall Maliyya, Palestine","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,August 1948; Date issued,1948-08,,"[31.252973,34.791462]",,,image/jpeg,5520,4756,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/16353_ca_object_representations_media_68701_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/9018_ca_object_representations_media_68701_original.jpg,https://palarchive.org/index.php/Detail/objects/87719/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:26,9 March 2021 at 11:45:23,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
2,ark:/13030/m5v19r1f,ark:/21198/z1896rj1,,Work,101.0,0101.01.0006|~|87720|~|38682_ca_object_representations_media_68702_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة كفر قرع قضاء حيفا,"Map of Kufr Qare', Palestine","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,October 1932; Date created; August 1948; Date issued,1932/1948,,"[32.505518,35.054251]",,,image/jpeg,5533,4782,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/65631_ca_object_representations_media_68702_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/38682_ca_object_representations_media_68702_original.jpg,https://palarchive.org/index.php/Detail/objects/87720/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:26,9 March 2021 at 11:45:23,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
3,ark:/13030/m5kh87jx,ark:/21198/z1896rj1,,Work,101.0,0101.01.0007|~|87721|~|92027_ca_object_representations_media_68703_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة قرية الجمامة,"Map of al-Jamama, Palestine","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,1939 to 1949; Date created; August 1948; Date issued,1948-08,,"[31.252973,34.791462]",,,image/jpeg,5779,4912,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/17506_ca_object_representations_media_68703_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/92027_ca_object_representations_media_68703_original.jpg,https://palarchive.org/index.php/Detail/objects/87721/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:26,9 March 2021 at 11:45:23,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
4,ark:/13030/m5fr7gvn,ark:/21198/z1896rj1,,Work,101.0,0101.01.0008|~|87722|~|97216_ca_object_representations_media_68704_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة قبلان قضاء نابلس,"Map of Qabalan, Nablus","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,1933; Date created,1933,,"[32.10182,35.287729]",,,image/jpeg,5767,4756,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/90838_ca_object_representations_media_68704_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/97216_ca_object_representations_media_68704_original.jpg,https://palarchive.org/index.php/Detail/objects/87722/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:27,9 March 2021 at 11:45:23,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
5,ark:/13030/m5ds0fpc,ark:/21198/z1896rj1,,Work,101.0,0101.01.0009|~|87723|~|64077_ca_object_representations_media_68705_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة نحلال قضاء حيفا,"Map of Nahlal, Haifa","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s. Nahlal was the first labor settlement in Palestine, founded in the 1920s, and also the first Israeli settlement in Western Marj Ibn Amer|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات. نحلال أُقيم عليها أول مستوطنة عمّاليّة في فلسطين تأسست في العشرينات، وأول مستوطنة عبرية في مرج ابن عامر الغربي.",,maps,eng|~|heb,still image,November 1932; Date created; July 1948; Date issued,1932/1948,,"[32.6221494,35.2368246]",,,image/jpeg,5780,4912,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/59980_ca_object_representations_media_68705_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/64077_ca_object_representations_media_68705_original.jpg,https://palarchive.org/index.php/Detail/objects/87723/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:27,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s. Nahlal was the first labor settlement in Palestine, founded in the 1920s, and also the first Israeli settlement in Western Marj Ibn Amer",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات. نحلال أُقيم عليها أول مستوطنة عمّاليّة في فلسطين تأسست في العشرينات، وأول مستوطنة عبرية في مرج ابن عامر الغربي.,maps,,,
6,ark:/13030/m5b06r4n,ark:/21198/z1896rj1,,Work,101.0,0101.01.0010|~|87724|~|23482_ca_object_representations_media_68706_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة شفا عمرو,"Map of Shafa Amro, Palestine","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,January 1929; Date created; July 1948; Date issued,1929/1948,,"[32.805765,35.169971]",,,image/jpeg,5815,4912,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/38759_ca_object_representations_media_68706_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/23482_ca_object_representations_media_68706_original.jpg,https://palarchive.org/index.php/Detail/objects/87724/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:27,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
7,ark:/13030/m56760fr,ark:/21198/z1896rj1,,Work,101.0,0101.01.0011|~|87725|~|9570_ca_object_representations_media_68707_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة البصّة قضاء عكا,"Map of al-Bassa, Acre","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,1932; Date created; 1945; Date modified; August 1948; Date issued,1932,,"[32.933052,35.082678]",,,image/jpeg,5377,4803,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/83090_ca_object_representations_media_68707_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/9570_ca_object_representations_media_68707_original.jpg,https://palarchive.org/index.php/Detail/objects/87725/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:27,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
8,ark:/13030/m5t22pxn,ark:/21198/z1896rj1,,Work,101.0,0101.01.0012|~|87726|~|72811_ca_object_representations_media_68708_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة سحم الجولان جنوب سوريا,"Map of Sahem El Golan, Syria","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة عسكرية تُظهِر الطرق بأنواعها وقنوات المياه ومكاتب البريد والشرطة والطبيعة الطوبغرافية. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,August 1948; Date issued,1948-08,,"[32.7821025,35.9342721]",,,image/jpeg,5858,4769,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/71423_ca_object_representations_media_68708_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/72811_ca_object_representations_media_68708_original.jpg,https://palarchive.org/index.php/Detail/objects/87726/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:27,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة عسكرية تُظهِر الطرق بأنواعها وقنوات المياه ومكاتب البريد والشرطة والطبيعة الطوبغرافية. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
9,ark:/13030/m52g57q1,ark:/21198/z1896rj1,,Work,101.0,0101.01.0013|~|87727|~|58308_ca_object_representations_media_68709_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة عسكرية لقنابة برمانا في لبنان,"Military Map of Qennabet Broummana, Lebanon","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة عسكرية تُظهِر الطرق بأنواعها وقنوات المياه ومكاتب البريد والشرطة والطبيعة الطوبغرافية. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,July 1942; Date created; September 1948; Date issued,1942/1948,,"[33.0155854,35.784354]",,,image/jpeg,5971,4786,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/75261_ca_object_representations_media_68709_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/58308_ca_object_representations_media_68709_original.jpg,https://palarchive.org/index.php/Detail/objects/87727/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:28,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة عسكرية تُظهِر الطرق بأنواعها وقنوات المياه ومكاتب البريد والشرطة والطبيعة الطوبغرافية. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
10,ark:/13030/m5xt3fn2,ark:/21198/z1896rj1,,Work,101.0,0101.01.0014|~|87728|~|50133_ca_object_representations_media_68710_original.jpg,The Amjad Ghannam Collection,Amjad Ghannam Sub-collection 1: Maps,خارطة غور داميا والشقاق في غور الأردن,"Map of Damia Bridge, Jordan Valley","A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.|~|خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.",,maps,eng|~|heb,still image,1927; Date created; 1944; Date modified,1927/1944,,"[32.2226678,35.2621461]",,,image/jpeg,5408,4596,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/32397_ca_object_representations_media_68710_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/6/8/7/50133_ca_object_representations_media_68710_original.jpg,https://palarchive.org/index.php/Detail/objects/87728/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amjad Ghannam Sub-collection 1: Maps | The Amjad Ghannam Collection,12 February 2019 at 16:50:28,9 March 2021 at 11:44:52,"A map showing borders, roads, sacred places, topographical nature of hills, plains, slopes, natural landscape, and planting types. The map was published during the British Mandate, and was modified by the Maps and Images Service of the Israeli Military Forces in the 1940s.",خارطة تُظهِر الحدود والطرق بأنواعها والأماكن المقدسة والطبيعة الطوبغرافية من تلال وسهول ومنحدرات والتشكيلة الطبيعية للأرض وأنواع المزروعات. نُشرت الخريطة فترة الانتداب البريطاني، تم إضافة تعديلات عليها من قِبَل خدمة الخرائط والصور التابعة للقوات العسكرية الاسرائيلية فترة الأربعينيات.,maps,,,
