Unnamed: 0,Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
0,ark:/21198/z14j60rs,,,Collection,,,,,Intimate Terrains Exhibition Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
1,ark:/13030/m5gj7484,ark:/21198/z14j60rs,,Work,102.0,0102.01.0001|~|86713|~|71509_ca_object_representations_media_59895_original.jpg,Intimate Terrains Exhibition Collection,,زُر فلسطين,Visit Palestine,A screen painting featuring the Israeli Apartheid Wall blocking the Jerusalem scenery.|~|لوحة فنية، يظهر فيها جدار الفصل العنصري حاجباً الرؤية عن القدس. طباعة حرير على ورق.,,paintings,eng|~|ara,still image,2009; Date created,2009.0,,,,"VISIT PALESTINE  ""I agree with you that adding the wall is vandalism, and a rude intervention."" the designer  1/6 Amer Shomali|~|زر فلسطين المصمم: ""أنا أتفق على أن بناء جدار الفصل العنصري هو تعدً على الأرض وتدخلٌ وَقِح"" 1/6عامر شوملي",image/jpeg,8660,5896,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/2514_ca_object_representations_media_59895_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/71509_ca_object_representations_media_59895_original.jpg,https://palarchive.org/index.php/Detail/objects/86713/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:37,9 March 2021 at 11:46:36,A screen painting featuring the Israeli Apartheid Wall blocking the Jerusalem scenery.,لوحة فنية، يظهر فيها جدار الفصل العنصري حاجباً الرؤية عن القدس. طباعة حرير على ورق.,paintings,"VISIT PALESTINE  ""I agree with you that adding the wall is vandalism, and a rude intervention."" the designer  1/6 Amer Shomali","زر فلسطين المصمم: ""أنا أتفق على أن بناء جدار الفصل العنصري هو تعدً على الأرض وتدخلٌ وَقِح"" 1/6عامر شوملي",
9,ark:/13030/m5m97vzm,ark:/21198/z14j60rs,,Work,102.0,0102.01.0009|~|86721|~|13784_ca_object_representations_media_59883_original.psd,Intimate Terrains Exhibition Collection,,بدون عنوان,Untitled,A watercolor painting.|~|لوحة فنية، ألوان مائية على ورق,,paintings,ara,still image,2010; Date created,2010.0,,,,,image/x-psd,8815,12078,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/1901_ca_object_representations_media_59883_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/8/13784_ca_object_representations_media_59883_original.psd,https://palarchive.org/index.php/Detail/objects/86721/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:39,21 November 2020 at 10:54:48,A watercolor painting.,لوحة فنية، ألوان مائية على ورق,paintings,,,
30,ark:/13030/m56x6xbg,ark:/21198/z14j60rs,,Work,102.0,0102.01.0030|~|86742|~|34921_ca_object_representations_media_59953_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 2,Untitled 2,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني طباعة رقمية.",,black-and-white photographs,,still image,2015,2015.0,,,,,image/jpeg,5906,8859,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/57472_ca_object_representations_media_59953_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/34921_ca_object_representations_media_59953_original.jpg,https://palarchive.org/index.php/Detail/objects/86742/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني طباعة رقمية.",black-and-white photographs,,,
31,ark:/13030/m5sv5933,ark:/21198/z14j60rs,,Work,102.0,0102.01.0031|~|86743|~|27203_ca_object_representations_media_59955_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 12,Untitled 12,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,5906,8859,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/51481_ca_object_representations_media_59955_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/27203_ca_object_representations_media_59955_original.jpg,https://palarchive.org/index.php/Detail/objects/86743/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
32,ark:/13030/m5j46cvr,ark:/21198/z14j60rs,,Work,102.0,0102.01.0032|~|86744|~|58402_ca_object_representations_media_59954_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 20,Untitled 20,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,5906,8858,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/2064_ca_object_representations_media_59954_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/58402_ca_object_representations_media_59954_original.jpg,https://palarchive.org/index.php/Detail/objects/86744/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:44,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
33,ark:/13030/m5bk8zpx,ark:/21198/z14j60rs,,Work,102.0,0102.01.0033|~|86745|~|46073_ca_object_representations_media_59956_original.jpg,Intimate Terrains Exhibition Collection,,بلا عنوان 22,Untitled 22,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.|~|صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",,black-and-white photographs,,still image,2015; Date created,2015.0,,,,,image/jpeg,5906,8858,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/57495_ca_object_representations_media_59956_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/46073_ca_object_representations_media_59956_original.jpg,https://palarchive.org/index.php/Detail/objects/86745/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:45,9 March 2021 at 11:46:34,"Painted in 2015 by Artist Rula Hilwani, this black-and-white digital painting is from ""For my Father"" collection.","صورة غير ملونة، من سلسلة ""من أجل أبي"" من أعمال الفنانة رولا حلواني. طباعة رقمية.",black-and-white photographs,,,
42,ark:/13030/m52594g2,ark:/21198/z14j60rs,,Work,102.0,0102.01.0042|~|86754|~|7775_ca_object_representations_media_59958_original.jpg,Intimate Terrains Exhibition Collection,,القدس من جبل المشارف,Jerusalem from Mount Scopus,Backlit film printing|~|طباعة على فيلم، وصندوق مضيء.,,color photographs,,still image,2017; Date created,2017.0,,,,,image/jpeg,4000,6000,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/24814_ca_object_representations_media_59958_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/7775_ca_object_representations_media_59958_original.jpg,https://palarchive.org/index.php/Detail/objects/86754/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:47,9 March 2021 at 11:46:33,Backlit film printing,طباعة على فيلم، وصندوق مضيء.,color photographs,,,
43,ark:/13030/m54z2v28,ark:/21198/z14j60rs,,Work,102.0,0102.01.0043|~|86755|~|98749_ca_object_representations_media_59959_original.jpg,Intimate Terrains Exhibition Collection,,مرج ابن عامر (#9),Marj Ibn Amer (#9),Acrylic fabric painting.|~|أكريليك على قماش.,,negatives (photographic),,still image,2015; Date created,2015.0,,,,"رأفت أسعد 2015 تم إضافة التوقيع في فترة لاحقة من رسم اللوحة، لذلك التوقيع موجود على اللوحة الموجودة بالمتحف، بينما على الصورة غير موجود.|~|Rafat Asad 2015 The signature was added a while after the painting was painted, thus, the original painting is signature-free, but the one with the signature is at the Museum.",image/jpeg,1563,1772,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/85597_ca_object_representations_media_59959_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/98749_ca_object_representations_media_59959_original.jpg,https://palarchive.org/index.php/Detail/objects/86755/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:47,9 March 2021 at 11:46:33,Acrylic fabric painting.,أكريليك على قماش.,negatives (photographic),رأفت أسعد 2015 تم إضافة التوقيع في فترة لاحقة من رسم اللوحة، لذلك التوقيع موجود على اللوحة الموجودة بالمتحف، بينما على الصورة غير موجود.,"Rafat Asad 2015 The signature was added a while after the painting was painted, thus, the original painting is signature-free, but the one with the signature is at the Museum.",Marj Ibn Amer Series  | Marj Ibn Amer Series
44,ark:/13030/m5m40g1k,ark:/21198/z14j60rs,,Work,102.0,0102.01.0044|~|86756|~|73790_ca_object_representations_media_59960_original.jpg,Intimate Terrains Exhibition Collection,,حجر القدس,Jerusalem Stone,Oil painting on fabric.|~|زيت على قماش.,,paintings,,still image,2018; Date created,2018.0,,,,,image/jpeg,1011,7460,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/20290_ca_object_representations_media_59960_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/73790_ca_object_representations_media_59960_original.jpg,https://palarchive.org/index.php/Detail/objects/86756/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,good; 224,,Intimate Terrains Exhibition Collection,5 February 2019 at 11:18:47,9 March 2021 at 11:46:33,Oil painting on fabric.,زيت على قماش.,paintings,,,
