Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z10s57z5,,,Collection,,,,,El-Funoun Palestinian Popular Dance Troupe Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5ns8f7r,ark:/21198/z10s57z5,,Work,103.0,0103.01.0001|~|91619|~|59024_ca_object_representations_media_59589_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,تدريب عام على الدبكة في كلية التمريض في البيرة,General training on Dabkeh at the College of Nursing in Al-Bireh,Girls of the Faculty of Nursing in Al-Bireh: Maher Sherif Al-Salwadi and Sandra Bahour. The training was in college in 1980. It was a general training of Dabkeh.|~|فرقة بنات كلية التمريض في البيرة: وفي الصورة ماهر شريف السلوادي وساندرا بحور. وكان التدريب في الكلية. هذه في 1980. كان تدريب عام ع الدبكة.,"Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1980; Date created,1980,,"[50.699582,-3.0941679]",,,image/jpeg,2645,3319,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/8112_ca_object_representations_media_59589_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/59024_ca_object_representations_media_59589_original.jpg,https://palarchive.org/index.php/Detail/objects/91619/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:22,9 March 2021 at 11:42:03,Girls of the Faculty of Nursing in Al-Bireh: Maher Sherif Al-Salwadi and Sandra Bahour. The training was in college in 1980. It was a general training of Dabkeh.,فرقة بنات كلية التمريض في البيرة: وفي الصورة ماهر شريف السلوادي وساندرا بحور. وكان التدريب في الكلية. هذه في 1980. كان تدريب عام ع الدبكة.,color photographs,,,
ark:/13030/m5j17pgw,ark:/21198/z10s57z5,,Work,103.0,0103.01.0002|~|102943|~|26234_ca_object_representations_media_59590_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,تدريب عام على الدبكة في كلية التمريض في البيرة,General training on Dabkeh at the College of Nursing in Al-Bireh,Girls of the Faculty of Nursing in Al-Bireh: Maher Sherif Al-Salwadi and Sandra Bahour. The training was in college in 1980. It was a general training of Dabkeh.|~|فرقة بنات كلية التمريض في البيرة: وفي الصورة ماهر شريف السلوادي وساندرا بحور. وكان التدريب في الكلية. هذه في 1980. كان تدريب عام ع الدبكة.,"Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1980; Date created,1980,,"[50.699582,-3.0941679]",,,image/jpeg,2669,3345,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/39388_ca_object_representations_media_59590_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/26234_ca_object_representations_media_59590_original.jpg,https://palarchive.org/index.php/Detail/objects/102943/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,13 March 2019 at 13:21:33,9 March 2021 at 11:37:53,Girls of the Faculty of Nursing in Al-Bireh: Maher Sherif Al-Salwadi and Sandra Bahour. The training was in college in 1980. It was a general training of Dabkeh.,فرقة بنات كلية التمريض في البيرة: وفي الصورة ماهر شريف السلوادي وساندرا بحور. وكان التدريب في الكلية. هذه في 1980. كان تدريب عام ع الدبكة.,color photographs,,,
ark:/13030/m5d86xqq,ark:/21198/z10s57z5,,Work,103.0,0103.01.0003|~|91621|~|10538_ca_object_representations_media_59591_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,فرقة الفنون الشعبية في مسابقة الدبكة الشعبية في جامعة بيت لحم,El-Funoun Palestinian Popular Dance Troupe in the popular Dabkeh Competition at the University of Bethlehem,Maher Sharif Al-Salwadi at the University of Bethlehem in the popular Dabkeh Competition in 1981. The Student Council organized the competition systems. The folk arts group won the compitition. .|~|ماهر شريف السلوادي في جامعة ببيت لحم في مسابقة الدبكة الشعبية عام 1981 وكان مجلس الطلبة هو من نظم المسابقة. وفازت فيها فرقة الفنون الشعبية.,"Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1981; Date created,1981,,"[31.7053821,35.2024425]",,,image/jpeg,2869,3978,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/52938_ca_object_representations_media_59591_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/10538_ca_object_representations_media_59591_original.jpg,https://palarchive.org/index.php/Detail/objects/91621/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,Maher Sharif Al-Salwadi at the University of Bethlehem in the popular Dabkeh Competition in 1981. The Student Council organized the competition systems. The folk arts group won the compitition. .,ماهر شريف السلوادي في جامعة ببيت لحم في مسابقة الدبكة الشعبية عام 1981 وكان مجلس الطلبة هو من نظم المسابقة. وفازت فيها فرقة الفنون الشعبية.,color photographs,,,
ark:/13030/m54r5f7m,ark:/21198/z10s57z5,,Work,103.0,0103.01.0004|~|91622|~|76856_ca_object_representations_media_59593_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,فرقة الفنون الشعبية في كلية التمريض في البيرة.,El-Funoun Palestinian Popular Dance Troupe at the College of Nursing in Al - Bireh.,"Youth of the Arts group and Girls of the Faculty of Nursing in 1981, and they are: Sandra Bahour, Maher Al-Salwadi, Wasef Muta, Mowafaq Askar, Khaled Alian, Mohammed Atta Abu Atta. And the young man is Abu Ayyad|~|شباب فرقة الفنون وبنات كلية التمريض في عام 1981 والموجودين هم: ساندرا بحور، ماهر السلوادي، واصف مطيع، موفق عسكر، خالد عليان، محمد عطا أبو عطا. والشبيب أبو عياد","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1981; Date created,1981,,"[31.912563,35.221717]",,,image/jpeg,2861,3968,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/96218_ca_object_representations_media_59593_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/76856_ca_object_representations_media_59593_original.jpg,https://palarchive.org/index.php/Detail/objects/91622/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,"Youth of the Arts group and Girls of the Faculty of Nursing in 1981, and they are: Sandra Bahour, Maher Al-Salwadi, Wasef Muta, Mowafaq Askar, Khaled Alian, Mohammed Atta Abu Atta. And the young man is Abu Ayyad",شباب فرقة الفنون وبنات كلية التمريض في عام 1981 والموجودين هم: ساندرا بحور، ماهر السلوادي، واصف مطيع، موفق عسكر، خالد عليان، محمد عطا أبو عطا. والشبيب أبو عياد,color photographs,,,
ark:/13030/m58h660s,ark:/21198/z10s57z5,,Work,103.0,0103.01.0005|~|91623|~|94075_ca_object_representations_media_59594_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,مشاركة فرقة الفنون الشعبية في مسابقة الدبكة في جامعة بيرزيت,Participation of el-Funoun Palestinian Popular Dance Troupe in the Dabkeh competition at Birzeit University,"In the old campus of Birzeit University, the popular Dabkeh Competition was held by the Office of Student Affairs in 1984 and el-Funoun Palestinian Popular Dance Troupe won it. This was the first artistic performance of the band under the title of “Folkloric Scenes”. In the picture we see Sandra Bahour, Maher Al-Salwadi, Waseem Al-Kurdi, Tariq Zarif, Mohammad Atta.|~|في الحرم القديم لجامعة بيرزيت مسابقة الدبكة الشعبية وكان قائما عليها مكتب شؤون الطلبة في 1984 وفازت فرقة الفنون في حينها. وكانت هذه أول عرض فني للفرقة تحت عنوان لوحات فلكلورية تظهر في الصورة ساندرا بحور، ماهر السلوادي، وسيم الكردي، طارق ظريف، محمد عطا.","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1984; Date created,1984,,"[31.975314,35.196042]",,,image/jpeg,2855,4094,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/93233_ca_object_representations_media_59594_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/94075_ca_object_representations_media_59594_original.jpg,https://palarchive.org/index.php/Detail/objects/91623/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,"In the old campus of Birzeit University, the popular Dabkeh Competition was held by the Office of Student Affairs in 1984 and el-Funoun Palestinian Popular Dance Troupe won it. This was the first artistic performance of the band under the title of “Folkloric Scenes”. In the picture we see Sandra Bahour, Maher Al-Salwadi, Waseem Al-Kurdi, Tariq Zarif, Mohammad Atta.",في الحرم القديم لجامعة بيرزيت مسابقة الدبكة الشعبية وكان قائما عليها مكتب شؤون الطلبة في 1984 وفازت فرقة الفنون في حينها. وكانت هذه أول عرض فني للفرقة تحت عنوان لوحات فلكلورية تظهر في الصورة ساندرا بحور، ماهر السلوادي، وسيم الكردي، طارق ظريف، محمد عطا.,color photographs,,,
ark:/13030/m5104pk3,ark:/21198/z10s57z5,,Work,103.0,0103.01.0006|~|103962|~|65427_ca_object_representations_media_59595_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,مشاركة فرقة الفنون الشعبية في مسابقة الدبكة في جامعة بيرزيت,Participation of el-Funoun Palestinian Popular Dance Troupe in the Dabkeh competition at Birzeit University,"In the old campus of Birzeit University, the popular Dabkeh Competition was held by the Office of Student Affairs in 1984 and the Folk Arts band won it. This was the first artistic performance of the band under the title of “Folkloric Scenes”. In the picture we see Sandra Bahour, Maher Al-Salwadi, Waseem Al-Kurdi, Tariq Zarif, Mohammad Atta.|~|في الحرم القديم لجامعة بيرزيت مسابقة الدبكة الشعبية وكان قائما عليها مكتب شؤون الطلبة في 1984 وفازت فرقة الفنون في حينها. وكانت هذه أول عرض فني للفرقة تحت عنوان لوحات فلكلورية تظهر في الصورة ساندرا بحور، ماهر السلوادي، وسيم الكردي، طارق ظريف، محمد عطا.","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1984; Date created,1984,,"[31.975314,35.196042]",,,image/jpeg,2863,4048,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/75499_ca_object_representations_media_59595_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/65427_ca_object_representations_media_59595_original.jpg,https://palarchive.org/index.php/Detail/objects/103962/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,14 March 2019 at 9:55:09,9 March 2021 at 11:37:47,"In the old campus of Birzeit University, the popular Dabkeh Competition was held by the Office of Student Affairs in 1984 and the Folk Arts band won it. This was the first artistic performance of the band under the title of “Folkloric Scenes”. In the picture we see Sandra Bahour, Maher Al-Salwadi, Waseem Al-Kurdi, Tariq Zarif, Mohammad Atta.",في الحرم القديم لجامعة بيرزيت مسابقة الدبكة الشعبية وكان قائما عليها مكتب شؤون الطلبة في 1984 وفازت فرقة الفنون في حينها. وكانت هذه أول عرض فني للفرقة تحت عنوان لوحات فلكلورية تظهر في الصورة ساندرا بحور، ماهر السلوادي، وسيم الكردي، طارق ظريف، محمد عطا.,color photographs,,,
ark:/13030/m5wb2wgp,ark:/21198/z10s57z5,,Work,103.0,0103.01.0007|~|91625|~|79546_ca_object_representations_media_59596_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,"فرقة الفنون الشعبية في جامعة بيرزيت عرض"" مرج ابن عامر""","El-Funoun Palestinian Popular Dance Troupe at Birzeit University presents ""Marj Ibn Amer""","An artistic work for the band under the title of Marj Ibn Amer in the theater of Birzeit University in 1990, the picture shows Khaled Qatamesh, Samer Zidan, Rami Shasha, Moataz Mezine, Jamal Haddad, Mohammed Yacoub, Lama Odeh, Mohammed Abu Shusha.|~|عمل فني للفرقة تحت عنوان مرج ابن عامر في مسرح بيرزيت في الجامعة سنة 1990 ويظهر في الصورة خالد قطامش، سامر زيدان، رامي وشحة، معتز مزين، جمال حداد، محمد يعقوب، لمى عودة، محمد أبو شوشة.","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1990; Date created,1990,,"[31.975314,35.196042]",,,image/jpeg,2858,4064,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/20030_ca_object_representations_media_59596_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/79546_ca_object_representations_media_59596_original.jpg,https://palarchive.org/index.php/Detail/objects/91625/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,"An artistic work for the band under the title of Marj Ibn Amer in the theater of Birzeit University in 1990, the picture shows Khaled Qatamesh, Samer Zidan, Rami Shasha, Moataz Mezine, Jamal Haddad, Mohammed Yacoub, Lama Odeh, Mohammed Abu Shusha.",عمل فني للفرقة تحت عنوان مرج ابن عامر في مسرح بيرزيت في الجامعة سنة 1990 ويظهر في الصورة خالد قطامش، سامر زيدان، رامي وشحة، معتز مزين، جمال حداد، محمد يعقوب، لمى عودة، محمد أبو شوشة.,color photographs,,,
ark:/13030/m5h20n85,ark:/21198/z10s57z5,,Work,103.0,0103.01.0008|~|91626|~|98765_ca_object_representations_media_59597_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,فرقة الفنون الشعبية في كلية التمريض في البيرة,El-Funoun Palestinian Popular Dance Troupe at the College of Nursing in Al - Bireh,"Youth of the Arts and Girls of the Faculty of Nursing in 1981 and shows in the picture the player Shabab Abu Ayyad, Sandra Bahor and Maher Al-Suwadi, Wasef Mutea and Muwafaq Askar, Khaled Alayan and Mohammed Atta.|~|شباب فرقة الفنون وبنات كلية التمريض في العام 1981 ويظهر في الصورة عازف الشبابة أبو عيّاد وساندرا بحور وماهر السلوادي وواصف مطيع وموفق عسكر وخالد عليان ومحمد عطا.","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1981; Date created,1981,,"[50.699582,-3.0941679]",,,image/jpeg,2863,3969,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/10046_ca_object_representations_media_59597_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/98765_ca_object_representations_media_59597_original.jpg,https://palarchive.org/index.php/Detail/objects/91626/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,"Youth of the Arts and Girls of the Faculty of Nursing in 1981 and shows in the picture the player Shabab Abu Ayyad, Sandra Bahor and Maher Al-Suwadi, Wasef Mutea and Muwafaq Askar, Khaled Alayan and Mohammed Atta.",شباب فرقة الفنون وبنات كلية التمريض في العام 1981 ويظهر في الصورة عازف الشبابة أبو عيّاد وساندرا بحور وماهر السلوادي وواصف مطيع وموفق عسكر وخالد عليان ومحمد عطا.,color photographs,,,
ark:/13030/m5mt1d11,ark:/21198/z10s57z5,,Work,103.0,0103.01.0009|~|91627|~|61734_ca_object_representations_media_59598_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,"فرقة الفنون الشعبية في مهرجان فلسطين الدولي في جامعة بيرزيت عرض ""زغاريد""","Folk Arts band at the Palestine International Festival at Birzeit University ""Zogared""",The Folklore Arts Band presented a show at the Palestine International Festival in the old campus of the University in 1997.|~|فرقة الفنون الشعبية تقدم عرض زغاريد ضمن مهرجان فلسطين الدولي في الحرم القديم للجامعة عام 1997.,"Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1997; Date issued,1997,,"[31.975314,35.196042]",,,image/jpeg,4105,2884,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/37016_ca_object_representations_media_59598_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/61734_ca_object_representations_media_59598_original.jpg,https://palarchive.org/index.php/Detail/objects/91627/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:23,9 March 2021 at 11:42:03,The Folklore Arts Band presented a show at the Palestine International Festival in the old campus of the University in 1997.,فرقة الفنون الشعبية تقدم عرض زغاريد ضمن مهرجان فلسطين الدولي في الحرم القديم للجامعة عام 1997.,color photographs,,,
ark:/13030/m5c89wjw,ark:/21198/z10s57z5,,Work,103.0,0103.01.0010|~|91628|~|73538_ca_object_representations_media_59599_original.jpg,El-Funoun Palestinian Popular Dance Troupe Collection,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs,لمحة من جولة فرقة الفنون الشعبية في الولايات المتحدة,A Glimpse of el-Funoun Palestinian Popular Dance Troupe's US Tour,"Art Tour in America - Chicago, Artworks Meshaaland Dabke Arts in 1986. The Lebanese flag is shown in the picture because the invitation came from the Lebanese community. In the photo from left: Waseef Mutea, mayor of Chicago, Suha Barghouthi, Makram Kurdi, Abeer Awad, Ali Awad, Ali Abed, Monif Shabana, Khaled Qatamesh, Mohammed Yacoub.|~|جولة الفنون في أمريكا- شيكاغو العمل الفني مشعل ولوحات فنية دبكة عام 1986. ويظهر في الصورة العلم اللبناني لأن الدعوة أتت من الجالية اللبنانية. ويظهر في الصورة من اليسار: واصف مطيع، إيمان خلف، رئيس بلدية شيكاغو، سهى برغوثي، مكرم كردي، عبير عواد، علي عواد، علي عابد، منيف شبانة، خالد قطامش، محمد يعقوب.","Asad, Hamza, ""The El-Funoun Palestinian Popular Dance Troupe Collection,"" archival collection, May - August 2018, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1986; Date created,1986,,"[37.09024,-95.712891]",,,image/jpeg,2863,4164,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/15526_ca_object_representations_media_59599_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/5/73538_ca_object_representations_media_59599_original.jpg,https://palarchive.org/index.php/Detail/objects/91628/lang/en_US,The Palestinian Museum ,info@palarchive.org,,good; 224,,El-Funoun Palestinian Popular Dance Troupe Sub-collection 1: Photographs | El-Funoun Palestinian Popular Dance Troupe Collection,18 February 2019 at 15:25:24,9 March 2021 at 11:42:03,"Art Tour in America - Chicago, Artworks Meshaaland Dabke Arts in 1986. The Lebanese flag is shown in the picture because the invitation came from the Lebanese community. In the photo from left: Waseef Mutea, mayor of Chicago, Suha Barghouthi, Makram Kurdi, Abeer Awad, Ali Awad, Ali Abed, Monif Shabana, Khaled Qatamesh, Mohammed Yacoub.",جولة الفنون في أمريكا- شيكاغو العمل الفني مشعل ولوحات فنية دبكة عام 1986. ويظهر في الصورة العلم اللبناني لأن الدعوة أتت من الجالية اللبنانية. ويظهر في الصورة من اليسار: واصف مطيع، إيمان خلف، رئيس بلدية شيكاغو، سهى برغوثي، مكرم كردي، عبير عواد، علي عواد، علي عابد، منيف شبانة، خالد قطامش، محمد يعقوب.,color photographs,,,
