Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1fv45p3,,,Collection,,,,,The Rula Alami Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5t22r5m,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0001|~|114498|~|8136_ca_object_representations_media_73851_original.jpg,The Rula Alami Collection,,طوابع بريدية استخدمت في فلسطين في فترة الانتداب البريطاني,Postage stamps used in Palestine during the British Mandate,"Postage stamps used in Palestine during the British Mandate showing a drawing of a patient at St. George's Hospital in Jerusalem. Another collection shows a drawing of the Dome of the Rock under which ""Palestine for the Arabs"" is written, and another collection produced by the Islamic Orphanage|~|طوابع بريدية استخدمت في فلسطين في فترة الانتداب البريطاني تحوي تحوي رسماً لمريض في مستشفى سان جورج في القدس، ومجموعة أخرى تحوي رسماً لقبة الصخرة كتب أسفله ""فلسطين للعرب""، وأخرى أنتجتها إعانة دار الأيتام الإسلامية.",,,,still image,1920 to 1948,1920/1948,,,,,image/jpeg,6039,4850,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/54566_ca_object_representations_media_73851_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/8136_ca_object_representations_media_73851_original.jpg,https://palarchive.org/index.php/Detail/objects/114498/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Rula Alami Collection,14 April 2019 at 10:49:22,9 March 2021 at 11:31:47,"Postage stamps used in Palestine during the British Mandate showing a drawing of a patient at St. George's Hospital in Jerusalem. Another collection shows a drawing of the Dome of the Rock under which ""Palestine for the Arabs"" is written, and another collection produced by the Islamic Orphanage","طوابع بريدية استخدمت في فلسطين في فترة الانتداب البريطاني تحوي تحوي رسماً لمريض في مستشفى سان جورج في القدس، ومجموعة أخرى تحوي رسماً لقبة الصخرة كتب أسفله ""فلسطين للعرب""، وأخرى أنتجتها إعانة دار الأيتام الإسلامية.",,,,
ark:/13030/m5938fpk,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0002|~|114499|~|82164_ca_object_representations_media_73855_original.jpg,The Rula Alami Collection,,بطاقة بريدية ملونة تحوي يظهر عليها فن كولاج,A colour postcard showing the art of Collage,,,,,still image,2014,2014,,,,,image/jpeg,3197,4161,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/51352_ca_object_representations_media_73855_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/82164_ca_object_representations_media_73855_original.jpg,https://palarchive.org/index.php/Detail/objects/114499/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Rula Alami Collection,14 April 2019 at 10:49:23,9 March 2021 at 11:31:47,,,,,,
ark:/13030/m5xt3gx2,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0003|~|114500|~|20924_ca_object_representations_media_73857_original.jpg,The Rula Alami Collection,,علبة سيجار كوبي استخدمت في فترة الانتداب البريطاني,A Cuban cigar box used during the British Mandate,,,,,still image,1920 to 1948,1920/1948,,,,,image/jpeg,2230,3036,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/748_ca_object_representations_media_73857_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/20924_ca_object_representations_media_73857_original.jpg,https://palarchive.org/index.php/Detail/objects/114500/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Rula Alami Collection,14 April 2019 at 10:49:23,9 March 2021 at 11:31:47,,,,,,
ark:/13030/m5p920dt,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0004|~|114501|~|55769_ca_object_representations_media_73858_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1967,1868,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/71614_ca_object_representations_media_73858_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/55769_ca_object_representations_media_73858_original.jpg,https://palarchive.org/index.php/Detail/objects/114501/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:23,9 March 2021 at 11:31:47,,,,,,
ark:/13030/m5ds0gzc,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0005|~|114502|~|97635_ca_object_representations_media_73859_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1478,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/23651_ca_object_representations_media_73859_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/97635_ca_object_representations_media_73859_original.jpg,https://palarchive.org/index.php/Detail/objects/114502/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:23,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m51k6z7j,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0006|~|114503|~|41136_ca_object_representations_media_73860_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1714,1425,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/83201_ca_object_representations_media_73860_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/41136_ca_object_representations_media_73860_original.jpg,https://palarchive.org/index.php/Detail/objects/114503/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:23,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5jj17nn,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0007|~|114504|~|77673_ca_object_representations_media_73861_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1736,1479,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/76725_ca_object_representations_media_73861_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/77673_ca_object_representations_media_73861_original.jpg,https://palarchive.org/index.php/Detail/objects/114504/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5n94z7m,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0008|~|114505|~|98738_ca_object_representations_media_73862_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1478,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/31546_ca_object_representations_media_73862_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/98738_ca_object_representations_media_73862_original.jpg,https://palarchive.org/index.php/Detail/objects/114505/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5s25pzx,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0009|~|114506|~|59196_ca_object_representations_media_73863_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1478,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/74708_ca_object_representations_media_73863_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/59196_ca_object_representations_media_73863_original.jpg,https://palarchive.org/index.php/Detail/objects/114506/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m55b7q0q,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0010|~|114507|~|80278_ca_object_representations_media_73864_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1478,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/70561_ca_object_representations_media_73864_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/80278_ca_object_representations_media_73864_original.jpg,https://palarchive.org/index.php/Detail/objects/114507/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5wt6fqs,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0011|~|114508|~|32192_ca_object_representations_media_73865_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1478,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/8474_ca_object_representations_media_73865_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/32192_ca_object_representations_media_73865_original.jpg,https://palarchive.org/index.php/Detail/objects/114508/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5hj46h8,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0012|~|114509|~|46562_ca_object_representations_media_73866_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,2146,1721,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/69018_ca_object_representations_media_73866_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/46562_ca_object_representations_media_73866_original.jpg,https://palarchive.org/index.php/Detail/objects/114509/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
ark:/13030/m5cw257q,ark:/21198/z1fv45p3,,Work,116.0,0116.01.0013|~|114510|~|20873_ca_object_representations_media_73867_original.jpg,The Rula Alami Collection,,طابع بريدي استخدم في فلسطين في فترة الانتداب البريطاني,A postage stamp used in Palestine during the British Mandate,,,,heb|~|eng|~|ara,still image,1920 to 1948,1920/1948,,"[33.854721,35.862285]",,,image/jpeg,1735,1446,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/63925_ca_object_representations_media_73867_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/3/8/20873_ca_object_representations_media_73867_original.jpg,https://palarchive.org/index.php/Detail/objects/114510/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Rula Alami Collection,14 April 2019 at 10:49:24,9 March 2021 at 11:31:46,,,,,,
