Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z12k1xfr,,,Collection,,,,,The Nazmy Khader Isa Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m55509c9,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0001|~|116055|~|28457_ca_object_representations_media_74187_original.jpg,The Nazmy Khader Isa Collection,,صورة لامرأة من عائلة المشني,Portrait of a Woman from al-Mashni Family,A portrait of a woman from al-Mashni family.|~|صورة شخصية لامرأة من عائلة المشني,,,,still image,,,امرأة، زي تقليدي، زي فلاحي، تطريز فلسطيني، شال، عيسى,,,,image/jpeg,2851,1922,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/58264_ca_object_representations_media_74187_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/28457_ca_object_representations_media_74187_original.jpg,https://palarchive.org/index.php/Detail/objects/116055/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:18,9 March 2021 at 11:30:50,A portrait of a woman from al-Mashni family.,صورة شخصية لامرأة من عائلة المشني,,,,
ark:/13030/m51c9jn1,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0002|~|116056|~|28169_ca_object_representations_media_74188_original.jpg,The Nazmy Khader Isa Collection,,صورة شخصية لكامل عبد العال,Portrait of Kamil ʿabdel-ʿal,A portrait of Kamil ʿabdel-ʿal.|~|كامل عبد العال,,,,still image,,,شاب، رجل، بدلة، ربطة عنق، عيسى,,,,image/jpeg,2554,1746,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/22292_ca_object_representations_media_74188_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/28169_ca_object_representations_media_74188_original.jpg,https://palarchive.org/index.php/Detail/objects/116056/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:18,9 March 2021 at 11:30:50,A portrait of Kamil ʿabdel-ʿal.,كامل عبد العال,,,,
ark:/13030/m5b06sp7,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0003|~|116057|~|92860_ca_object_representations_media_74190_original.jpg,The Nazmy Khader Isa Collection,,افراد من عائلة المشني من شعفاط,Members of al-Mashni Family from Shu'afat,"Taken in 1947, this black-and-white photograph features members of al-Mashni family from Shu'afat, including, Yaʿqub al-Mashni, Sabha al-Khalil, Fatima Yaʿqub, Saʿdah, and Saʿid Saleh al-Mashni.|~|لقطة لأفراد من عائلة المشني وهم: يعقوب المشني، صبحة الخليل، فاطمة يعقوب، سعدة، سعيد صالح المشني، وهم من شعفاط",,,,still image,1947.0,1947.0,عائلة، رجال، نساء، طفل، زي تقليدي، زي فلاحي، تطريز فلسطيني، شال، دماية، جزام، عيسى,,,,image/jpeg,5740,4287,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/71700_ca_object_representations_media_74190_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/92860_ca_object_representations_media_74190_original.jpg,https://palarchive.org/index.php/Detail/objects/116057/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:19,9 March 2021 at 11:30:50,"Taken in 1947, this black-and-white photograph features members of al-Mashni family from Shu'afat, including, Yaʿqub al-Mashni, Sabha al-Khalil, Fatima Yaʿqub, Saʿdah, and Saʿid Saleh al-Mashni.",لقطة لأفراد من عائلة المشني وهم: يعقوب المشني، صبحة الخليل، فاطمة يعقوب، سعدة، سعيد صالح المشني، وهم من شعفاط,,,,
ark:/13030/m5wq7rh5,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0004|~|116058|~|73796_ca_object_representations_media_74192_original.jpg,The Nazmy Khader Isa Collection,,خضر صالح عبد العال,Ṣaleh ʿabdel-ʿal,A portrait of Ṣaleh ʿabdel-ʿal.|~|صورة شخصية لخضر صالح عبد العال.,,,,still image,1962.0,1962.0,رجل، حطة، عقال، عيسى,,,,image/jpeg,3240,2321,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/85492_ca_object_representations_media_74192_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/73796_ca_object_representations_media_74192_original.jpg,https://palarchive.org/index.php/Detail/objects/116058/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:19,22 September 2022 at 15:04:22,A portrait of Ṣaleh ʿabdel-ʿal.,صورة شخصية لخضر صالح عبد العال.,,,,
ark:/13030/m5gr4kfp,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0007|~|116061|~|26187_ca_object_representations_media_74196_original.jpg,The Nazmy Khader Isa Collection,,خضر صالح عبد العال ومحمد علي عبد الجواد في زيهما العسكري,Khader Ṣaleh ʿabdel-ʿal and Mohammad ʿali ʿabdel-Jawad in a Military Uniform,Khader Ṣaleh ʿabdel-ʿal and Mohammad ʿali ʿabdel-Jawad in a military uniform during their service with the National Guards which was founded by Kind Hussein.|~|خضر صالح عبد العال ومحمد علي عبد الجواد في زيهما العسكري أثناء خدمتهما في الحرس الوطني الذي شكله الملك حسين,,,,still image,1960.0,1960.0,زي عسكري، زي موحد، الأردن، حطة، عقال، رجال، عيسى,,,,image/jpeg,3005,4079,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/74282_ca_object_representations_media_74196_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/26187_ca_object_representations_media_74196_original.jpg,https://palarchive.org/index.php/Detail/objects/116061/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:20,9 March 2021 at 11:30:50,Khader Ṣaleh ʿabdel-ʿal and Mohammad ʿali ʿabdel-Jawad in a military uniform during their service with the National Guards which was founded by Kind Hussein.,خضر صالح عبد العال ومحمد علي عبد الجواد في زيهما العسكري أثناء خدمتهما في الحرس الوطني الذي شكله الملك حسين,,,,
ark:/13030/m5rz70w5,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0009|~|116063|~|72878_ca_object_representations_media_74199_original.jpg,The Nazmy Khader Isa Collection,,أفراد من عائلة خضر عبد العال,Khader ʿabdel-ʿal's Family,"Taken in 1960, this black-and-white photograph features Khader ʿabdel-ʿal's family, including Khader Ṣaleh ʿabdel-ʿal, Mariam Ṣaleh ʿali al-Mashni, Fariza Khader, Ratibeh Khader, Naẓmeye, Naʿiemeh, and Naẓmi ʿabdel-ʿal. |~|أفراد من أسرة خضر عبد العال في لقطة عائلية وهم: الأب خضر صالح عبد العال، مريم صالح علي المشني، فريزة خضر صالح، رتيبة عبد العال، نظمية، نعيمة، نظمي عبد العال",,,,still image,1960.0,1960.0,عائلة، ام، أطفال، رجل، نساء، ثوب فلاحي، زي تقليدي، تطريز فلسطيني، شال، حطة، عقال، حزام، عيسى,,,,image/jpeg,5241,4381,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/6847_ca_object_representations_media_74199_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/1/72878_ca_object_representations_media_74199_original.jpg,https://palarchive.org/index.php/Detail/objects/116063/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:20,9 March 2021 at 11:30:50,"Taken in 1960, this black-and-white photograph features Khader ʿabdel-ʿal's family, including Khader Ṣaleh ʿabdel-ʿal, Mariam Ṣaleh ʿali al-Mashni, Fariza Khader, Ratibeh Khader, Naẓmeye, Naʿiemeh, and Naẓmi ʿabdel-ʿal.",أفراد من أسرة خضر عبد العال في لقطة عائلية وهم: الأب خضر صالح عبد العال، مريم صالح علي المشني، فريزة خضر صالح، رتيبة عبد العال، نظمية، نعيمة، نظمي عبد العال,,,,
ark:/13030/m5773327,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0013|~|116067|~|40461_ca_object_representations_media_74205_original.jpg,The Nazmy Khader Isa Collection,,صورة في حفل زفاف نظمي عبد العال,Naẓmi ʿabdel-ʿal's Wedding,"Taken in 1982, this colour photograph features Naẓmi ʿabdel-ʿal's wedding.|~|حفل زفاف نظمي عبد العال",,,,still image,1982.0,1982.0,رجال، حطة، عقال، زي تقليدي، عباءة، نافذة، عيسى,,,,image/jpeg,2142,2679,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/55748_ca_object_representations_media_74205_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/40461_ca_object_representations_media_74205_original.jpg,https://palarchive.org/index.php/Detail/objects/116067/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:22,9 March 2021 at 11:30:50,"Taken in 1982, this colour photograph features Naẓmi ʿabdel-ʿal's wedding.",حفل زفاف نظمي عبد العال,,,,
ark:/13030/m57x40xg,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0019|~|116073|~|86611_ca_object_representations_media_74212_original.jpg,The Nazmy Khader Isa Collection,,حفل زفاف نظمي عبد العال,Naẓmi ʿabdel-ʿal's Wedding,Taken in 1982 this colour photograph features a glimpse of Naẓmi ʿabdel-ʿal's wedding.|~|حفل زفاف نظمي عبد العال,,,,still image,1982.0,1982.0,رجال، زفاف، عباءة، حطة، عقال، عيسى,,,,image/jpeg,2153,2984,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/56734_ca_object_representations_media_74212_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/86611_ca_object_representations_media_74212_original.jpg,https://palarchive.org/index.php/Detail/objects/116073/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:24,9 March 2021 at 11:30:50,Taken in 1982 this colour photograph features a glimpse of Naẓmi ʿabdel-ʿal's wedding.,حفل زفاف نظمي عبد العال,,,,
ark:/13030/m5vr0qf7,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0031|~|116085|~|84747_ca_object_representations_media_74225_original.jpg,The Nazmy Khader Isa Collection,,وثيقة وصول ضرائب مقابل مائتين وعشرين فلسا,A Taxpayer Receipt for the Amount of 220 Fils,Ṣaleh ʿabdel-ʿal's taxpayer receipt for the amount of 220 fils.|~|وثيقة وصول ضرائب من صالح عبد العال مقابل مائتين وعشرين فلسا,,,,still image,1959.0,1959.0,وثيقة، وصول ضرائب، المملكة الأردنية الهاشمية، عيسى,,,,image/jpeg,2602,3204,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/32265_ca_object_representations_media_74225_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/84747_ca_object_representations_media_74225_original.jpg,https://palarchive.org/index.php/Detail/objects/116085/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:28,9 March 2021 at 11:30:50,Ṣaleh ʿabdel-ʿal's taxpayer receipt for the amount of 220 fils.,وثيقة وصول ضرائب من صالح عبد العال مقابل مائتين وعشرين فلسا,,,,
ark:/13030/m5vt9dwf,ark:/21198/z12k1xfr,,Work,119.0,0119.01.0037|~|116091|~|88646_ca_object_representations_media_74232_original.jpg,The Nazmy Khader Isa Collection,,وثيقة تعداد المواشي,Livestock Census,A livestock census for the Shu'fat area where ranchers pay 200 fils for each cow.|~|وثيقة لتعداد المواشي خاصة بمنطقة شعفاط، ويتم دفع 200 فلس مقابل رأس البقر,,,,still image,1959.0,1959.0,وثيقة، تذكرة تعداد المواشي، المملكة الأردنية الهاشمية، عيسى,,,,image/jpeg,4469,3494,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/7228_ca_object_representations_media_74232_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/7/4/2/88646_ca_object_representations_media_74232_original.jpg,https://palarchive.org/index.php/Detail/objects/116091/lang/en_US,The Palestinian Museum ,info@palarchive.org,,,,The Nazmy Khader Isa Collection,23 April 2019 at 15:31:30,9 March 2021 at 11:30:49,A livestock census for the Shu'fat area where ranchers pay 200 fils for each cow.,وثيقة لتعداد المواشي خاصة بمنطقة شعفاط، ويتم دفع 200 فلس مقابل رأس البقر,,,,
