Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z18d5fv0,,,Collection,,,,,The Omair Da'na Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m55f674c,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0001|~|46859|~|84049_ca_object_representations_media_51993_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا,Omair Da'nah,A black and white photo of Omair Da'nah|~|صورة غير ملونة لعمير دعنا,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,3209,2868,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/59575_ca_object_representations_media_51993_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/84049_ca_object_representations_media_51993_original.jpg,https://palarchive.org/index.php/Detail/objects/46859/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:30,10 March 2021 at 10:32:05,A black and white photo of Omair Da'nah,صورة غير ملونة لعمير دعنا,black-and-white photographs,,,
ark:/13030/m5x13p9j,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0002|~|46860|~|34680_ca_object_representations_media_51994_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,طلاب المدرسة البكرية في رحلة إلى أريحا,Students of al-Bakreia School on a trip to Jericho,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,3202,4459,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/67325_ca_object_representations_media_51994_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/34680_ca_object_representations_media_51994_original.jpg,https://palarchive.org/index.php/Detail/objects/46860/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:30,10 March 2021 at 10:32:05,,,black-and-white photographs,,,
ark:/13030/m5hr1f62,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0003|~|46861|~|46313_ca_object_representations_media_51995_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا والأصدقاء,Omair Da'nah with friends,A black and white photo of Omair Da'nah with his friends|~|صورة غير ملونة لعمير دعنا في الوسط مع أصدقاؤه,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,3843,3796,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/98800_ca_object_representations_media_51995_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/46313_ca_object_representations_media_51995_original.jpg,https://palarchive.org/index.php/Detail/objects/46861/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:30,10 March 2021 at 10:32:05,A black and white photo of Omair Da'nah with his friends,صورة غير ملونة لعمير دعنا في الوسط مع أصدقاؤه,black-and-white photographs,,,
ark:/13030/m5s82xm8,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0004|~|46862|~|47404_ca_object_representations_media_51996_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا في القدس,Omair Da'nah in Jerusalem,A black and white photo of Omair Da'nah (on the left) with his friends|~|صورة غير ملونة لعمير دعنا من اليسار مع أحد الأصدقاء,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,4254,3050,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/54000_ca_object_representations_media_51996_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/47404_ca_object_representations_media_51996_original.jpg,https://palarchive.org/index.php/Detail/objects/46862/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,A black and white photo of Omair Da'nah (on the left) with his friends,صورة غير ملونة لعمير دعنا من اليسار مع أحد الأصدقاء,black-and-white photographs,,,
ark:/13030/m51p5gf3,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0005|~|46863|~|99875_ca_object_representations_media_51997_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا على أسوار القدس القديمة,Omair Da'nah over the Walls of Jerusalem,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,3007,4328,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/96732_ca_object_representations_media_51997_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/99875_ca_object_representations_media_51997_original.jpg,https://palarchive.org/index.php/Detail/objects/46863/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,,,black-and-white photographs,,,
ark:/13030/m5nh25xc,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0006|~|46864|~|13636_ca_object_representations_media_51998_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا وزوجته وداد,Omair Da'nah with his wife Widad,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,4509,6226,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/28099_ca_object_representations_media_51998_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/13636_ca_object_representations_media_51998_original.jpg,https://palarchive.org/index.php/Detail/objects/46864/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,,,black-and-white photographs,,,
ark:/13030/m5869xpg,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0007|~|46865|~|1270_ca_object_representations_media_51999_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا عبى أسوار القدس القديمة,Omair Da'nah over the Walls of Jerusalem,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,5934,4413,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/70270_ca_object_representations_media_51999_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/1/9/1270_ca_object_representations_media_51999_original.jpg,https://palarchive.org/index.php/Detail/objects/46865/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,,,black-and-white photographs,,,
ark:/13030/m5gr4czx,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0008|~|46866|~|58807_ca_object_representations_media_52000_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير دعنا أمام دكانه في القدس,Omair Da'nah at a mini market in Jerusalem,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",black-and-white photographs,ara,still image,,,,,,,image/jpeg,4282,3262,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/2/0/11415_ca_object_representations_media_52000_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/2/0/58807_ca_object_representations_media_52000_original.jpg,https://palarchive.org/index.php/Detail/objects/46866/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,,,black-and-white photographs,,,
ark:/13030/m5d00pf6,ark:/21198/z18d5fv0,,Work,70.0,0070.01.0009|~|46867|~|6375_ca_object_representations_media_52001_original.jpg,The Omair Da'na Collection,Omair Da'na Sub-collection 1: Photographs,عمير ووداد دعنا,Omair Da'nah and Widad Da'nah,,"Mazen Da'na (Son of the collection owner Emair Da'na), interview with PMDA researcher Lama Ghosheh, June 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,,,image/jpeg,3780,4870,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/2/0/60674_ca_object_representations_media_52001_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/2/0/6375_ca_object_representations_media_52001_original.jpg,https://palarchive.org/index.php/Detail/objects/46867/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,Omair Da'na Sub-collection 1: Photographs | The Omair Da'na Collection,30 October 2018 at 9:38:31,10 March 2021 at 10:32:05,,,color photographs,,,
