Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1rg1dpv,,,Collection,,,,,The Cooperative Society for Olive Pressing in Beit Jala Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5w16n72,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0001|~|75065|~|15870_ca_object_representations_media_43480_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 8 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 8 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,27 June 1974,1974-06-27,,,,Text,image/jpeg,5325,3633,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/129_ca_object_representations_media_43480_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/15870_ca_object_representations_media_43480_original.jpg,https://palarchive.org/index.php/Detail/objects/75065/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:27,9 March 2021 at 12:04:48,,,,,Text,
ark:/13030/m56b4jwg,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0002|~|75066|~|19176_ca_object_representations_media_43481_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 9 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 9 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,18 July 1974,1974-07-18,,,,Text,image/jpeg,5325,3781,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/20163_ca_object_representations_media_43481_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/19176_ca_object_representations_media_43481_original.jpg,https://palarchive.org/index.php/Detail/objects/75066/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:31,9 March 2021 at 12:04:47,,,,,Text,
ark:/13030/m5mh54s0,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0003|~|75067|~|49589_ca_object_representations_media_43482_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 10 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 10 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,16 September 1974,1974-09-16,,,,Text,image/jpeg,5325,3765,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/59642_ca_object_representations_media_43482_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/49589_ca_object_representations_media_43482_original.jpg,https://palarchive.org/index.php/Detail/objects/75067/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:32,9 March 2021 at 12:04:47,,,,,Text,
ark:/13030/m5k720d6,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0004|~|75068|~|99348_ca_object_representations_media_43483_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 11 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 11 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,18 September 1974,1974-09-18,,,,Text,image/jpeg,5325,3770,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/61266_ca_object_representations_media_43483_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/99348_ca_object_representations_media_43483_original.jpg,https://palarchive.org/index.php/Detail/objects/75068/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:32,9 March 2021 at 12:04:46,,,,,Text,
ark:/13030/m5dk2wz1,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0005|~|75069|~|63937_ca_object_representations_media_43484_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 12 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 12 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,21 September 1974,1974-09-21,,,,Text,image/jpeg,5325,3765,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/90858_ca_object_representations_media_43484_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/63937_ca_object_representations_media_43484_original.jpg,https://palarchive.org/index.php/Detail/objects/75069/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:32,9 March 2021 at 12:04:46,,,,,Text,
ark:/13030/m58t258j,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0006|~|75070|~|48096_ca_object_representations_media_43485_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 13 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 13 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,28 September 1974,1974-09-28,,,,Text,image/jpeg,5325,3775,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/87289_ca_object_representations_media_43485_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/48096_ca_object_representations_media_43485_original.jpg,https://palarchive.org/index.php/Detail/objects/75070/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:32,9 March 2021 at 12:04:45,,,,,Text,
ark:/13030/m5p91t74,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0007|~|75071|~|1473_ca_object_representations_media_43486_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 14 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 14 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,5 October 1974,1974-10-05,,,,Text,image/jpeg,5325,3775,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/86082_ca_object_representations_media_43486_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/1473_ca_object_representations_media_43486_original.jpg,https://palarchive.org/index.php/Detail/objects/75071/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:33,9 March 2021 at 12:04:45,,,,,Text,
ark:/13030/m5gr4d0s,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0008|~|75072|~|68022_ca_object_representations_media_43487_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 15 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 15 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,12 October 1974,1974-10-12,,,,Text,image/jpeg,5325,3770,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/39421_ca_object_representations_media_43487_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/68022_ca_object_representations_media_43487_original.jpg,https://palarchive.org/index.php/Detail/objects/75072/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:33,9 March 2021 at 12:04:45,,,,,Text,
ark:/13030/m53k0v83,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0009|~|75073|~|39176_ca_object_representations_media_43488_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 16 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 16 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,19 October 1974,1974-10-19,,,,Text,image/jpeg,5325,3749,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/61612_ca_object_representations_media_43488_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/39176_ca_object_representations_media_43488_original.jpg,https://palarchive.org/index.php/Detail/objects/75073/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:33,9 March 2021 at 12:04:44,,,,,Text,
ark:/13030/m5hb6mhx,ark:/21198/z1rg1dpv,,Work,74.0,0074.01.0010|~|75074|~|32023_ca_object_representations_media_43489_original.jpg,The Cooperative Society for Olive Pressing in Beit Jala Collection,Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,محضر الجلسة رقم 17 للجنة إدارة الجمعية التعاونية لعصر الزيتون في بلدة بيت جالا للعام 1974,Minutes of Session No. 17 of the Management Committee of the Cooperative Society for Olive Pressing in Beit Jala - 1974,,"The Cooperative Society for Olive Pressing in Beit Jala, ""Correspondence, Reports, Papers, and Documents"", collection, 7 August 2018, the Palestinian Museum Digital Archive.; The Cooperative Society for Olive Pressing in Beit Jala, ""Minutes 1981 - 2017"", society collection, 7 August 2018, the Palestinian Museum Digital Archive.; الجمعية التعاونية لعصر الزيتون في بيت جالا، ""محاضر اجتماعات من السنوات 1981 - 2017، مجموعة الجمعية، 7 آب 2018، أرشيف المتحف الفلسطيني الرقمي.",,,text,26 October 1974,1974-10-26,,,,Text,image/jpeg,5325,3749,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/43647_ca_object_representations_media_43489_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/4/3/4/32023_ca_object_representations_media_43489_original.jpg,https://palarchive.org/index.php/Detail/objects/75074/lang/en_US,The Palestinian Museum ,info@palarchive.org,,acceptable; 226,,The Cooperative Society for Olive Pressing in Beit Jala Collection | Cooperative Society for Olive Pressing-Beit Jala Sub-collection 1: Documents,5 December 2018 at 10:18:33,9 March 2021 at 12:04:44,,,,,Text,
