Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z12r9b9p,,,Collection,,,,,The Arab Development Society Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5j75030,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0001|~|83946|~|98040_ca_object_representations_media_57822_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,فندق فيكتوريا في بيروت أثناء فترة الإنتداب الفرنسي,Victoria Hotel in Beirut During the French Mandate,"A black-and-white photograph of Victoria Hotel in Beirut, during the French Mandate.|~|صورة غير ملونة يظهر فيها فندق فيكتوريا في بيروت أثناء فترة الإنتداب الفرنسي.","https://www.alamy.com/stock-photo-avenue-des-francais-now-shoreline-walk-beirut-lebanon-early-20th-century-131473076.html http://www.lebanoninapicture.com/pictures/avenue-des-francais-1940s; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,4389,2703,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/21462_ca_object_representations_media_57822_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/98040_ca_object_representations_media_57822_original.jpg,https://palarchive.org/index.php/Detail/objects/83946/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:24,6 December 2021 at 10:31:39,"A black-and-white photograph of Victoria Hotel in Beirut, during the French Mandate.",صورة غير ملونة يظهر فيها فندق فيكتوريا في بيروت أثناء فترة الإنتداب الفرنسي.,black-and-white photographs,,,
ark:/13030/m58t2645,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0002|~|83947|~|57314_ca_object_representations_media_57823_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,أحد موانئ البحر الأبيض المتوسط في لبنان,One of the Mediterranean Sea Ports in Lebanon,A black-and-white photograph of one of the Mediterranean Sea ports in Lebanon.|~|صورة غير ملونة يظهر فيها أحد موانئ البحر الأبيض المتوسط في لبنان.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,2459,4160,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/97501_ca_object_representations_media_57823_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/57314_ca_object_representations_media_57823_original.jpg,https://palarchive.org/index.php/Detail/objects/83947/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:52,A black-and-white photograph of one of the Mediterranean Sea ports in Lebanon.,صورة غير ملونة يظهر فيها أحد موانئ البحر الأبيض المتوسط في لبنان.,black-and-white photographs,,,
ark:/13030/m5p05qtx,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0003|~|83948|~|45306_ca_object_representations_media_57824_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,4178,2595,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/32846_ca_object_representations_media_57824_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/45306_ca_object_representations_media_57824_original.jpg,https://palarchive.org/index.php/Detail/objects/83948/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:52,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5dg47c8,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0004|~|83949|~|84362_ca_object_representations_media_57825_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,4241,2533,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/66228_ca_object_representations_media_57825_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/84362_ca_object_representations_media_57825_original.jpg,https://palarchive.org/index.php/Detail/objects/83949/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:52,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5190pqg,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0005|~|83950|~|18836_ca_object_representations_media_57826_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,2067,3035,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/35607_ca_object_representations_media_57826_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/18836_ca_object_representations_media_57826_original.jpg,https://palarchive.org/index.php/Detail/objects/83950/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,6 December 2021 at 11:45,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5521fdr,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0006|~|83951|~|9545_ca_object_representations_media_57827_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,2043,3019,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/26897_ca_object_representations_media_57827_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/9545_ca_object_representations_media_57827_original.jpg,https://palarchive.org/index.php/Detail/objects/83951/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:51,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5wj0664,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0007|~|83952|~|59908_ca_object_representations_media_57828_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,2384,3476,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/96538_ca_object_representations_media_57828_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/59908_ca_object_representations_media_57828_original.jpg,https://palarchive.org/index.php/Detail/objects/83952/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:51,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5rr9ffd,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0008|~|83953|~|32721_ca_object_representations_media_57829_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,4209,2663,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/77603_ca_object_representations_media_57829_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/32721_ca_object_representations_media_57829_original.jpg,https://palarchive.org/index.php/Detail/objects/83953/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:51,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5h77z14,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0009|~|83954|~|33575_ca_object_representations_media_57830_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,4135,2628,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/14519_ca_object_representations_media_57830_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/33575_ca_object_representations_media_57830_original.jpg,https://palarchive.org/index.php/Detail/objects/83954/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:25,9 March 2021 at 11:49:51,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
ark:/13030/m5n08pq0,ark:/21198/z12r9b9p,,Work,87.0,0087.01.0010|~|83955|~|29936_ca_object_representations_media_57831_original.jpg,The Arab Development Society Collection,The Arab Development Society Sub-collection 1: Photographs,موسى العلمي وأفراد من عائلته في إحدى الرحلات,Musa al-Alami with Members of his Family During a Trip,A black-and-white photograph of Musa al-Alami with members of his family during a trip.|~|صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,"Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 23 June 2018, the Palestinian Museum Digital Archive.; Ozrail, Samar, ""The Arab Development Society Collection,"" archival inventory, 1 August 2018, the Palestinian Museum Digital Archive.",black-and-white photographs,,still image,1930 to 1950,1930/1950,,,,,image/jpeg,2664,4178,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/90801_ca_object_representations_media_57831_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/7/8/29936_ca_object_representations_media_57831_original.jpg,https://palarchive.org/index.php/Detail/objects/83955/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,The Arab Development Society Collection | The Arab Development Society Sub-collection 1: Photographs,30 December 2018 at 10:43:26,9 March 2021 at 11:49:51,A black-and-white photograph of Musa al-Alami with members of his family during a trip.,صورة غير ملونة لموسى العلمي وأفراد من عائلته في إحدى الرحلات.,black-and-white photographs,,,
