Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1z08trd,,,Collection,,,,,The Amin al-Khatib Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5bd1fxg,ark:/21198/z1z08trd,,Work,88.0,0088.01.0001|~|58120|~|78488_ca_object_representations_media_50061_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب في الاتحاد العام للجمعيات الخيرية,Amin al-Khatib at the General Union of Charitable Societies,," Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,,,image/jpeg,4343,5787,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/48499_ca_object_representations_media_50061_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/78488_ca_object_representations_media_50061_original.jpg,https://palarchive.org/index.php/Detail/objects/58120/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:18,9 March 2021 at 19:21:06,,,color photographs,,,
ark:/13030/m56n0q65,ark:/21198/z1z08trd,,Work,88.0,0088.01.0002|~|58121|~|10776_ca_object_representations_media_50062_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب في بغداد مشاركاً في مؤتمر طب الاطفال,Amin al-Khatib at the Paediatrics Conference in Baghdad,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1975; Date created,1975,,,,,image/jpeg,2763,4015,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/22438_ca_object_representations_media_50062_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/10776_ca_object_representations_media_50062_original.jpg,https://palarchive.org/index.php/Detail/objects/58121/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,,,
ark:/13030/m52v9zhb,ark:/21198/z1z08trd,,Work,88.0,0088.01.0003|~|58122|~|62316_ca_object_representations_media_50064_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب مع أصدقائه,Amin al-Khatib with Friends,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,,,image/jpeg,2842,3986,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/85474_ca_object_representations_media_50064_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/62316_ca_object_representations_media_50064_original.jpg,https://palarchive.org/index.php/Detail/objects/58122/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,,,
ark:/13030/m59d4dtj,ark:/21198/z1z08trd,,Work,88.0,0088.01.0004|~|58123|~|44761_ca_object_representations_media_50066_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب في الحفل الختامي للمخيم الصيفي لنادي الخريجيين العرب,Amin al-Khatib at the Concluding Ceremony of the Arab Alumni Club Summer Camp,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,23 August 1991; Date created,1991-08-23,,,,23/8/1991 نادي الخريجيين العرب  الشيخ جراح القدس حفل الختام للمخيم الصيفي|~|Arab Alumni Club 23/8/1991 Sheikh Jarrah al-Quds Concluding ceremony of the summer camp,image/jpeg,2852,4157,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/86919_ca_object_representations_media_50066_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/44761_ca_object_representations_media_50066_original.jpg,https://palarchive.org/index.php/Detail/objects/58123/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,23/8/1991 نادي الخريجيين العرب  الشيخ جراح القدس حفل الختام للمخيم الصيفي,Arab Alumni Club 23/8/1991 Sheikh Jarrah al-Quds Concluding ceremony of the summer camp,
ark:/13030/m5z39g26,ark:/21198/z1z08trd,,Work,88.0,0088.01.0005|~|58124|~|17223_ca_object_representations_media_50068_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,مؤتمر طب الأطفال في بغداد عام 1975,"Paediatrics Conference in Baghdad, 1975",,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1975; Date created,1975,,,,,image/jpeg,2798,4049,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/62261_ca_object_representations_media_50068_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/17223_ca_object_representations_media_50068_original.jpg,https://palarchive.org/index.php/Detail/objects/58124/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,,,
ark:/13030/m5f555ht,ark:/21198/z1z08trd,,Work,88.0,0088.01.0006|~|58125|~|50954_ca_object_representations_media_50070_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب ومجموعة من الأطباء,Amin al-Khatib with Doctors,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,,الاتحاد العام  ابو عزيز رامية - ابو اسماعيل|~|General Union Abu Aziz Ramia - Abu Ismail,image/jpeg,2845,3953,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/601_ca_object_representations_media_50070_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/50954_ca_object_representations_media_50070_original.jpg,https://palarchive.org/index.php/Detail/objects/58125/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,الاتحاد العام  ابو عزيز رامية - ابو اسماعيل,General Union Abu Aziz Ramia - Abu Ismail,
ark:/13030/m5tf7dpw,ark:/21198/z1z08trd,,Work,88.0,0088.01.0007|~|58126|~|60933_ca_object_representations_media_50072_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب في بيت الرحمة في أبو ديس,Amin al-Khatib at Beit al-Rahma (House of Mercy) in Abu Dis,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1980; Date created,1980,,,,To Dr Ahmin from Kerstin and Adile 1980 بيت الرحمة أبو ديس|~|To Dr Ahmin from Kerstin and Adile 1980 / Beit al-Rahma in Abu Dis,image/jpeg,4141,2858,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/69997_ca_object_representations_media_50072_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/60933_ca_object_representations_media_50072_original.jpg,https://palarchive.org/index.php/Detail/objects/58126/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,To Dr Ahmin from Kerstin and Adile 1980 بيت الرحمة أبو ديس,To Dr Ahmin from Kerstin and Adile 1980 / Beit al-Rahma in Abu Dis,
ark:/13030/m5pp6p01,ark:/21198/z1z08trd,,Work,88.0,0088.01.0008|~|58127|~|20430_ca_object_representations_media_50074_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,أمين الخطيب في الاتحاد العام للجمعيات الخيرية,Amin al-Khatib at the General Union of Charitable Societies,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,,,,,,,image/jpeg,2861,3992,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/62081_ca_object_representations_media_50074_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/20430_ca_object_representations_media_50074_original.jpg,https://palarchive.org/index.php/Detail/objects/58127/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,,,
ark:/13030/m51w2xb2,ark:/21198/z1z08trd,,Work,88.0,0088.01.0009|~|58128|~|9184_ca_object_representations_media_50076_original.jpg,The Amin al-Khatib Collection,Amin al-Khatib Sub-collection 1: Photographs,مهرجان الطفل الفلسطيني,Palestinian Child Festival,,"Rana Khatib (Amin al-Khatib's daughter), interview with PMDA researcher Lama Ghosheh, November 2018, non-transcript, the Palestinian Museum Digital Archive.",color photographs,ara,still image,1979; Date created,1979,,,,,image/jpeg,2839,4012,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/78654_ca_object_representations_media_50076_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/0/0/9184_ca_object_representations_media_50076_original.jpg,https://palarchive.org/index.php/Detail/objects/58128/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,medium; 225,,Amin al-Khatib Sub-collection 1: Photographs | The Amin al-Khatib Collection,28 November 2018 at 11:59:19,9 March 2021 at 19:21:06,,,color photographs,,,
