Item ARK,Parent ARK,File Name,Object Type,coll id,AltIdentifier.local,Collection,Series,Title,AltTitle.other,Description.note,References,Genre,Language,Type.typeOfResource,Date.created,Date.normalized,Note,Subject.coordinates,Subject topic,Inscription,media.format,media.height,media.width,Thumbnail,IIIF Access URL,External item record,Repository,Rights.servicesContact,Acquisition method,Physical status,Violent Content,Series & Collection,Creation date/time,Last modification date/time,Description (Eng),Description (Ara),Genre (old),Inscription (old),Inscription 2 (old),Alt Title
ark:/21198/z1ht87wd,,,Collection,,,,,The George al-A'ma Collection,,,,,,,,,,,,,,,,,,,The Palestinian Museum Digital Archive,info@palarchive.org,,,,,,,,,,,,
ark:/13030/m5jf2gmf,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0001|~|93475|~|25286_ca_object_representations_media_59980_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لإزالة طمم وبقايا أنقاض من منطقة القلعة في مدينة القدس أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the removal of the ruins in Al-Qal'a area in Jerusalem",,,,,text,17 January 1927,1927-01-17,,,,,image/jpeg,6969,4462,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/23396_ca_object_representations_media_59980_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/25286_ca_object_representations_media_59980_original.jpg,https://palarchive.org/index.php/Detail/objects/93475/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 17 JAN.1927 SHAHEEN AHMED 1,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:35,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5sz4014,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0002|~|93476|~|11709_ca_object_representations_media_59981_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي للتعبيد جزء من طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of a part of Jericho Road",,,,,text,19 October 1925,1925-10-19,,,,,image/jpeg,6856,4355,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/12924_ca_object_representations_media_59981_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/11709_ca_object_representations_media_59981_original.jpg,https://palarchive.org/index.php/Detail/objects/93476/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; 'TENDER 19.OCT1925 - 181025 3 بخط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:35,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5p6379q,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0003|~|93477|~|56734_ca_object_representations_media_59982_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لصيانة دورية لمركز الشرطة البريطانية في جبل المكبر أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for a regular maintenance of the British Police Station in Jabal al-Mukaber in Jerusalem",,,,,text,12 October 1924,1924-10-12,,,,,image/jpeg,6957,4412,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/59050_ca_object_representations_media_59982_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/56734_ca_object_representations_media_59982_original.jpg,https://palarchive.org/index.php/Detail/objects/93477/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; 'TENDER 12.OCT 1924 ZN.1940 OF 9.10.25,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:35,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5p637b5,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0004|~|93478|~|72545_ca_object_representations_media_59983_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,1920s,1920/1929,,,,,image/jpeg,6913,4427,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/29662_ca_object_representations_media_59983_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/72545_ca_object_representations_media_59983_original.jpg,https://palarchive.org/index.php/Detail/objects/93478/lang/en_US,The Palestinian Museum ,info@palarchive.org,loan,endangered; 227,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,7 August 2022 at 12:36:41,,,,,,
ark:/13030/m5jj1615,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0005|~|93479|~|49739_ca_object_representations_media_59984_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,1930,1930,,,,,image/jpeg,6885,4426,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/33131_ca_object_representations_media_59984_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/49739_ca_object_representations_media_59984_original.jpg,https://palarchive.org/index.php/Detail/objects/93479/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 18.10.25 - 1 خط ازرق,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5rz6xxd,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0006|~|93480|~|22847_ca_object_representations_media_59985_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,28 October 1924,1924-10-28,,,,,image/jpeg,6899,4426,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/69140_ca_object_representations_media_59985_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/22847_ca_object_representations_media_59985_original.jpg,https://palarchive.org/index.php/Detail/objects/93480/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 28.OCT.1924 - 4 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m58t28sh,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0007|~|93481|~|36017_ca_object_representations_media_59986_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,28 October 1924,1924-10-28,,,,,image/jpeg,6927,4441,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/27482_ca_object_representations_media_59986_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/36017_ca_object_representations_media_59986_original.jpg,https://palarchive.org/index.php/Detail/objects/93481/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 28.OCT .1924 ZN.1468 A OF 28.10.24- 3 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5vr0nh9,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0008|~|93482|~|90873_ca_object_representations_media_59987_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,28 October 1924,1924-10-28,,,,,image/jpeg,6927,4398,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/4109_ca_object_representations_media_59987_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/90873_ca_object_representations_media_59987_original.jpg,https://palarchive.org/index.php/Detail/objects/93482/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 28.OCT.1924 - 2 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5578xvr,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0009|~|93483|~|45162_ca_object_representations_media_59988_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لإقامة قسم إضافي للنساء في مستشفى بيت لحم للأمراض النفسية أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the construction of an additional section for women in Bethlehem Psychiatric Hospital",,,,,text,11 July 1927,1927-07-11,,,,,image/jpeg,7014,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/12380_ca_object_representations_media_59988_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/45162_ca_object_representations_media_59988_original.jpg,https://palarchive.org/index.php/Detail/objects/93483/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 11. JULY .1927 ZN 1906 OF6.07.27 - 1 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5wq7pk7,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0010|~|93484|~|72484_ca_object_representations_media_59989_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,28 October 1924,1924-10-28,,,,,image/jpeg,7014,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/14925_ca_object_representations_media_59989_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/72484_ca_object_representations_media_59989_original.jpg,https://palarchive.org/index.php/Detail/objects/93484/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 28.OCT ZN.1468 A OF 28.10.24,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5rr9j2q,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0011|~|93485|~|20941_ca_object_representations_media_59990_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,19 October 1925,1925-10-19,,,,,image/jpeg,7014,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/93491_ca_object_representations_media_59990_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/20941_ca_object_representations_media_59990_original.jpg,https://palarchive.org/index.php/Detail/objects/93485/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; 'TENDER 19.OCT.1923 ZN.1626 -4خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:36,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5ck609z,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0012|~|93486|~|52256_ca_object_representations_media_59991_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,19 October 1925,1925-10-19,,,,,image/jpeg,6941,4404,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/55330_ca_object_representations_media_59991_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/52256_ca_object_representations_media_59991_original.jpg,https://palarchive.org/index.php/Detail/objects/93486/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; 'TENDER 19-10-1925 ZN.1626 3 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m51g863c,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0013|~|93487|~|44199_ca_object_representations_media_59992_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,19 October 1925,1925-10-19,,,,,image/jpeg,6971,4411,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/5684_ca_object_representations_media_59992_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/44199_ca_object_representations_media_59992_original.jpg,https://palarchive.org/index.php/Detail/objects/93487/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER 19.OCT.1925 ZN 1626,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
ark:/13030/m5424gw8,ark:/21198/z1ht87wd,,Work,99.0,0099.01.0014|~|93488|~|15103_ca_object_representations_media_59993_original.jpg,The George al-A'ma Collection,George al-A'ma Sub-collection 1: Tenders,عطاء هندسي لتعبيد طريق أريحا أصدرته سلطة الانتداب البريطاني على فلسطين,"An engineering tender issued by the ""British Mandate for Palestine"" for the pavement of Jericho Road",,,,,text,3 October 1924,1924-10-03,,,,,image/jpeg,6851,4498,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/74059_ca_object_representations_media_59993_preview.jpg,https://d7rm5xoig729r.cloudfront.net/collectiveaccess/images/5/9/9/15103_ca_object_representations_media_59993_original.jpg,https://palarchive.org/index.php/Detail/objects/93488/lang/en_US,The Palestinian Museum ,info@palarchive.org,,endangered; TENDER. 31OCT.24 2.10.24 1216 خط احمر,,George al-A'ma Sub-collection 1: Tenders | The George al-A'ma Collection,26 February 2019 at 12:34:37,9 March 2021 at 11:41:23,,,,,,
