,file,object,Has Metadata record,In Merritt
0,0001.01.0455,0001.01.0455,Yes,No
1,0002.01.0001.01,0002.01.0001,Yes,No
2,0002.01.0001.02,0002.01.0001,Yes,No
3,0002.01.0002,0002.01.0002,Yes,No
4,0002.01.0003.01,0002.01.0003,Yes,No
5,0002.01.0003.02,0002.01.0003,Yes,No
6,0002.01.0004.01,0002.01.0004,Yes,No
7,0002.01.0004.02,0002.01.0004,Yes,No
8,0002.01.0005.01,0002.01.0005,Yes,No
9,0002.01.0005.02.,0002.01.0005,Yes,No
10,0002.01.0006.01,0002.01.0006,Yes,No
11,0002.01.0006.02,0002.01.0006,Yes,No
12,0002.01.0007.01,0002.01.0007,Yes,No
13,0002.01.0007.02,0002.01.0007,Yes,No
14,0002.01.0008,0002.01.0008,Yes,No
15,0002.01.0009.01,0002.01.0009,Yes,No
16,0002.01.0009.02,0002.01.0009,Yes,No
17,0002.01.0010,0002.01.0010,Yes,No
18,0002.01.0011,0002.01.0011,Yes,No
19,0002.01.0012,0002.01.0012,Yes,No
20,0002.01.0013,0002.01.0013,Yes,No
21,0002.01.0014,0002.01.0014,Yes,No
22,0002.01.0015,0002.01.0015,Yes,No
23,0002.01.0016,0002.01.0016,Yes,No
24,0002.01.0017,0002.01.0017,Yes,No
25,0002.01.0018,0002.01.0018,Yes,No
26,0002.01.0019,0002.01.0019,Yes,No
27,0002.01.0020,0002.01.0020,Yes,No
28,0002.01.0021,0002.01.0021,Yes,No
29,0002.01.0022,0002.01.0022,Yes,No
30,0002.01.0023,0002.01.0023,Yes,No
31,0002.01.0024,0002.01.0024,Yes,No
32,0002.01.0025,0002.01.0025,Yes,No
33,0002.01.0026.01,0002.01.0026,Yes,No
34,0002.01.0026.02,0002.01.0026,Yes,No
35,0002.01.0027,0002.01.0027,Yes,No
36,0002.01.0028,0002.01.0028,Yes,No
37,0002.01.0029.01,0002.01.0029,Yes,No
38,0002.01.0029.02,0002.01.0029,Yes,No
39,0002.01.0030,0002.01.0030,Yes,No
40,0002.01.0031,0002.01.0031,Yes,No
41,0002.01.0032,0002.01.0032,Yes,No
42,0002.01.0033,0002.01.0033,Yes,No
43,0002.01.0034,0002.01.0034,Yes,No
44,0002.01.0035,0002.01.0035,Yes,No
45,0002.01.0036,0002.01.0036,Yes,No
46,0002.01.0037,0002.01.0037,Yes,No
47,0002.01.0038,0002.01.0038,Yes,No
48,0002.01.0039,0002.01.0039,Yes,No
49,0002.01.0040.01,0002.01.0040,Yes,No
50,0002.01.0040.02,0002.01.0040,Yes,No
51,0002.01.0041,0002.01.0041,Yes,No
52,0002.01.0042.01,0002.01.0042,Yes,No
53,0002.01.0042.02,0002.01.0042,Yes,No
54,0002.01.0043,0002.01.0043,Yes,No
55,0002.01.0044,0002.01.0044,Yes,No
56,0002.01.0045,0002.01.0045,Yes,No
57,0002.01.0046,0002.01.0046,Yes,No
58,0002.01.0047,0002.01.0047,Yes,No
59,0002.01.0048,0002.01.0048,Yes,No
60,0002.01.0049,0002.01.0049,Yes,No
61,0002.01.0050,0002.01.0050,Yes,No
62,0002.01.0051,0002.01.0051,Yes,No
63,0002.01.0052,0002.01.0052,Yes,No
64,0002.01.0053,0002.01.0053,Yes,No
65,0002.01.0054,0002.01.0054,Yes,No
66,0002.01.0055,0002.01.0055,Yes,No
67,0002.01.0056,0002.01.0056,Yes,No
68,0002.01.0057,0002.01.0057,Yes,No
69,0002.01.0058.01,0002.01.0058,Yes,No
70,0002.01.0058.02,0002.01.0058,Yes,No
71,0002.01.0059,0002.01.0059,Yes,No
72,0002.01.0060,0002.01.0060,Yes,No
73,0002.01.0061,0002.01.0061,Yes,No
74,0002.01.0062,0002.01.0062,Yes,No
75,0002.01.0063,0002.01.0063,Yes,No
76,0002.01.0064,0002.01.0064,Yes,No
77,0002.01.0065,0002.01.0065,Yes,No
78,0002.01.0066,0002.01.0066,Yes,No
79,0002.01.0067,0002.01.0067,Yes,No
80,0002.01.0068,0002.01.0068,Yes,No
81,0002.01.0069,0002.01.0069,Yes,No
82,0002.01.0070,0002.01.0070,Yes,No
83,0002.01.0071,0002.01.0071,Yes,No
84,0002.01.0072,0002.01.0072,Yes,No
85,0002.01.0073,0002.01.0073,Yes,No
86,0002.01.0074,0002.01.0074,Yes,No
87,0002.01.0075,0002.01.0075,Yes,No
88,0002.01.0076,0002.01.0076,Yes,No
89,0002.01.0077,0002.01.0077,Yes,No
90,0002.01.0078,0002.01.0078,Yes,No
91,0002.01.0079,0002.01.0079,Yes,No
92,0002.01.0080.01,0002.01.0080,Yes,No
93,0002.01.0080.02,0002.01.0080,Yes,No
94,0002.02.0001.01,0002.02.0001,Yes,No
95,0002.02.0001.02,0002.02.0001,Yes,No
96,0002.02.0002.01,0002.02.0002,Yes,No
97,0002.02.0002.02,0002.02.0002,Yes,No
98,0002.02.0003.01,0002.02.0003,Yes,No
99,0002.02.0003.02,0002.02.0003,Yes,No
100,0002.02.0004.01,0002.02.0004,Yes,No
101,0002.02.0004.02,0002.02.0004,Yes,No
102,0002.02.0005.01,0002.02.0005,Yes,No
103,0002.02.0005.02,0002.02.0005,Yes,No
104,0002.02.0006.01,0002.02.0006,Yes,No
105,0002.02.0006.02,0002.02.0006,Yes,No
106,0002.02.0007.01,0002.02.0007,Yes,No
107,0002.02.0007.02,0002.02.0007,Yes,No
108,0002.02.0008.01,0002.02.0008,Yes,No
109,0002.02.0008.02,0002.02.0008,Yes,No
110,0002.02.0009.01,0002.02.0009,Yes,No
111,0002.02.0009.02,0002.02.0009,Yes,No
112,0002.02.0010.01,0002.02.0010,Yes,No
113,0002.02.0010.02,0002.02.0010,Yes,No
114,0002.02.0011.01,0002.02.0011,Yes,No
115,0002.02.0011.02,0002.02.0011,Yes,No
116,0002.02.0012,0002.02.0012,Yes,No
117,0002.02.0013.01,0002.02.0013,Yes,No
118,0002.02.0013.02,0002.02.0013,Yes,No
119,0002.02.0014.01,0002.02.0014,Yes,No
120,0002.02.0014.02,0002.02.0014,Yes,No
121,0002.02.0015.01,0002.02.0015,Yes,No
122,0002.02.0015.02,0002.02.0015,Yes,No
123,0002.02.0016.01,0002.02.0016,Yes,No
124,0002.02.0016.02,0002.02.0016,Yes,No
125,0002.02.0017.01,0002.02.0017,Yes,No
126,0002.02.0017.02,0002.02.0017,Yes,No
